go_depth	p_val_adj >= 0.001	p_val_adj < 0.001	total	fraction < 0.001	fraction >= 0.001	database
5	89.0	95.0	184.0	0.5163043478260869	0.483695652173913	GO_Cellular_Component_2023
6	113.0	179.0	292.0	0.613013698630137	0.386986301369863	GO_Cellular_Component_2023
7	71.0	109.0	180.0	0.6055555555555555	0.39444444444444443	GO_Cellular_Component_2023
8	36.0	94.0	130.0	0.7230769230769231	0.27692307692307694	GO_Cellular_Component_2023
9	37.0	61.0	98.0	0.6224489795918368	0.37755102040816324	GO_Cellular_Component_2023
10	13.0	43.0	56.0	0.7678571428571429	0.23214285714285715	GO_Cellular_Component_2023
11	1.0	7.0	8.0	0.875	0.125	GO_Cellular_Component_2023
0	62.0	28.0	90.0	0.3111111111111111	0.6888888888888889	GO_Biological_Process_2023
3	38.0	8.0	46.0	0.17391304347826086	0.8260869565217391	GO_Biological_Process_2023
4	246.0	40.0	286.0	0.13986013986013987	0.8601398601398601	GO_Biological_Process_2023
5	1060.0	348.0	1408.0	0.2471590909090909	0.7528409090909091	GO_Biological_Process_2023
6	1462.0	638.0	2100.0	0.3038095238095238	0.6961904761904761	GO_Biological_Process_2023
7	1484.0	748.0	2232.0	0.33512544802867383	0.6648745519713262	GO_Biological_Process_2023
8	1165.0	635.0	1800.0	0.3527777777777778	0.6472222222222223	GO_Biological_Process_2023
9	935.0	497.0	1432.0	0.3470670391061452	0.6529329608938548	GO_Biological_Process_2023
10	589.0	293.0	882.0	0.3321995464852608	0.6678004535147393	GO_Biological_Process_2023
11	228.0	110.0	338.0	0.3254437869822485	0.6745562130177515	GO_Biological_Process_2023
12	88.0	58.0	146.0	0.3972602739726027	0.6027397260273972	GO_Biological_Process_2023
13	27.0	19.0	46.0	0.41304347826086957	0.5869565217391305	GO_Biological_Process_2023
14	6.0	2.0	8.0	0.25	0.75	GO_Biological_Process_2023
0	3.0	7.0	10.0	0.7	0.3	GO_Molecular_Function_2023
5	371.0	325.0	696.0	0.46695402298850575	0.5330459770114943	GO_Molecular_Function_2023
6	298.0	340.0	638.0	0.5329153605015674	0.4670846394984326	GO_Molecular_Function_2023
7	221.0	269.0	490.0	0.5489795918367347	0.45102040816326533	GO_Molecular_Function_2023
8	118.0	192.0	310.0	0.6193548387096774	0.38064516129032255	GO_Molecular_Function_2023
9	28.0	78.0	106.0	0.7358490566037735	0.2641509433962264	GO_Molecular_Function_2023
10	4.0	16.0	20.0	0.8	0.2	GO_Molecular_Function_2023
11	2.0	12.0	14.0	0.8571428571428571	0.14285714285714285	GO_Molecular_Function_2023
12	10.0	0.0	10.0	0.0	1.0	GO_Molecular_Function_2023
