set_descr	generatio	bgratio	richFactor	foldEnrich	p_val	p_adj	intersection	set_genes	ngenes	nset	ninter
Rheumatoid arthritis	0.13793103448275862	0.004686082837851456	0.043010752688172046	29.43418613274008	9.866895674923569e-06	0.003157406615975542	ACP5,FOS,CCL3,CXCL8	ATP6V1C1,CD86,CSF1,ATP6V1H,HLA-DPA1,CTLA4,LTB,MMP3,CXCL5,JUN,MMP1,TGFB3,TNFSF13B,CCL2,CCL3,HLA-DPB1,FLT1,HLA-DRB5,ATP6V1G3,TCIRG1,CXCL1,TGFB2,ATP6V0D1,ATP6V0B,ATP6V1D,ITGAL,HLA-DQA1,CTSK,CSF2,ATP6V0A2,CD28,IL17A,HLA-DMB,HLA-DOA,ATP6V1E2,IL6,IL23A,ATP6V1B2,CD80,CTSL,CCL3L3,TLR2,CXCL6,IL1B,IL1A,IFNG,ATP6V0A4,CXCL12,HLA-DRB1,IL11,ATP6V0D2,FOS,HLA-DRB3,ITGB2,TLR4,ATP6V1F,ATP6V1E1,ACP5,TNFSF13,CCL5,TEK,IL15,HLA-DQB1,ATP6V1A,ATP6V1B1,TGFB1,CCL20,PTH,CXCL2,ANGPT1,HLA-DOB,TNFSF11,ATP6AP1,CCL3L1,HLA-DQA2,HLA-DRA,HLA-DMA,ATP6V0A1,IL18,ICAM1,TNF,IGH,HLA-DRB4,ATP6V0C,VEGFA,ATP6V1G1,CXCL3,CXCL8,ATP6V1C2,ATP6V0E1,TNFRSF11A,ATP6V1G2,ATP6V0E2	29	93	4
Measles	0.13793103448275862	0.0070039302630252945	0.02877697841726619	19.693376333416026	4.804021256604131e-05	0.007686434010566609	FOS,TNFAIP3,MX1,OAS2	IL2RA,TP73,IFNA10,BCL2L1,EIF2AK2,AKT1,OAS3,IRF3,AKT3,CHUK,CD46,TLR7,PIK3CA,CASP9,RAB9A,JUN,PIK3CB,TRAF3,IL12A,HSPA2,IRF9,EIF2AK4,CSNK2A2,MX2,IFNA2,IFNA13,CCND3,IKBKG,ADAR,IFNA16,BAD,EIF3H,MAVS,TAB2,NFKBIA,HSPA1B,JAK3,BAK1,STAT3,IFNA17,IFNA14,TRAF6,AKT2,IFNA8,CASP3,CD28,TP53,EIF2AK1,CSNK2B,GSK3B,EIF2AK3,MYD88,IL2,IL6,STAT1,TLR2,IL1B,NFKBIB,CD209,IKBKE,CYCS,IL1A,HSPA8,HSPA6,IFNA4,CCNE1,FOS,CD3G,OAS1,IFNA7,IKBKB,TLR4,CCND1,CD3E,STAT5B,IRAK4,TRADD,RAB9B,TLR9,IFNAR1,RACK1,CDK2,MAPK9,RELA,MAPK8,TBK1,CSNK2A3,TNFAIP3,IL2RB,HSPA1L,FAS,MSN,IFIH1,CLEC4M,CDK6,IFNA6,TYK2,STAT2,MAP3K7,IFNB1,IFNA5,NFKB1,PIK3R1,FCGR2B,APAF1,IFNAR2,RCHY1,FASLG,CCNE2,FADD,CSNK2A1,PIK3R2,BCL2,CCND2,IL12B,MAPK10,JAK1,MX1,IFNA1,BID,EIF2S1,CBLB,IFNA21,BAX,DDX58,STAT5A,PIK3CD,CASP8,CDK4,IL2RG,HSPA1A,PIK3R3,CD3D,BBC3,CDKN1B,IRAK1,OAS2,SLAMF1,IRF7	29	139	4
NOD-like receptor signaling pathway	0.13793103448275862	0.009120225738184017	0.022099447513812154	15.123642598590209	0.00013373876642445092	0.0142654684186081	TRPV2,OAS2,TNFAIP3,CXCL8	RNASEL,CASR,PLCB4,DEFA4,RIPK3,TRPM7,VDAC2,IFNA10,XIAP,BCL2L1,DEFA1B,RIPK2,ITPR1,OAS3,GBP7,NAMPT,IRF3,RNF31,ATG16L1,CASP12,CHUK,GABARAPL2,GSDMD,JUN,PYDC2,TRAF3,CCL2,GBP5,GABARAPL1,DEFB103B,TANK,IRF9,HSP90AB1,IFNA2,NLRX1,IFNA13,DEFA3,PANX1,IKBKG,NLRP3,IFNA16,MAPK14,NLRP6,ATG5,PKN2,NAIP,TRIP6,MAVS,TAB2,MEFV,NFKBIA,CXCL1,BRCC3,TAB1,CARD8,IFNA17,MAPK3,AIM2,IFNA14,NLRC4,TRAF6,CARD16,CASP4,IFNA8,TAB3,MAPK11,MYD88,IL6,DNM1L,ITPR3,STAT1,STING1,CARD6,TRAF5,GABARAP,TRPM2,GBP1,IL1B,NFKBIB,DEFA5,IKBKE,CARD17,RIPK1,P2RX7,NEK7,PYDC5,TP53BP1,PKN1,IFNA4,NOD1,IFNA7,OAS1,IKBKB,TRAF2,TLR4,CARD9,GPRC6A,BIRC3,IRAK4,IFNAR1,DEFB4B,NLRP12,MAPK9,MCU,GBP3,RBCK1,RELA,MAPK8,TBK1,GBP4,NOD2,TRPV2,TNFAIP3,CCL5,CASP5,YWHAE,ITPR2,TXN,PRKCD,SHARPIN,PLCB1,CXCL2,TXNIP,MAPK12,VDAC3,SUGT1,NLRP7,PLCB3,MFN2,IFNA6,CYBA,ANTXR1,TYK2,PLCB2,STAT2,NLRP1,ATG12,ANTXR2,MAP3K7,CTSB,IFNA5,IFNB1,NFKB1,MFN1,HSP90AA1,IFNAR2,MAPK13,BIRC2,VDAC1,PYDC1,IL18,DEFA6,OAS2,FADD,TNF,TXN2,BCL2,CYBB,PYCARD,MAPK10,DHX33,PSTPIP1,JAK1,TICAM1,ERBIN,CAMP,IFNA1,CXCL3,IFNA21,DEFA1,CXCL8,CASP8,IFI16,CASP1,DEFB103A,MAPK1,GBP2,RHOA,DEFB4A,IRF7,CARD18	29	181	4
IL-17 signaling pathway	0.10344827586206896	0.004736470825355235	0.031914893617021274	21.84079236977256	0.00034534339658690743	0.021237812866541344	FOS,TNFAIP3,CXCL8	IL5,IL17RA,MMP3,CHUK,CXCL5,MMP13,JUN,MMP1,TRAF3,CCL2,HSP90AB1,IKBKG,IL17B,IL13,MAPK14,IL17RC,CXCL1,TAB2,NFKBIA,IL4,PTGS2,CSF3,MAPK3,S100A7,TRAF6,CSF2,IL17RE,ELAVL1,CASP3,CCL7,TAB3,GSK3B,MAPK11,IL17A,IL6,CCL11,TRAF5,CXCL6,TRAF4,FOSL1,IL1B,MAPK4,IKBKE,IFNG,IL17D,IL17C,MUC5B,IL17RB,FOS,IKBKB,TRAF2,MAPK7,TRADD,DEFB4B,CEBPB,MAPK9,RELA,MAPK8,TBK1,TNFAIP3,IL25,S100A8,MAPK15,CCL20,CXCL2,IL17F,MUC5AC,MAPK12,MMP9,MAP3K7,NFKB1,HSP90AA1,MAPK13,FADD,USP25,LCN2,TNF,CXCL10,MAPK10,JUND,S100A9,ANAPC5,CXCL3,CXCL8,CASP8,FOSB,TRAF3IP2,S100A7A,SRSF1,MAPK1,MAPK6,CCL17,DEFB4A,HSP90B1	29	94	3
Coronavirus disease	0.13793103448275862	0.01169001310087675	0.017241379310344827	11.799048751486326	0.0003454094435032181	0.021237812866541344	FOS,OAS2,MX1,CXCL8	RPL37A,CGAS,IFNA10,RPS13,RPL22,RPL19,RPL8,RPS9,RPS26,C2,RPL11,RPLP0,FAU,EIF2AK2,RPL30,RPLP1,OAS3,RPS19,RPL24,RPS3,MMP3,IRF3,CHUK,RPS27A,TLR7,PIK3CA,C4A,RPS27,RPS24,MAS1,C1S,RPL36,JUN,RPS7,MMP1,PIK3CB,RPL10A,TRAF3,RPL35A,RPL13A,CCL2,IL12A,RPS5,RPS4Y2,C8B,IRF9,RPL41,MX2,RPS18,IFNA2,C1QC,IKBKG,IFNA13,C1QB,ADAR,RPL22L1,NLRP3,IFNA16,MAPK14,AGTR1,RPLP2,RPS8,RPL23A,MAVS,TAB2,NFKBIA,RPL13,STAT3,IFNA17,RPL28,CSF3,MAPK3,IFNA14,FGA,TRAF6,RPL12,RPL26L1,RPS15,CSF2,IFNA8,ACE,RPS12,RPS14,TMPRSS2,RPL18A,MAPK11,RPL9,RPL34,MYD88,IL2,IL6,RPS20,STING1,RPS15A,STAT1,RPS17,C1R,RPL10,TLR2,PRKCG,IL1B,RPL32,NRP1,RPL4,NFKBIB,IKBKE,RPSA,RPS4Y1,C6,RPL27A,RPL7A,IFNA4,F13B,TLR3,RPL7,FOS,IFNA7,IKBKB,RPL36A-HNRNPH2,OAS1,SELP,TLR4,CFD,VWF,IRAK4,IFNAR1,RPL17-C18ORF32,RPS16,RPL27,MAPK9,RELA,RPS23,RPL36AL,RPL31,TBK1,F2,MAPK8,FGG,RPL26,RPL3,C5AR1,PRKCA,RPL36A,IFIH1,IL6R,RPL3L,RPL5,MAPK12,PLCG2,SYK,ISG15,C1QA,RPL29,IFNA6,EGFR,TNFRSF1A,TYK2,STAT2,RPS27L,RPL10L,UBA52,IFNB1,RPL21,IFNA5,MAP3K7,FCGR2A,NFKB1,PIK3R1,RPS25,RPS21,RSL24D1,IFNAR2,MAPK13,RPL18,CFB,MBL2,IL6ST,RPL17,C8A,RPL39,C3AR1,C9,RPL37,TNF,PIK3R2,CXCL10,IGH,IL12B,MASP2,CYBB,MAPK10,JAK1,MASP1,MX1,HBEGF,RPS10,RPS11,RPS28,IFNA1,IFNA21,PRKCB,CXCL8,RPS29,RPS10-NUDT3,RPS3A,RPS2,DDX58,RPL6,RPL38,PIK3CD,C8G,C4B,RPS4X,C5,CASP1,PLCG1,F13A1,ADAM17,RPL23,C3,ACE2,PIK3R3,TLR8,C7,MAPK1,RPL14,IRAK1,OAS2,RPS6,RPL35,RPL15,FGB	29	232	4
Chagas disease	0.10344827586206896	0.005139574725385468	0.029411764705882353	20.127789046653145	0.00043889602619957054	0.021237812866541344	CCL3,FOS,CXCL8	PLCB4,GNA11,AKT1,AKT3,CHUK,PIK3CA,PPP2R1B,JUN,PPP2R2C,PIK3CB,TGFB3,GNA14,CCL2,IL12A,CCL3,MAP2K4,IKBKG,C1QC,C1QB,MAPK14,TGFBR1,PPP2CB,TGFB2,NFKBIA,MAPK3,TRAF6,SMAD2,AKT2,ACE,GNA15,MAPK11,MYD88,IL2,IL6,NOS2,CCL3L3,TLR2,IL1B,GNAL,GNAI2,TGFBR2,IFNG,PPP2R1A,IL10,FOS,CD3G,IKBKB,TLR4,GNAO1,CD3E,IRAK4,TLR9,MAPK9,RELA,MAPK8,CCL5,FAS,IFNGR2,TGFB1,CALR,PLCB1,CFLAR,MAPK12,PLCB3,C1QA,TNFRSF1A,PLCB2,CCL3L1,IFNGR1,IFNB1,NFKB1,PIK3R1,PPP2R2B,MAPK13,PPP2CA,FASLG,GNAQ,FADD,CD247,TNF,PIK3R2,IL12B,PPP2R2A,GNAI3,MAPK10,ADCY1,KNG1,BDKRB2,TICAM1,CXCL8,PIK3CD,CASP8,GNAI1,GNAS,TLR6,SERPINE1,C3,PIK3R3,CD3D,MAPK1,IRAK1,PPP2R2D	29	102	3
Toll-like receptor signaling pathway	0.10344827586206896	0.005240350700393026	0.028846153846153848	19.740716180371354	0.00046457715645559184	0.021237812866541344	CCL3,FOS,CXCL8	CD86,IFNA10,LY96,AKT1,TOLLIP,IRF3,AKT3,CHUK,TLR7,PIK3CA,JUN,PIK3CB,TRAF3,CXCL9,IL12A,CCL3,MAP2K4,MAP2K1,IFNA2,CXCL11,IFNA13,IKBKG,IFNA16,MAPK14,TAB2,NFKBIA,TAB1,IFNA17,MAPK3,TLR5,IFNA14,CTSK,TRAF6,MAP2K7,AKT2,IFNA8,MAPK11,MYD88,IL6,STAT1,CD80,LBP,CCL3L3,TLR2,IRF5,IL1B,CD40,IKBKE,RIPK1,CD14,MAP2K3,TLR1,IFNA4,TLR3,CCL4,FOS,IFNA7,IKBKB,TLR4,IRAK4,TICAM2,TLR9,IFNAR1,MAPK9,RELA,MAPK8,TBK1,CCL5,SPP1,CCL4L2,MAP2K2,MAPK12,IFNA6,CCL3L1,MAP3K8,MAP3K7,IFNB1,IFNA5,NFKB1,PIK3R1,IFNAR2,MAPK13,RAC1,FADD,PIK3R2,TNF,CXCL10,IL12B,MAPK10,TICAM1,IFNA1,IFNA21,CXCL8,PIK3CD,TIRAP,CASP8,TLR6,CCL4L1,PIK3R3,MAP2K6,TLR8,MAPK1,IRAK1,IRF7	29	104	3
Osteoclast differentiation	0.10344827586206896	0.006399274412979945	0.023622047244094488	16.165625848493075	0.0008315061697559228	0.03326024679023691	ACP5,FOS,LILRB2	SQSTM1,CSF1,SIRPB1,PPP3CC,AKT1,AKT3,CHUK,PPP3R2,PIK3CA,FHL2,MAP3K14,JUN,IL1R1,PIK3CB,LILRA1,FCGR1A,CAMK4,LILRB4,TYROBP,IRF9,PPP3CA,LILRA2,MAP2K1,IKBKG,MAPK14,TGFBR1,FCGR3A,TAB2,TGFB2,TEC,NFATC2,LILRB5,FOSL2,NFKBIA,PPP3CB,TAB1,PPP3R1,OSCAR,MAPK3,BTK,CTSK,TRAF6,MAP2K7,NCF4,AKT2,NCF1,SIRPA,MAPK11,NFATC1,LILRB3,TREM2,STAT1,FOSL1,SOCS1,IL1B,IL1A,TGFBR2,IFNG,LCP2,FOS,IKBKB,SPI1,NOX1,TRAF2,LILRA5,FCGR3B,CALCR,IFNAR1,CSF1R,MAPK9,CYLD,ACP5,RELA,MAPK8,LILRB2,BLNK,MITF,CREB1,IFNGR2,TGFB1,FYN,FCGR2C,MAPK12,PLCG2,NCF2,SYK,LILRA6,TNFRSF1A,CYBA,TNFSF11,TYK2,LILRA3,STAT2,IFNGR1,MAP3K7,FCGR2A,IFNB1,ITGB3,NFKB1,PIK3R1,FCGR2B,IFNAR2,MAPK13,RAC1,SOCS3,PIK3R2,TNF,SIRPG,PPARG,LILRB1,MAPK10,GAB2,JAK1,JUND,LCK,RELB,PIK3CD,FOSB,TNFRSF11B,JUNB,TNFRSF11A,PIK3R3,MAP2K6,MAPK1,NFKB2,GRB2,LILRA4	29	127	3
Influenza A	0.10344827586206896	0.008666733850650005	0.01744186046511628	11.936246992782678	0.0019887851037102815	0.07071235924303224	OAS2,MX1,CXCL8	RNASEL,RAE1,IFNA10,CPSF4,TNFSF10,HLA-DPA1,EIF2AK2,AKT1,OAS3,NXF5,IRF3,AKT3,CHUK,TLR7,PIK3CA,CASP9,BCL2L2-PABPN1,PML,PIK3CB,CREBBP,TRAF3,EP300,CCL2,IL12A,IRF9,RAB11A,ACTG1,JAK2,KPNA1,MAP2K1,MX2,DNAJC3,NLRX1,CCND3,IFNA13,IFNA2,IKBKG,ADAR,NLRP3,IFNA16,TNFRSF10A,HLA-DPB1,RAB11B,NXT2,HLA-DRB5,MAVS,NFKBIA,DNAJB1,TMPRSS11D,NXT1,BAK1,TMPRSS4,PRSS3,IFNA17,MAPK3,HLA-DQA1,IFNA14,PABPN1,KPNA6,AKT2,TPSD1,IFNA8,CASP3,TMPRSS2,HLA-DMB,SLC25A5,HLA-DOA,MYD88,IL6,STAT1,NXF2B,SLC25A4,IL1B,NFKBIB,IKBKE,CYCS,CIITA,IL1A,IFNG,PLG,SLC25A6,HLA-DRB1,IFNA4,TLR3,HLA-DRB3,OAS1,IFNA7,IKBKB,NXF1,TLR4,NUP98,IRAK4,TRADD,IFNAR1,RELA,PRSS2,TBK1,XPO1,TNFRSF10B,CCL5,RAF1,FAS,HLA-DQB1,PRKCA,CALCOCO2,IFNGR2,IL33,CDK6,IFIH1,MAP2K2,HLA-DOB,TNFRSF1A,IFNA6,TYK2,ACTB,STAT2,IFNGR1,IFNB1,HLA-DQA2,IFNA5,NFKB1,PIK3R1,HLA-DRA,HLA-DMA,APAF1,IFNAR2,KPNA5,FASLG,FDPS,VDAC1,IL18,FADD,SOCS3,ICAM1,PIK3R2,TNF,TPSB2,CXCL10,TRIM25,KPNA2,IL12B,PRSS1,CPSF4L,PYCARD,SLC25A31,JAK1,PABPN1L,NXF3,HLA-DRB4,TICAM1,MX1,IFNA1,BID,EIF2S1,IFNA21,PRKCB,BAX,TPSAB1,CXCL8,RSAD2,DDX58,KPNA7,NXF2,PIK3CD,CASP8,CDK4,CASP1,HNRNPUL1,PIK3R3,MAPK1,OAS2,IRF7	29	172	3
Lipid and atherosclerosis	0.10344827586206896	0.010833417313312506	0.013953488372093023	9.548997594226144	0.00373727547051157	0.11959281505637025	CCL3,FOS,CXCL8	ATF4,APOB,SRC,PLCB4,IFNA10,BCL2L1,TNFSF10,CALML5,VAV3,PPP3CC,LY96,NOS3,AKT1,ITPR1,PTK2,IRF3,VAV1,AKT3,MMP3,CHUK,PPP3R2,ERN1,PIK3CA,CASP9,JUN,MMP1,PIK3CB,TRAF3,CCL2,IL12A,CCL3,TANK,CASP6,HSPA2,JAK2,ARHGEF1,PPP3CA,MAP2K4,HSP90AB1,IFNA2,IKBKG,IFNA13,NLRP3,IFNA16,MAPK14,TNFRSF10A,CYP1A1,PDPK1,CDC42,BAD,RXRA,CXCL1,TAB2,NFATC2,NRAS,HSPA1B,MAP3K5,NFKBIA,XBP1,CAMK2G,PPP3CB,CALML4,PPP3R1,CD36,CYP2A7,STAT3,IFNA17,TAB1,KRAS,MAPK3,SELE,IFNA14,CALML6,TRAF6,NCF4,AKT2,CYP2J2,MAP2K7,MIB2,IFNA8,HSPA4,NCF1,RAP1B,CASP7,CASP3,TP53,GSK3B,EIF2AK3,MAPK11,ABCA1,ABCG1,NFATC1,MYD88,IL6,LBP,CCL3L3,TLR2,IL1B,CD40,NFE2L2,IKBKE,CYCS,CYP2C9,MIB1,CD14,HSPA8,HSPA6,CALM3,MAP2K3,IFNA4,FOS,IFNA7,IKBKB,NOX1,TRAF2,DDIT3,SELP,TLR4,CD40LG,CYP2A6,IRAK4,APOA1,TICAM2,RXRB,LYN,CYP2C8,MAPK9,RELA,MAPK8,TBK1,TNFRSF10B,CCL5,APOA4,HSPA1L,FAS,VLDLR,PRKCA,CYP2B6,PLCB1,CXCL2,MAPK12,MMP9,NCF2,PLCB3,IFNA6,CYBA,CALM2,ATF6,TNFRSF1A,CAMK2B,PLCB2,CCL3L1,POU2F2,IFNB1,MAP3K7,IFNA5,RAP1A,NFKB1,SOD2,PIK3R1,HSP90AA1,APAF1,MAPK13,RAC1,HSPD1,FASLG,NFATC3,IL18,HRAS,ICAM1,PIK3R2,TNF,POU2F1,BCL2,IL12B,PPARG,CYBB,PYCARD,MAPK10,TICAM1,POU2F3,IFNA1,CXCL3,BID,EIF2S1,IFNA21,CXCL8,BAX,RXRG,VAV2,VCAM1,ROCK2,CALM1,PIK3CD,TIRAP,CASP8,CAMK2D,CAMK2A,ERO1A,CASP1,CALML3,PLCG1,OLR1,HSPA1A,TLR6,LDLR,PIK3R3,MAP2K6,MAPK1,AGER,IRAK1,RHOA,HSPA5,HSP90B1,IRF7	29	215	3
