term	go_id	go_depth
'De Novo' AMP Biosynthetic Process (GO:0044208)	GO:0044208	12
'De Novo' Post-Translational Protein Folding (GO:0051084)	GO:0051084	5
2-Oxoglutarate Metabolic Process (GO:0006103)	GO:0006103	8
3'-UTR-mediated mRNA Destabilization (GO:0061158)	GO:0061158	9
3'-UTR-mediated mRNA Stabilization (GO:0070935)	GO:0070935	10
3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process (GO:0050427)	GO:0050427	5
5S Class rRNA Transcription By RNA Polymerase III (GO:0042791)	GO:0042791	9
7-Methylguanosine RNA Capping (GO:0009452)	GO:0009452	9
7-Methylguanosine Cap Hypermethylation (GO:0036261)	GO:0036261	10
7-Methylguanosine mRNA Capping (GO:0006370)	GO:0006370	9
ADP Transport (GO:0015866)	GO:0015866	7
AMP Biosynthetic Process (GO:0006167)	GO:0006167	11
AMP Metabolic Process (GO:0046033)	GO:0046033	10
ATF6-mediated Unfolded Protein Response (GO:0036500)	GO:0036500	6
ATP Biosynthetic Process (GO:0006754)	GO:0006754	11
ATP Metabolic Process (GO:0046034)	GO:0046034	10
ATP Synthesis Coupled Electron Transport (GO:0042773)	GO:0042773	9
ATP Transport (GO:0015867)	GO:0015867	7
AV Node Cell Action Potential (GO:0086016)	GO:0086016	7
AV Node Cell To Bundle Of His Cell Communication (GO:0086067)	GO:0086067	5
Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)	GO:0034314	10
B Cell Activation (GO:0042113)	GO:0042113	6
B Cell Activation Involved In Immune Response (GO:0002312)	GO:0002312	7
B Cell Chemotaxis (GO:0035754)	GO:0035754	6
B Cell Differentiation (GO:0030183)	GO:0030183	7
B Cell Homeostasis (GO:0001782)	GO:0001782	5
B Cell Mediated Immunity (GO:0019724)	GO:0019724	6
B Cell Proliferation (GO:0042100)	GO:0042100	7
B Cell Receptor Signaling Pathway (GO:0050853)	GO:0050853	7
BMP Signaling Pathway (GO:0030509)	GO:0030509	8
C-terminal Protein Amino Acid Modification (GO:0018410)	GO:0018410	8
C-terminal Protein Deglutamylation (GO:0035609)	GO:0035609	9
C-terminal Protein Lipidation (GO:0006501)	GO:0006501	8
C4-dicarboxylate Transport (GO:0015740)	GO:0015740	9
CD4-positive, Alpha-Beta T Cell Activation (GO:0035710)	GO:0035710	8
CD40 Signaling Pathway (GO:0023035)	GO:0023035	6
CENP-A Containing Chromatin Assembly (GO:0034080)	GO:0034080	10
COPI Coating Of Golgi Vesicle (GO:0048205)	GO:0048205	9
COPI-coated Vesicle Budding (GO:0035964)	GO:0035964	8
COPII Vesicle Coating (GO:0048208)	GO:0048208	9
COPII-coated Vesicle Budding (GO:0090114)	GO:0090114	7
COPII-coated Vesicle Cargo Loading (GO:0090110)	GO:0090110	6
CRD-mediated mRNA Stabilization (GO:0070934)	GO:0070934	10
Cdc42 Protein Signal Transduction (GO:0032488)	GO:0032488	9
DNA Alkylation (GO:0006305)	GO:0006305	9
DNA Biosynthetic Process (GO:0071897)	GO:0071897	8
DNA Catabolic Process (GO:0006308)	GO:0006308	8
DNA Conformation Change (GO:0071103)	GO:0071103	7
DNA Cytosine Deamination (GO:0070383)	GO:0070383	10
DNA Damage Checkpoint Signaling (GO:0000077)	GO:0000077	8
DNA Damage Response (GO:0006974)	GO:0006974	5
DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)	GO:0030330	7
DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)	GO:0006977	8
DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator (GO:0006978)	GO:0006978	8
DNA Damage Response, Signal Transduction Resulting In Transcription (GO:0042772)	GO:0042772	7
DNA Dealkylation (GO:0035510)	GO:0035510	9
DNA Dealkylation Involved In DNA Repair (GO:0006307)	GO:0006307	9
DNA Deamination (GO:0045006)	GO:0045006	9
DNA Double-Strand Break Processing (GO:0000729)	GO:0000729	8
DNA Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing (GO:0010792)	GO:0010792	9
DNA Duplex Unwinding (GO:0032508)	GO:0032508	9
DNA Geometric Change (GO:0032392)	GO:0032392	8
DNA Integrity Checkpoint Signaling (GO:0031570)	GO:0031570	7
DNA Ligation (GO:0006266)	GO:0006266	8
DNA Metabolic Process (GO:0006259)	GO:0006259	7
DNA Methylation (GO:0006306)	GO:0006306	10
DNA Methylation Involved In Embryo Development (GO:0043045)	GO:0043045	10
DNA Methylation-Dependent Heterochromatin Formation (GO:0006346)	GO:0006346	11
DNA Modification (GO:0006304)	GO:0006304	8
DNA Recombination (GO:0006310)	GO:0006310	8
DNA Repair (GO:0006281)	GO:0006281	8
DNA Repair-Dependent Chromatin Remodeling (GO:0140861)	GO:0140861	9
DNA Replication (GO:0006260)	GO:0006260	8
DNA Replication Checkpoint Signaling (GO:0000076)	GO:0000076	8
DNA Replication Initiation (GO:0006270)	GO:0006270	8
DNA Replication-Dependent Chromatin Assembly (GO:0006335)	GO:0006335	8
DNA Strand Elongation (GO:0022616)	GO:0022616	8
DNA Strand Elongation Involved In DNA Replication (GO:0006271)	GO:0006271	10
DNA Strand Resection Involved In Replication Fork Processing (GO:0110025)	GO:0110025	8
DNA Synthesis Involved In DNA Repair (GO:0000731)	GO:0000731	9
DNA Topological Change (GO:0006265)	GO:0006265	8
DNA Unwinding Involved In DNA Replication (GO:0006268)	GO:0006268	10
DNA-templated DNA Replication (GO:0006261)	GO:0006261	9
DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)	GO:0045005	8
DNA-templated Transcription (GO:0006351)	GO:0006351	7
DNA-templated Transcription Elongation (GO:0006354)	GO:0006354	8
DNA-templated Transcription Initiation (GO:0006352)	GO:0006352	8
DNA-templated Transcription Termination (GO:0006353)	GO:0006353	8
ER Overload Response (GO:0006983)	GO:0006983	6
ER-associated Misfolded Protein Catabolic Process (GO:0071712)	GO:0071712	9
ERAD Pathway (GO:0036503)	GO:0036503	6
ERBB Signaling Pathway (GO:0038127)	GO:0038127	8
ERBB2 Signaling Pathway (GO:0038128)	GO:0038128	9
ERBB2-EGFR Signaling Pathway (GO:0038134)	GO:0038134	10
ERK1 And ERK2 Cascade (GO:0070371)	GO:0070371	7
ESCRT III Complex Disassembly (GO:1904903)	GO:1904903	8
ESCRT Complex Disassembly (GO:1904896)	GO:1904896	7
Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431)	GO:0002431	6
Fc Receptor Signaling Pathway (GO:0038093)	GO:0038093	7
Fc-epsilon Receptor Signaling Pathway (GO:0038095)	GO:0038095	8
Fc-gamma Receptor Signaling Pathway (GO:0038094)	GO:0038094	8
Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096)	GO:0038096	7
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213)	GO:0007213	6
G Protein-Coupled Glutamate Receptor Signaling Pathway (GO:0007216)	GO:0007216	6
G Protein-Coupled Receptor Internalization (GO:0002031)	GO:0002031	8
G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)	GO:0007187	6
G Protein-Coupled Serotonin Receptor Signaling Pathway (GO:0098664)	GO:0098664	6
G-quadruplex DNA Unwinding (GO:0044806)	GO:0044806	9
G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	GO:0000082	7
G2/M Transition Of Mitotic Cell Cycle (GO:0000086)	GO:0000086	7
GDP-mannose Metabolic Process (GO:0019673)	GO:0019673	8
GMP Biosynthetic Process (GO:0006177)	GO:0006177	11
GMP Metabolic Process (GO:0046037)	GO:0046037	10
GPI Anchor Biosynthetic Process (GO:0006506)	GO:0006506	8
GPI Anchor Metabolic Process (GO:0006505)	GO:0006505	8
GTP Metabolic Process (GO:0046039)	GO:0046039	10
Golgi Disassembly (GO:0090166)	GO:0090166	7
Golgi Inheritance (GO:0048313)	GO:0048313	7
Golgi Lumen Acidification (GO:0061795)	GO:0061795	10
Golgi Organization (GO:0007030)	GO:0007030	6
Golgi Ribbon Formation (GO:0090161)	GO:0090161	7
Golgi To Endosome Transport (GO:0006895)	GO:0006895	8
Golgi To Lysosome Transport (GO:0090160)	GO:0090160	9
Golgi To Plasma Membrane Protein Transport (GO:0043001)	GO:0043001	9
Golgi To Plasma Membrane Transport (GO:0006893)	GO:0006893	8
Golgi To Vacuole Transport (GO:0006896)	GO:0006896	8
Golgi Transport Vesicle Coating (GO:0048200)	GO:0048200	9
Golgi Vesicle Transport (GO:0048193)	GO:0048193	6
His-Purkinje System Development (GO:0003164)	GO:0003164	8
I-kappaB kinase/NF-kappaB Signaling (GO:0007249)	GO:0007249	6
I-kappaB Phosphorylation (GO:0007252)	GO:0007252	8
IMP Biosynthetic Process (GO:0006188)	GO:0006188	11
IMP Metabolic Process (GO:0046040)	GO:0046040	10
IRE1-mediated Unfolded Protein Response (GO:0036498)	GO:0036498	6
ISG15-protein Conjugation (GO:0032020)	GO:0032020	10
JNK Cascade (GO:0007254)	GO:0007254	8
L-alanine Transport (GO:0015808)	GO:0015808	10
L-alpha-amino Acid Transmembrane Transport (GO:1902475)	GO:1902475	10
L-amino Acid Transport (GO:0015807)	GO:0015807	9
L-arginine Transmembrane Transport (GO:1903826)	GO:1903826	7
L-ascorbic Acid Metabolic Process (GO:0019852)	GO:0019852	6
L-aspartate Import Across Plasma Membrane (GO:0140009)	GO:0140009	12
L-aspartate Transmembrane Transport (GO:0070778)	GO:0070778	11
L-fucose Catabolic Process (GO:0042355)	GO:0042355	9
L-fucose Metabolic Process (GO:0042354)	GO:0042354	8
L-glutamate Import (GO:0051938)	GO:0051938	9
L-glutamate Transmembrane Transport (GO:0015813)	GO:0015813	10
L-methionine Salvage (GO:0071267)	GO:0071267	10
L-ornithine Transmembrane Transport (GO:1903352)	GO:1903352	10
L-phenylalanine Catabolic Process (GO:0006559)	GO:0006559	10
L-phenylalanine Metabolic Process (GO:0006558)	GO:0006558	9
L-serine Metabolic Process (GO:0006563)	GO:0006563	10
MAPK Cascade (GO:0000165)	GO:0000165	6
MHC Class II Protein Complex Assembly (GO:0002399)	GO:0002399	8
MyD88-dependent Toll-Like Receptor Signaling Pathway (GO:0002755)	GO:0002755	8
MyD88-independent Toll-Like Receptor Signaling Pathway (GO:0002756)	GO:0002756	8
N-acetylglucosamine Metabolic Process (GO:0006044)	GO:0006044	7
N-acetylneuraminate Catabolic Process (GO:0019262)	GO:0019262	7
N-acetylneuraminate Metabolic Process (GO:0006054)	GO:0006054	6
N-acylphosphatidylethanolamine Metabolic Process (GO:0070292)	GO:0070292	5
N-glycan Processing (GO:0006491)	GO:0006491	7
N-terminal Peptidyl-Methionine Acetylation (GO:0017196)	GO:0017196	10
N-terminal Protein Amino Acid Acetylation (GO:0006474)	GO:0006474	9
N-terminal Protein Amino Acid Modification (GO:0031365)	GO:0031365	7
NAD Biosynthesis Via Nicotinamide Riboside Salvage Pathway (GO:0034356)	GO:0034356	11
NAD Biosynthetic Process (GO:0009435)	GO:0009435	10
NAD Metabolic Process (GO:0019674)	GO:0019674	9
NADH Dehydrogenase Complex Assembly (GO:0010257)	GO:0010257	7
NADH Metabolic Process (GO:0006734)	GO:0006734	10
NADP Metabolic Process (GO:0006739)	GO:0006739	9
NADPH Regeneration (GO:0006740)	GO:0006740	5
NIK/NF-kappaB Signaling (GO:0038061)	GO:0038061	6
NLS-bearing Protein Import Into Nucleus (GO:0006607)	GO:0006607	8
Notch Receptor Processing (GO:0007220)	GO:0007220	6
Notch Signaling Involved In Heart Development (GO:0061314)	GO:0061314	7
Notch Signaling Pathway (GO:0007219)	GO:0007219	6
O-glycan Processing (GO:0016266)	GO:0016266	9
P-body Assembly (GO:0033962)	GO:0033962	8
PERK-mediated Unfolded Protein Response (GO:0036499)	GO:0036499	6
PML Body Organization (GO:0030578)	GO:0030578	8
R-loop Processing (GO:0062176)	GO:0062176	9
RIG-I Signaling Pathway (GO:0039529)	GO:0039529	8
RISC Complex Assembly (GO:0070922)	GO:0070922	7
RNA 3'-End Processing (GO:0031123)	GO:0031123	8
RNA Biosynthetic Process (GO:0032774)	GO:0032774	6
RNA Capping (GO:0036260)	GO:0036260	8
RNA Catabolic Process (GO:0006401)	GO:0006401	6
RNA Decapping (GO:0110154)	GO:0110154	8
RNA Destabilization (GO:0050779)	GO:0050779	7
RNA Export From Nucleus (GO:0006405)	GO:0006405	9
RNA Metabolic Process (GO:0016070)	GO:0016070	7
RNA Methylation (GO:0001510)	GO:0001510	9
RNA Modification (GO:0009451)	GO:0009451	8
RNA Phosphodiester Bond Hydrolysis (GO:0090501)	GO:0090501	0
RNA Phosphodiester Bond Hydrolysis, Endonucleolytic (GO:0090502)	GO:0090502	0
RNA Polyadenylation (GO:0043631)	GO:0043631	0
RNA Polymerase II Preinitiation Complex Assembly (GO:0051123)	GO:0051123	10
RNA Processing (GO:0006396)	GO:0006396	7
RNA Secondary Structure Unwinding (GO:0010501)	GO:0010501	8
RNA Splicing (GO:0008380)	GO:0008380	8
RNA Splicing, Via Endonucleolytic Cleavage And Ligation (GO:0000394)	GO:0000394	9
RNA Splicing, Via Transesterification Reactions (GO:0000375)	GO:0000375	9
RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	GO:0000377	10
RNA Stabilization (GO:0043489)	GO:0043489	8
RNA Transport (GO:0050658)	GO:0050658	8
RNA-mediated Gene Silencing (GO:0031047)	GO:0031047	8
RNA-templated DNA Biosynthetic Process (GO:0006278)	GO:0006278	9
Rac Protein Signal Transduction (GO:0016601)	GO:0016601	8
Rap Protein Signal Transduction (GO:0032486)	GO:0032486	8
Ras Protein Signal Transduction (GO:0007265)	GO:0007265	7
Rho Protein Signal Transduction (GO:0007266)	GO:0007266	8
SA Node Cell Action Potential (GO:0086015)	GO:0086015	7
SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146)	GO:0031146	10
SMAD Protein Complex Assembly (GO:0007183)	GO:0007183	0
SMAD Protein Signal Transduction (GO:0060395)	GO:0060395	8
SNARE Complex Assembly (GO:0035493)	GO:0035493	8
SREBP Signaling Pathway (GO:0032933)	GO:0032933	6
SRP-dependent Cotranslational Protein Targeting To Membrane (GO:0006614)	GO:0006614	10
Schwann Cell Development (GO:0014044)	GO:0014044	8
T Cell Activation (GO:0042110)	GO:0042110	6
T Cell Activation Involved In Immune Response (GO:0002286)	GO:0002286	7
T Cell Apoptotic Process (GO:0070231)	GO:0070231	8
T Cell Chemotaxis (GO:0010818)	GO:0010818	6
T Cell Differentiation (GO:0030217)	GO:0030217	7
T Cell Differentiation In Thymus (GO:0033077)	GO:0033077	8
T Cell Homeostasis (GO:0043029)	GO:0043029	5
T Cell Mediated Cytotoxicity (GO:0001913)	GO:0001913	5
T Cell Mediated Immunity (GO:0002456)	GO:0002456	6
T Cell Migration (GO:0072678)	GO:0072678	6
T Cell Proliferation (GO:0042098)	GO:0042098	7
T Cell Receptor Signaling Pathway (GO:0050852)	GO:0050852	7
T-helper 1 Cell Differentiation (GO:0045063)	GO:0045063	7
T-helper 1 Type Immune Response (GO:0042088)	GO:0042088	6
T-helper 17 Cell Differentiation (GO:0072539)	GO:0072539	12
T-helper 17 Cell Lineage Commitment (GO:0072540)	GO:0072540	13
T-helper 2 Cell Differentiation (GO:0045064)	GO:0045064	5
T-helper Cell Differentiation (GO:0042093)	GO:0042093	11
T-helper Cell Lineage Commitment (GO:0002295)	GO:0002295	12
TOR Signaling (GO:0031929)	GO:0031929	6
TORC1 Signaling (GO:0038202)	GO:0038202	7
TORC2 Signaling (GO:0038203)	GO:0038203	7
TRAIL-activated Apoptotic Signaling Pathway (GO:0036462)	GO:0036462	8
TRIF-dependent Toll-Like Receptor Signaling Pathway (GO:0035666)	GO:0035666	9
U2-type Prespliceosome Assembly (GO:1903241)	GO:1903241	13
U4 snRNA 3'-End Processing (GO:0034475)	GO:0034475	12
UDP-N-acetylglucosamine Biosynthetic Process (GO:0006048)	GO:0006048	7
UDP-N-acetylglucosamine Metabolic Process (GO:0006047)	GO:0006047	6
UV Protection (GO:0009650)	GO:0009650	7
UV-damage Excision Repair (GO:0070914)	GO:0070914	9
V(D)J Recombination (GO:0033151)	GO:0033151	5
Wnt Signaling Pathway (GO:0016055)	GO:0016055	6
Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation (GO:1904953)	GO:1904953	7
Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)	GO:0060071	8
[2Fe-2S] Cluster Assembly (GO:0044571)	GO:0044571	6
acetyl-CoA Biosynthetic Process (GO:0006085)	GO:0006085	12
acetyl-CoA Biosynthetic Process From Pyruvate (GO:0006086)	GO:0006086	13
acetyl-CoA Metabolic Process (GO:0006084)	GO:0006084	11
Acetylcholine Receptor Signaling Pathway (GO:0095500)	GO:0095500	6
Acid Secretion (GO:0046717)	GO:0046717	6
Acidic Amino Acid Transport (GO:0015800)	GO:0015800	9
Actin Crosslink Formation (GO:0051764)	GO:0051764	9
Actin Cytoskeleton Reorganization (GO:0031532)	GO:0031532	0
Actin Filament Bundle Assembly (GO:0051017)	GO:0051017	6
Actin Filament Bundle Organization (GO:0061572)	GO:0061572	9
Actin Filament Capping (GO:0051693)	GO:0051693	12
Actin Filament Depolymerization (GO:0030042)	GO:0030042	10
Actin Filament Network Formation (GO:0051639)	GO:0051639	9
