	TECAN-25k-AL002-1	TECAN-25k-AL002-2	TECAN-25k-AL002-3	TECAN-25k-AL002-4	TECAN-25k-isotype-1	TECAN-25k-isotype-2	TECAN-25k-isotype-3	TECAN-25k-isotype-4
ENSG00000290825	0	0	0	0	0	0	0	0
ENSG00000223972	0	0	0	0	0	0	0	0
ENSG00000227232	19	3	7	0	0	11	35	18
ENSG00000278267	10	12	8	11	7	3	0	5
ENSG00000243485	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0
ENSG00000290826	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0
ENSG00000238009	1	3	0	13	0	4	9	0
ENSG00000239945	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0
ENSG00000268903	51	18	35	85	5	41	34	74
ENSG00000269981	53	21	56	132	21	49	18	59
ENSG00000239906	0	0	0	0	0	0	0	0
ENSG00000241860	0	0	4	2	0	1	0	8
ENSG00000222623	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	0	0	0	0
ENSG00000279457	30	20	47	56	20	29	66	44
ENSG00000273874	0	0	0	0	0	0	0	0
ENSG00000228463	0	3	0	0	0	0	0	0
ENSG00000286448	0	0	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0
ENSG00000290385	27	55	57	92	28	65	39	37
ENSG00000269732	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0
ENSG00000237094	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0
ENSG00000230021	0	2	0	0	0	0	0	12
ENSG00000235146	0	0	0	0	0	0	0	0
ENSG00000225972	17	2	4	13	8	9	13	11
ENSG00000225630	6984	6217	6293	8873	4367	5417	7914	8637
ENSG00000237973	392	743	1114	1307	609	781	1073	1281
ENSG00000278791	1	4	1	1	0	0	0	4
ENSG00000229344	58	47	44	39	22	50	62	63
ENSG00000240409	0	1	1	0	0	0	0	0
ENSG00000248527	20936	16949	18077	23204	12515	15264	18845	24313
ENSG00000198744	92	99	72	148	68	89	99	147
ENSG00000268663	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0
ENSG00000291215	29	21	4	3	15	23	39	3
ENSG00000223181	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0
ENSG00000228327	0	0	0	0	0	0	0	0
ENSG00000237491	0	2	14	14	13	0	0	0
ENSG00000285268	0	0	0	0	0	0	0	0
ENSG00000290784	0	0	0	0	0	0	0	0
ENSG00000230092	0	0	0	0	0	0	0	0
ENSG00000177757	0	0	0	0	0	0	0	0
ENSG00000225880	6	0	0	27	0	13	16	18
ENSG00000228794	141	96	87	143	72	111	158	142
ENSG00000288531	0	0	0	0	0	0	0	0
ENSG00000230368	0	0	0	0	0	0	0	0
ENSG00000234711	0	0	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0
ENSG00000272438	0	0	0	0	0	0	0	0
ENSG00000230699	0	0	0	0	0	0	0	0
ENSG00000241180	0	0	0	0	0	0	0	0
ENSG00000223764	0	4	0	0	0	5	0	1
ENSG00000187634	13	6	42	8	4	2	27	47
ENSG00000188976	782	1047	722	1107	604	771	957	875
ENSG00000187961	85	99	67	135	66	110	69	74
ENSG00000187583	0	0	0	0	3	0	0	0
ENSG00000187642	0	0	0	0	0	0	0	0
ENSG00000272512	0	0	0	0	0	0	0	0
ENSG00000188290	0	6	30	9	0	8	15	7
ENSG00000187608	476	357	283	416	229	149	253	364
ENSG00000231702	0	0	0	0	0	0	0	0
ENSG00000224969	0	0	0	4	0	0	0	0
ENSG00000188157	1658	1944	2002	2768	1369	1716	1811	2263
ENSG00000242590	0	0	0	0	0	0	0	0
ENSG00000291156	0	0	0	0	0	0	0	0
ENSG00000273443	0	0	0	0	0	0	0	0
ENSG00000217801	0	0	0	0	0	9	0	0
ENSG00000237330	0	0	0	0	0	0	0	0
ENSG00000131591	106	94	109	96	53	142	133	94
ENSG00000285812	0	0	0	0	0	0	0	0
ENSG00000223823	0	0	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0	0	0
ENSG00000205231	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0
ENSG00000186891	0	22	0	0	0	0	0	0
ENSG00000186827	0	0	0	31	4	8	0	5
ENSG00000078808	2945	3090	3542	4805	2373	3066	3199	4203
ENSG00000176022	230	214	314	455	254	313	374	456
ENSG00000184163	0	0	0	0	7	6	0	0
ENSG00000260179	0	0	0	0	0	0	0	0
ENSG00000160087	461	430	512	719	397	560	492	798
ENSG00000230415	0	0	0	0	1	0	0	14
ENSG00000162572	13	0	6	15	3	5	16	7
ENSG00000131584	248	334	373	597	213	248	357	342
ENSG00000278073	0	0	0	0	0	0	0	0
ENSG00000169972	145	198	88	305	77	216	178	224
ENSG00000127054	574	711	769	864	404	613	733	645
ENSG00000283712	0	0	0	0	0	0	0	0
ENSG00000240731	0	0	1	8	0	1	0	0
ENSG00000224051	403	333	401	572	350	519	431	535
ENSG00000169962	0	0	0	0	0	0	0	0
ENSG00000107404	309	403	562	458	272	335	398	343
ENSG00000284372	0	0	0	0	0	0	0	0
ENSG00000162576	0	9	0	15	22	7	15	0
ENSG00000175756	323	603	645	799	412	523	660	721
ENSG00000223663	0	0	0	0	0	0	0	0
ENSG00000221978	941	832	900	1278	627	761	952	841
ENSG00000224870	144	207	251	268	102	209	111	189
ENSG00000242485	513	512	632	823	325	477	445	587
ENSG00000264293	0	0	0	0	0	0	0	0
ENSG00000272455	27	21	0	3	7	0	0	16
ENSG00000235098	0	0	0	0	0	0	0	0
ENSG00000225905	0	0	0	0	0	0	0	0
ENSG00000205116	0	0	0	0	0	0	0	0
ENSG00000225285	0	0	0	0	0	0	0	0
ENSG00000179403	0	3	21	36	0	1	0	4
ENSG00000215915	0	0	0	0	0	0	0	4
ENSG00000160072	125	192	173	222	82	109	196	159
ENSG00000290916	0	0	0	0	0	0	0	0
ENSG00000284740	0	0	0	0	0	0	0	0
ENSG00000197785	249	202	279	416	168	193	317	465
ENSG00000205090	10	0	0	0	0	2	0	0
ENSG00000160075	1158	1203	1164	1771	833	1026	1222	1776
ENSG00000215014	11	33	2	46	9	0	31	19
ENSG00000274481	0	0	0	0	0	0	0	0
ENSG00000228594	436	574	419	729	409	455	527	598
ENSG00000286989	6	4	16	67	1	29	18	9
ENSG00000272106	72	58	27	70	33	33	53	32
ENSG00000197530	404	408	418	514	202	344	347	323
ENSG00000189409	0	0	0	0	0	0	0	0
ENSG00000248333	493	422	589	567	235	429	539	539
ENSG00000272004	0	0	0	0	0	0	0	0
