baseMean	log2FoldChange	lfcSE	pvalue	padj	wtpval	Gene
TARBP1	44.2863101716311	-0.60342096126163	0.136028762683943	3.26761462891816e-08	0.00011264099820893	2.84190923939356e-08	TARBP1
PRKCQ	25.7473948937389	-0.769391823200511	0.163685747051966	3.90909881310362e-08	0.00011264099820893	2.83913551201438e-08	PRKCQ
CH25H	26.803515715324	-1.5541582639439	0.410943225891834	3.09297061188329e-08	0.00011264099820893	3.0933827520067e-08	CH25H
SLC38A2	159.936173071308	0.573616314119086	0.133858558028713	4.3924894013777e-08	0.00011264099820893	2.78571941324586e-08	SLC38A2
CIRBP	101.783690727354	-0.692104040716645	0.145448739380957	2.0676213291484e-08	0.00011264099820893	1.35501786152547e-08	CIRBP
LSMEM1	6.17802594589239	1.02457581763316	0.232509160889762	7.0544634755145e-08	0.000137227243980267	1.82702210553839e-07	LSMEM1
CD69	43.5773542263382	-1.14434098134841	0.273401035819464	7.49173847965896e-08	0.000137227243980267	5.44116733325476e-08	CD69
RALGAPA2	243.158539780962	0.292297874750283	0.0695707493160063	1.62994870124611e-07	0.00026124002809222	1.17590894545472e-07	RALGAPA2
KLRD1	13.5478567011783	0.977285532612664	0.239797192477975	2.46119632078317e-07	0.000350638435834242	3.56362923689484e-07	KLRD1
LIMA1	25.9446075262823	-0.520831588225071	0.14478244945066	4.24919669136991e-07	0.000495301817970409	2.78529284593296e-07	LIMA1
UNC13C	13.4401296601289	-1.20367380782885	0.34937285146904	4.0124968885781e-07	0.000495301817970409	4.53957223682269e-07	UNC13C
SNX27	110.775437050114	0.265608181062708	0.0652392340507201	5.3902068200149e-07	0.000575943598718592	3.53321005929861e-07	SNX27
SLC6A3	9.94030621908631	-1.40090292048618	0.626899077657746	8.39139882815528e-07	0.000827650121343131	1.93379326413403e-06	SLC6A3
ZNF706	98.4917471895007	0.321034458493716	0.0893122669725029	1.02539105191568e-06	0.000939111719118778	7.15089114744506e-07	ZNF706
ARSG	20.907317106893	-0.644627112648911	0.18272499839509	1.11015280080192e-06	0.000948958614125485	1.25598074542987e-06	ARSG
SLC18A2	15.7217656991934	-1.23813491473668	0.516230790710523	1.80364052863802e-06	0.00144539242863729	2.51520805734895e-06	SLC18A2
PTPRG	90.4848617776715	0.973947227805856	0.315575872587041	2.45265402631298e-06	0.00184987823090501	1.60768263020459e-06	PTPRG
FNBP4	112.445571935833	-0.209809434858523	0.052780088801391	3.06902386468555e-06	0.00218616799961101	2.01128809007288e-06	FNBP4
TH	13.1570195869725	-1.13444390803056	0.663389681013471	4.12409423027618e-06	0.00264395681103006	5.7511210646225e-06	TH
KLHL1	20.3381444744444	-0.997839638742027	0.366402327062302	4.06269167183687e-06	0.00264395681103006	4.59636052871234e-06	KLHL1
IL1B	35.4930634490087	-1.07261593234824	0.530043929645673	5.96584669170993e-06	0.00302923794747132	5.96664164423302e-06	IL1B
LUCAT1	21.8737456781115	0.962911063480912	0.377029403897634	6.14258201795774e-06	0.00302923794747132	6.94946203460079e-06	LUCAT1
NHSL1	412.304740653007	0.662598419357241	0.223574882213027	5.70825980863411e-06	0.00302923794747132	3.98083681894999e-06	NHSL1
ALDH1A1	39.536301639506	-1.0456068088469	0.458960986354176	5.65692486795883e-06	0.00302923794747132	4.10856236930674e-06	ALDH1A1
MXRA7	10.40191735812	-0.624217155115489	0.212713124668542	5.80219567786781e-06	0.00302923794747132	1.1032894361015e-05	MXRA7
CLEC17A	13.6126307151323	-0.766319208022077	0.253841360169311	5.05564314962617e-06	0.00302923794747132	7.05018221930452e-06	CLEC17A
CLSTN2	18.9662523250897	-0.863161876948774	0.319861982617378	7.47987863876943e-06	0.00355211125578895	1.20794991749373e-05	CLSTN2
MAP1LC3A	23.8318393300567	-0.815853841727881	0.301318609608733	8.59185260829972e-06	0.00393445479084354	1.24403636132063e-05	MAP1LC3A
SNRNP48	29.352742939364	0.323446391719148	0.111625771794974	1.17953177263812e-05	0.00487869560927936	1.17968894592922e-05	SNRNP48
DPH6	107.091614103553	-0.461125290534675	0.175451362804392	1.14893864051902e-05	0.00487869560927936	8.01248961368993e-06	DPH6
SEM1	90.3105820872532	0.568736095694074	0.213628757908381	1.13302801248954e-05	0.00487869560927936	7.90153178066252e-06	SEM1
