lib_name	model	gen_time
KEGG_2021_Human	gpt-3.5-turbo-0125	54.223973989486694
KEGG_2021_Human	gpt-4o-2024-05-13	69.08972096443176
Reactome_2022	gpt-3.5-turbo-0125	96.5643539428711
Reactome_2022	gpt-4o-2024-05-13	87.65862083435059
WikiPathway_2023_Human	gpt-3.5-turbo-0125	163.92285180091858
WikiPathway_2023_Human	gpt-4o-2024-05-13	66.49854516983032
GO_Biological_Process_2023	gpt-3.5-turbo-0125	192.54510498046875
GO_Biological_Process_2023	gpt-4o-2024-05-13	73.61216163635254
GO_Molecular_Function_2023	gpt-3.5-turbo-0125	61.26332211494446
GO_Molecular_Function_2023	gpt-4o-2024-05-13	46.668566942214966
GO_Cellular_Component_2023	gpt-3.5-turbo-0125	124.20654392242432
GO_Cellular_Component_2023	gpt-4o-2024-05-13	18.5652437210083
