database	model	descr	ncurated	nllm	ninter	generatio	bgratio	non_hgcn	ndup	p_val	p_val_adj
KEGG_2021_Human	gpt-3.5-turbo-0125	ABC transporters	45	7	5	0.7142857142857143	0.0022674594376700594	0	0	1.0085699385076578e-12	3.2274238032245053e-10
KEGG_2021_Human	gpt-3.5-turbo-0125	AGE-RAGE signaling pathway in diabetic complications	100	41	20	0.4878048780487805	0.00503879875037791	1	5	4.022773369365515e-36	1.2872874781969648e-33
KEGG_2021_Human	gpt-3.5-turbo-0125	AMPK signaling pathway	120	10	8	0.8	0.006046558500453492	1	0	6.592580977000247e-17	2.109625912640079e-14
KEGG_2021_Human	gpt-3.5-turbo-0125	Acute myeloid leukemia	67	8	4	0.5	0.0033759951627531995	0	0	8.3308980207828e-09	2.6658873666504958e-06
KEGG_2021_Human	gpt-3.5-turbo-0125	Adherens junction	71	5	4	0.8	0.003577547112768316	0	0	7.606260886771189e-10	2.4340034837667805e-07
KEGG_2021_Human	gpt-3.5-turbo-0125	Adipocytokine signaling pathway	69	17	10	0.5882352941176471	0.0034767711377607577	0	0	2.577993121836734e-21	8.249577989877549e-19
KEGG_2021_Human	gpt-3.5-turbo-0125	Adrenergic signaling in cardiomyocytes	150	52	29	0.5576923076923077	0.0075581981255668645	0	0	6.437403772573214e-49	2.0599692072234284e-46
KEGG_2021_Human	gpt-3.5-turbo-0125	African trypanosomiasis	37	6	4	0.6666666666666666	0.0018643555376398266	0	0	1.5405124016891102e-10	4.929639685405153e-08
KEGG_2021_Human	gpt-3.5-turbo-0125	Alanine, aspartate and glutamate metabolism	37	7	6	0.8571428571428571	0.0018643555376398266	0	0	1.9381331149314994e-16	6.202025967780798e-14
KEGG_2021_Human	gpt-3.5-turbo-0125	Alcoholism	186	8	2	0.25	0.009372165675702912	0	0	0.002401139273791965	0.7683645676134288
KEGG_2021_Human	gpt-3.5-turbo-0125	Aldosterone synthesis and secretion	98	14	7	0.5	0.0049380227753703515	0	0	1.9881652914168807e-13	6.362128932534019e-11
KEGG_2021_Human	gpt-3.5-turbo-0125	Aldosterone-regulated sodium reabsorption	37	10	5	0.5	0.0018643555376398266	4	1	4.294832344926493e-12	1.3743463503764778e-09
KEGG_2021_Human	gpt-3.5-turbo-0125	Allograft rejection	38	20	6	0.3	0.0019147435251436057	0	0	1.2519561901726295e-12	4.0062598085524144e-10
KEGG_2021_Human	gpt-3.5-turbo-0125	Alzheimer disease	369	15	4	0.26666666666666666	0.018593167388894487	0	0	0.000146635548171281	0.046923375414809926
KEGG_2021_Human	gpt-3.5-turbo-0125	Amino sugar and nucleotide sugar metabolism	48	72	19	0.2638888888888889	0.0024186234001813967	13	12	3.582394921042052e-35	1.1463663747334566e-32
KEGG_2021_Human	gpt-3.5-turbo-0125	Aminoacyl-tRNA biosynthesis	66	27	7	0.25925925925925924	0.0033256071752494204	19	0	2.795420505255673e-12	8.945345616818154e-10
KEGG_2021_Human	gpt-3.5-turbo-0125	Amoebiasis	102	23	8	0.34782608695652173	0.005139574725385468	1	0	1.764093636559637e-13	5.645099636990838e-11
KEGG_2021_Human	gpt-3.5-turbo-0125	Amphetamine addiction	69	18	3	0.16666666666666666	0.0034767711377607577	0	0	3.194436686558661e-05	0.010222197396987716
KEGG_2021_Human	gpt-3.5-turbo-0125	Amyotrophic lateral sclerosis	364	11	9	0.8181818181818182	0.01834122745137559	0	0	1.3388036538533765e-14	4.284171692330805e-12
KEGG_2021_Human	gpt-3.5-turbo-0125	Antigen processing and presentation	78	12	12	1.0	0.0039302630252947696	0	0	5.861839713900544e-30	1.875788708448174e-27
KEGG_2021_Human	gpt-3.5-turbo-0125	Apelin signaling pathway	137	18	12	0.6666666666666666	0.006903154288017736	0	0	1.3936490897856416e-22	4.459677087314053e-20
KEGG_2021_Human	gpt-3.5-turbo-0125	Apoptosis	142	19	18	0.9473684210526315	0.007155094225536632	0	0	1.6994168649460184e-38	5.4381339678272584e-36
KEGG_2021_Human	gpt-3.5-turbo-0125	Arachidonic acid metabolism	61	37	19	0.5135135135135135	0.003073667237730525	1	10	1.4544390142303158e-39	4.6542048455370105e-37
KEGG_2021_Human	gpt-3.5-turbo-0125	Arginine and proline metabolism	50	13	10	0.7692307692307693	0.002519399375188955	1	0	1.1497727164899147e-24	3.679272692767727e-22
KEGG_2021_Human	gpt-3.5-turbo-0125	Arginine biosynthesis	22	16	4	0.25	0.0011085357250831401	9	1	2.0515176356530006e-09	6.564856434089602e-07
