model	library	gt_name	gsai_name	gsai_ROUGE1	gsai_ROUGE2	gsai_ROUGEL	gsai_csim
gpt-3.5-turbo-0125	KEGG_2021_Human	ABC transporters	Transmembrane transport and cellular detoxification	0.5	0.0	0.28571428571428575	0.537226896381262
gpt-3.5-turbo-0125	KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	Inflammatory signaling and immune response regulation	0.14285714285714285	0.0	0.15384615384615383	0.3708269070253589
gpt-3.5-turbo-0125	KEGG_2021_Human	AMPK signaling pathway	Glucose homeostasis and energy regulation	0.0	0.0	0.0	0.37568757961410304
gpt-3.5-turbo-0125	KEGG_2021_Human	Acute myeloid leukemia	Cellular Signaling Network	0.0	0.0	0.0	0.24233636356528937
gpt-3.5-turbo-0125	KEGG_2021_Human	Adherens junction	Cell Adhesion and Signaling Network	0.0	0.0	0.0	0.5332096020560302
gpt-3.5-turbo-0125	KEGG_2021_Human	Adipocytokine signaling pathway	Insulin Signaling and Glucose Metabolism	0.3333333333333333	0.0	0.25	0.5376562325009624
gpt-3.5-turbo-0125	KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	Cardiac muscle contraction and calcium signaling	0.25	0.0	0.2	0.591117818511089
gpt-3.5-turbo-0125	KEGG_2021_Human	African trypanosomiasis	Inflammatory Response and Immune Regulation	0.0	0.0	0.0	0.17929271872608663
gpt-3.5-turbo-0125	KEGG_2021_Human	Alanine, aspartate and glutamate metabolism	Urea cycle and amino acid metabolism	0.4	0.0	0.3636363636363636	0.49958164875743194
gpt-3.5-turbo-0125	KEGG_2021_Human	Alcoholism	Transcriptional Regulation and Signal Transduction	0.0	0.0	0.0	0.15794146345037974
gpt-3.5-turbo-0125	KEGG_2021_Human	Aldosterone synthesis and secretion	Calcium Signaling and Hormone Regulation	0.25	0.0	0.22222222222222224	0.3523203542580053
gpt-3.5-turbo-0125	KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	Ion transport regulation and cell signaling	0.25	0.0	0.2	0.4116262744181275
gpt-3.5-turbo-0125	KEGG_2021_Human	Allograft rejection	Immune Response Regulation	0.0	0.0	0.0	0.344865456915033
gpt-3.5-turbo-0125	KEGG_2021_Human	Alzheimer disease	Wnt signaling pathway activation	0.0	0.0	0.0	0.21007954407632506
gpt-3.5-turbo-0125	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism	Glycan biosynthesis	0.0	0.0	0.0	0.5176511709237912
gpt-3.5-turbo-0125	KEGG_2021_Human	Aminoacyl-tRNA biosynthesis	Protein translation and aminoacylation	0.3333333333333333	0.0	0.28571428571428575	0.680943742619526
gpt-3.5-turbo-0125	KEGG_2021_Human	Amoebiasis	Inflammation and Immune Response Regulation	0.0	0.0	0.0	0.18290239626711935
gpt-3.5-turbo-0125	KEGG_2021_Human	Amphetamine addiction	Neuronal Signaling and Plasticity	0.0	0.0	0.0	0.2222770480551139
gpt-3.5-turbo-0125	KEGG_2021_Human	Amyotrophic lateral sclerosis	Protein degradation and quality control	0.0	0.0	0.0	0.2024460655211668
gpt-3.5-turbo-0125	KEGG_2021_Human	Antigen processing and presentation	Antigen processing and presentation	1.0	1.0	1.0	0.999999066008995
gpt-3.5-turbo-0125	KEGG_2021_Human	Apelin signaling pathway	Calcium Signaling and Cell Regulation	0.3333333333333333	0.0	0.25	0.3640772974942178
gpt-3.5-turbo-0125	KEGG_2021_Human	Apoptosis	Regulation of Apoptosis and Cell Survival	1.0	0.0	0.2857142857142857	0.5464061372623192
gpt-3.5-turbo-0125	KEGG_2021_Human	Arachidonic acid metabolism	Eicosanoid biosynthesis and lipid metabolism	0.3333333333333333	0.0	0.25	0.6406137535226792
gpt-3.5-turbo-0125	KEGG_2021_Human	Arginine and proline metabolism	Polyamine metabolism and arginine cycle	0.75	0.0	0.22222222222222224	0.7386741013586494
gpt-3.5-turbo-0125	KEGG_2021_Human	Arginine biosynthesis	Urea Cycle and Nitrogen Metabolism	0.0	0.0	0.0	0.5093028155071717
gpt-3.5-turbo-0125	KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	Cell-ECM adhesion and calcium signaling integration	0.0	0.0	0.0	0.20607532833523076
gpt-3.5-turbo-0125	KEGG_2021_Human	Ascorbate and aldarate metabolism	Xenobiotic metabolism and detoxification	0.5	0.0	0.25	0.3967479930942375
gpt-3.5-turbo-0125	KEGG_2021_Human	Asthma	Immune response regulation	0.0	0.0	0.0	0.27649070809021714
gpt-3.5-turbo-0125	KEGG_2021_Human	Autoimmune thyroid disease	Immune response coordination and regulation	0.0	0.0	0.0	0.27352223164552975
gpt-3.5-turbo-0125	KEGG_2021_Human	Autophagy	Autophagy regulation and signaling	1.0	0.0	0.4	0.6463348726760918
gpt-3.5-turbo-0125	KEGG_2021_Human	Axon guidance	Axon guidance and neuron development	1.0	1.0	0.5714285714285715	0.757883355000634
gpt-3.5-turbo-0125	KEGG_2021_Human	B cell receptor signaling pathway	Immune Cell Signaling Cascade	0.4	0.0	0.4444444444444445	0.5976510847900407
gpt-3.5-turbo-0125	KEGG_2021_Human	Bacterial invasion of epithelial cells	Cell Adhesion and Signaling Network	0.2	0.0	0.20000000000000004	0.3277984722271094
gpt-3.5-turbo-0125	KEGG_2021_Human	Basal cell carcinoma	WNT Signaling Pathway and Hedgehog Signaling Crosstalk	0.0	0.0	0.0	0.19358723450975174
gpt-3.5-turbo-0125	KEGG_2021_Human	Basal transcription factors	Transcription initiation complex assembly	0.3333333333333333	0.0	0.28571428571428575	0.5801103986800111
gpt-3.5-turbo-0125	KEGG_2021_Human	Base excision repair	DNA Base Excision Repair	1.0	1.0	0.8571428571428571	0.8994365677781384
gpt-3.5-turbo-0125	KEGG_2021_Human	Bile secretion	Bile acid transport and metabolism	0.5	0.0	0.28571428571428575	0.5809553402754919
gpt-3.5-turbo-0125	KEGG_2021_Human	Biosynthesis of unsaturated fatty acids	Fatty acid elongation and lipid metabolism	0.4	0.25	0.3636363636363636	0.5847062890467989
gpt-3.5-turbo-0125	KEGG_2021_Human	Bladder cancer	Cell Growth and Survival Signaling Cascade	0.0	0.0	0.0	0.2145908465693689
gpt-3.5-turbo-0125	KEGG_2021_Human	Breast cancer	Wnt signaling pathway modulation	0.0	0.0	0.0	0.24037950373736788
gpt-3.5-turbo-0125	KEGG_2021_Human	Butanoate metabolism	Ketogenesis and Amino Acid Catabolism	0.0	0.0	0.0	0.49656562082502675
gpt-3.5-turbo-0125	KEGG_2021_Human	C-type lectin receptor signaling pathway	Immune response signaling	0.16666666666666666	0.0	0.2222222222222222	0.5499041074860995
gpt-3.5-turbo-0125	KEGG_2021_Human	Caffeine metabolism	Xenobiotic metabolism and detoxification	0.5	0.0	0.3333333333333333	0.43989255464646276
gpt-3.5-turbo-0125	KEGG_2021_Human	Calcium signaling pathway	Cellular Calcium Signaling	0.6666666666666666	0.5	0.6666666666666666	0.8226956344087025
gpt-3.5-turbo-0125	KEGG_2021_Human	Carbohydrate digestion and absorption	Carbohydrate Metabolism and Signaling Integration	0.5	0.0	0.4444444444444445	0.5606567794560648
gpt-3.5-turbo-0125	KEGG_2021_Human	Cardiac muscle contraction	Mitochondrial oxidative phosphorylation	0.0	0.0	0.0	0.288370588753039
gpt-3.5-turbo-0125	KEGG_2021_Human	Cell adhesion molecules	Cell adhesion and immune cell interaction	0.6666666666666666	0.5	0.4444444444444444	0.6353889603012218
gpt-3.5-turbo-0125	KEGG_2021_Human	Cell cycle	Cell Cycle Regulation and Checkpoint Control	1.0	1.0	0.5	0.6241009090274539
gpt-3.5-turbo-0125	KEGG_2021_Human	Cellular senescence	Cell cycle regulation and DNA damage response	0.0	0.0	0.0	0.41994005125165973
gpt-3.5-turbo-0125	KEGG_2021_Human	Central carbon metabolism in cancer	Glycolysis and Glucose Metabolism	0.2	0.0	0.22222222222222224	0.5402452857127805
gpt-3.5-turbo-0125	KEGG_2021_Human	Chagas disease	Inflammatory Signaling Cascade	0.0	0.0	0.0	0.23040723717795303
gpt-3.5-turbo-0125	KEGG_2021_Human	Chemical carcinogenesis	Cellular signaling and metabolism	0.0	0.0	0.0	0.3086215829380963
gpt-3.5-turbo-0125	KEGG_2021_Human	Chemokine signaling pathway	Leukocyte chemotaxis and inflammation	0.0	0.0	0.0	0.5281304816823692
gpt-3.5-turbo-0125	KEGG_2021_Human	Cholesterol metabolism	Lipid Metabolism and Cholesterol Homeostasis	1.0	0.0	0.28571428571428575	0.7943619464330516
gpt-3.5-turbo-0125	KEGG_2021_Human	Choline metabolism in cancer	Cell Growth and Proliferation Signaling Cascade	0.0	0.0	0.0	0.35105170475709413
gpt-3.5-turbo-0125	KEGG_2021_Human	Cholinergic synapse	G protein-coupled receptor signaling pathway	0.0	0.0	0.0	0.32966530379995956
gpt-3.5-turbo-0125	KEGG_2021_Human	Chronic myeloid leukemia	Cell cycle regulation and growth control  	0.0	0.0	0.0	0.2668561844162858
gpt-3.5-turbo-0125	KEGG_2021_Human	Circadian entrainment	G-protein coupled receptor signaling and calcium signaling	0.0	0.0	0.0	0.2246935145262673
gpt-3.5-turbo-0125	KEGG_2021_Human	Circadian rhythm	Circadian Rhythm Regulation	1.0	1.0	0.8	0.69317097895196
gpt-3.5-turbo-0125	KEGG_2021_Human	Citrate cycle (TCA cycle)	Tricarboxylic acid cycle (TCA cycle)	0.75	0.6666666666666666	0.6666666666666665	0.8683441723773552
gpt-3.5-turbo-0125	KEGG_2021_Human	Cocaine addiction	Neuronal Signaling and Plasticity	0.0	0.0	0.0	0.22865985385282575
gpt-3.5-turbo-0125	KEGG_2021_Human	Collecting duct acid secretion	Vacuolar acidification and ion transport	0.0	0.0	0.0	0.4941691369394928
gpt-3.5-turbo-0125	KEGG_2021_Human	Colorectal cancer	Cell proliferation and survival signaling cascade	0.0	0.0	0.0	0.2869422234754061
gpt-3.5-turbo-0125	KEGG_2021_Human	Complement and coagulation cascades	Complement cascade and coagulation pathway integration	1.0	0.3333333333333333	0.6	0.8296391620540116
gpt-3.5-turbo-0125	KEGG_2021_Human	Coronavirus disease	Immune Response and Inflammation Signaling	0.0	0.0	0.0	0.2329448527378392
gpt-3.5-turbo-0125	KEGG_2021_Human	Cortisol synthesis and secretion	Steroid hormone biosynthesis and signaling	0.25	0.0	0.22222222222222224	0.598323269681482
gpt-3.5-turbo-0125	KEGG_2021_Human	Cushing syndrome	WNT signaling pathway modulation	0.0	0.0	0.0	0.19012294362569512
gpt-3.5-turbo-0125	KEGG_2021_Human	Cysteine and methionine metabolism	One-carbon metabolism and transsulfuration pathway integration	0.5	0.0	0.18181818181818182	0.6250129355087504
gpt-3.5-turbo-0125	KEGG_2021_Human	Cytokine-cytokine receptor interaction	Immunoregulation and Inflammatory Response	0.0	0.0	0.0	0.4543210876791425
gpt-3.5-turbo-0125	KEGG_2021_Human	Cytosolic DNA-sensing pathway	Innate immune response and cytokine signaling	0.0	0.0	0.0	0.5385112542413601
gpt-3.5-turbo-0125	KEGG_2021_Human	D-Glutamine and D-glutamate metabolism	Glutamate metabolism and neurotransmission	0.5	0.2	0.4	0.7426242489464847
gpt-3.5-turbo-0125	KEGG_2021_Human	DNA replication	DNA Replication and Repair	1.0	1.0	0.6666666666666666	0.806807851885633
gpt-3.5-turbo-0125	KEGG_2021_Human	Diabetic cardiomyopathy	Mitochondrial Electron Transport Chain and Oxidative Phosphorylation	0.0	0.0	0.0	0.2273262030076047
gpt-3.5-turbo-0125	KEGG_2021_Human	Dilated cardiomyopathy	Muscle Contraction and Regulation	0.0	0.0	0.0	0.22810445718512673
gpt-3.5-turbo-0125	KEGG_2021_Human	Dopaminergic synapse	Cellular Signaling Pathways	0.0	0.0	0.0	0.32604862314813016
gpt-3.5-turbo-0125	KEGG_2021_Human	Drug metabolism	Xenobiotic metabolism and detoxification	0.5	0.0	0.3333333333333333	0.6206684181744409
gpt-3.5-turbo-0125	KEGG_2021_Human	ECM-receptor interaction	Extracellular matrix organization and cell adhesion	0.0	0.0	0.0	0.5381835008847485
gpt-3.5-turbo-0125	KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	Calcium signaling and transport regulation	0.42857142857142855	0.0	0.3333333333333333	0.5732681164921529
gpt-3.5-turbo-0125	KEGG_2021_Human	Endocytosis	Endosomal sorting complex required for transport (ESCRT) machinery-mediated protein transport	0.0	0.0	0.0	0.3965022428345581
gpt-3.5-turbo-0125	KEGG_2021_Human	Endometrial cancer	Regulation of Cell Growth and Apoptosis Pathways	0.0	0.0	0.0	0.2207195083391733
gpt-3.5-turbo-0125	KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	Inflammatory Signaling Pathway	0.14285714285714285	0.0	0.2	0.5189718805034371
gpt-3.5-turbo-0125	KEGG_2021_Human	Epstein-Barr virus infection	Immune response regulation and signaling	0.0	0.0	0.0	0.2716024811925923
gpt-3.5-turbo-0125	KEGG_2021_Human	ErbB signaling pathway	Cellular Signaling Network	0.3333333333333333	0.0	0.3333333333333333	0.5784081658639777
gpt-3.5-turbo-0125	KEGG_2021_Human	Estrogen signaling pathway	Cellular Signaling and Transcriptional Regulation	0.3333333333333333	0.0	0.25	0.5644293697612459
gpt-3.5-turbo-0125	KEGG_2021_Human	Ether lipid metabolism	Phospholipid metabolism and signaling cascade  	0.3333333333333333	0.0	0.25	0.5965726101901796
gpt-3.5-turbo-0125	KEGG_2021_Human	Fanconi anemia pathway	DNA Damage Repair and Replication	0.0	0.0	0.0	0.41018089176554906
gpt-3.5-turbo-0125	KEGG_2021_Human	Fat digestion and absorption	Lipid metabolism and transport	0.25	0.0	0.25	0.5652459257816076
gpt-3.5-turbo-0125	KEGG_2021_Human	Fatty acid biosynthesis	Fatty acid metabolism and lipid biosynthesis  	1.0	0.5	0.6666666666666666	0.748201079938212
gpt-3.5-turbo-0125	KEGG_2021_Human	Fatty acid degradation	Fatty Acid Beta-Oxidation	0.6666666666666666	0.5	0.5714285714285715	0.7920017352626867
gpt-3.5-turbo-0125	KEGG_2021_Human	Fatty acid elongation	Fatty acid elongation	1.0	1.0	1.0	0.9999988989648878
gpt-3.5-turbo-0125	KEGG_2021_Human	Fc epsilon RI signaling pathway	Immune cell signaling and activation	0.2	0.0	0.20000000000000004	0.4692797250816605
gpt-3.5-turbo-0125	KEGG_2021_Human	Fc gamma R-mediated phagocytosis	Actin cytoskeleton regulation and cell signaling	0.0	0.0	0.0	0.3345644021297801
gpt-3.5-turbo-0125	KEGG_2021_Human	Ferroptosis	Autophagy and Iron Homeostasis Regulation	0.0	0.0	0.0	0.5022507828147034
gpt-3.5-turbo-0125	KEGG_2021_Human	Fluid shear stress and atherosclerosis	Regulation of Inflammatory Response and Cellular Stress	0.4	0.0	0.16666666666666666	0.3249691329826624
gpt-3.5-turbo-0125	KEGG_2021_Human	Focal adhesion	Cell Adhesion and Signaling Pathways	0.5	0.0	0.28571428571428575	0.5693355539332883
gpt-3.5-turbo-0125	KEGG_2021_Human	Folate biosynthesis	One-Carbon Metabolism and Tetrahydrobiopterin Biosynthesis	0.5	0.0	0.25	0.5833994672493981
gpt-3.5-turbo-0125	KEGG_2021_Human	FoxO signaling pathway	Cellular Signaling Network Modulation	0.3333333333333333	0.0	0.28571428571428575	0.4739893366386404
gpt-3.5-turbo-0125	KEGG_2021_Human	Fructose and mannose metabolism	Glycolysis	0.0	0.0	0.0	0.4584062777851367
gpt-3.5-turbo-0125	KEGG_2021_Human	GABAergic synapse	GABAergic synaptic transmission	0.5	0.0	0.4	0.8679197439680153
gpt-3.5-turbo-0125	KEGG_2021_Human	Galactose metabolism	Glycogen metabolism	0.5	0.0	0.5	0.7072508388905386
gpt-3.5-turbo-0125	KEGG_2021_Human	Gap junction	GPCR Signaling Pathway	0.0	0.0	0.0	0.4025667816520658
gpt-3.5-turbo-0125	KEGG_2021_Human	Gastric acid secretion	GPCR signaling pathway regulation	0.0	0.0	0.0	0.3289971133504416
gpt-3.5-turbo-0125	KEGG_2021_Human	Gastric cancer	Wnt signaling pathway regulation	0.0	0.0	0.0	0.15088039461708302
gpt-3.5-turbo-0125	KEGG_2021_Human	Glioma	Cell Cycle Regulation and Growth Signaling Pathways	0.0	0.0	0.0	0.24070527170154815
gpt-3.5-turbo-0125	KEGG_2021_Human	Glucagon signaling pathway	Glucose metabolism and signaling	0.3333333333333333	0.0	0.28571428571428575	0.6509308713234522
gpt-3.5-turbo-0125	KEGG_2021_Human	Glutamatergic synapse	Synaptic transmission and signal transduction	0.0	0.0	0.0	0.5071256213125246
gpt-3.5-turbo-0125	KEGG_2021_Human	Glutathione metabolism	Glutathione Metabolism and Redox Regulation	1.0	1.0	0.5714285714285715	0.829700080232109
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycerolipid metabolism	Lipid metabolism and storage	0.5	0.0	0.3333333333333333	0.6592845465443989
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycerophospholipid metabolism	Phospholipid metabolism and membrane remodeling	0.5	0.0	0.28571428571428575	0.7465569009639195
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycine, serine and threonine metabolism	One-Carbon Metabolism	0.2	0.0	0.25	0.4690856500888635
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycolysis / Gluconeogenesis	Glycolysis and Gluconeogenesis	1.0	0.0	0.8	0.8780059891000809
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycosaminoglycan biosynthesis	Proteoglycan biosynthesis	0.5	0.0	0.5	0.8588026982801589
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycosaminoglycan degradation	Lysosomal enzyme biosynthesis and catabolism	0.0	0.0	0.0	0.4742805526320256
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycosphingolipid biosynthesis	Glycosylation and Glycan Biosynthesis Pathway	0.5	0.0	0.28571428571428575	0.6610987234520816
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI anchor biosynthesis	0.75	0.6666666666666666	0.8571428571428571	0.8331414196199205
gpt-3.5-turbo-0125	KEGG_2021_Human	Glyoxylate and dicarboxylate metabolism	Tricarboxylic acid cycle (TCA cycle) and amino acid metabolism	0.5	0.0	0.30769230769230765	0.5664524918682208
gpt-3.5-turbo-0125	KEGG_2021_Human	GnRH secretion	Signal transduction and cellular response coordination	0.0	0.0	0.0	0.22673546583611986
gpt-3.5-turbo-0125	KEGG_2021_Human	GnRH signaling pathway	Cellular signaling and MAP kinase cascade activation	0.3333333333333333	0.0	0.2	0.4313429172253638
gpt-3.5-turbo-0125	KEGG_2021_Human	Graft-versus-host disease	Immune response regulation	0.0	0.0	0.0	0.27744683037642737
