set_descr	generatio	bgratio	richFactor	foldEnrich	p_val	p_adj	intersection	set_genes	ngenes	nset	ninter
Rheumatoid arthritis	0.13793103448275862	0.004686082837851456	0.043010752688172046	29.43418613274008	9.866895674923569e-06	0.003157406615975542	FOS,CCL3,ACP5,CXCL8	CCL3L3,CXCL1,IL6,ATP6V1B2,HLA-DMA,TNFSF13,CTSK,HLA-DOB,ATP6V1G1,CXCL12,ATP6V1G2,ATP6V0A1,ICAM1,CD86,ATP6V1G3,FLT1,ATP6V1E1,HLA-DRB3,HLA-DMB,TNFSF11,TEK,CSF2,TGFB3,IL1B,TNF,ATP6V0C,ATP6V1C2,ATP6V0D1,HLA-DRA,IL23A,HLA-DRB5,MMP3,CD28,ANGPT1,IL1A,CD80,HLA-DQA1,CSF1,ATP6V1E2,ITGAL,TNFRSF11A,IGH,CTSL,ATP6V0E2,CXCL2,CCL2,ATP6V0E1,CXCL3,LTB,TNFSF13B,IL17A,CCL3L1,CCL3,ACP5,IL18,TLR4,ATP6V0A2,ATP6AP1,ITGB2,TCIRG1,HLA-DPA1,ATP6V1D,CTLA4,ATP6V0B,CXCL5,CCL5,CXCL8,IL15,HLA-DRB1,IFNG,TGFB1,HLA-DQA2,IL11,HLA-DOA,FOS,VEGFA,ATP6V1F,TGFB2,ATP6V1A,PTH,HLA-DRB4,HLA-DPB1,ATP6V1H,HLA-DQB1,MMP1,TLR2,ATP6V0A4,ATP6V1C1,ATP6V1B1,JUN,CCL20,ATP6V0D2,CXCL6	29	93	4
Measles	0.13793103448275862	0.0070039302630252945	0.02877697841726619	19.693376333416026	4.804021256604131e-05	0.007686434010566609	FOS,MX1,OAS2,TNFAIP3	NFKB1,ADAR,IFNA5,IL6,TRAF6,IKBKB,IKBKG,PIK3CA,CD3G,IL2RB,MAP3K7,IFNA2,TRADD,IFNA16,APAF1,IFNAR1,AKT3,MAVS,IFNA17,IL2,PIK3R3,IRAK4,STAT1,OAS3,CD3E,IFNA7,RELA,RACK1,RAB9B,HSPA1L,CD209,TLR7,TNFAIP3,EIF3H,IL1B,MX1,HSPA8,CASP9,TYK2,FCGR2B,IL2RA,IFNA6,NFKBIA,TBK1,IRAK1,CASP8,CD28,CSNK2A2,RAB9A,BCL2L1,CLEC4M,IL1A,CASP3,STAT5B,IFNA4,EIF2AK4,IFNAR2,EIF2AK1,CSNK2A1,CD3D,CCND3,HSPA1B,EIF2AK3,EIF2AK2,CCND1,PIK3R2,AKT1,CBLB,IKBKE,IFNA13,MAPK9,DDX58,IFIH1,CCNE2,HSPA2,RCHY1,TLR4,GSK3B,BBC3,CDK6,STAT3,TP53,PIK3R1,CDK4,TRAF3,TLR9,BID,FADD,CYCS,TAB2,IL2RG,CCND2,IRF9,IFNB1,IFNA14,IL12A,CSNK2B,IRF7,STAT5A,NFKBIB,MYD88,BAX,CHUK,IFNA8,BAK1,OAS1,HSPA1A,IRF3,TP73,IL12B,STAT2,OAS2,PIK3CB,BCL2,JAK3,CDK2,FOS,SLAMF1,AKT2,CD46,CDKN1B,MAPK8,IFNA10,CCNE1,IFNA1,MSN,HSPA6,JAK1,EIF2S1,CSNK2A3,BAD,IFNA21,MX2,FASLG,MAPK10,TLR2,PIK3CD,JUN,FAS	29	139	4
NOD-like receptor signaling pathway	0.13793103448275862	0.009120225738184017	0.022099447513812154	15.123642598590209	0.00013373876642445092	0.0142654684186081	TRPV2,TNFAIP3,OAS2,CXCL8	VDAC1,NFKB1,ANTXR1,CXCL1,CARD17,IFNA5,NLRP1,IL6,PLCB1,TRAF6,IKBKB,NLRP7,TXN2,IKBKG,ANTXR2,GBP4,PYDC2,SUGT1,RNASEL,TRAF2,MAP3K7,PYDC1,IFNA2,TP53BP1,MCU,IFNA16,AIM2,BIRC3,PLCB4,IFNAR1,MAVS,CARD9,MFN1,IFNA17,PYDC5,VDAC2,TRPM7,TAB1,IRAK4,ITPR1,CASR,STAT1,GBP5,OAS3,IFNA7,TXN,RELA,DEFA5,GBP1,DEFB4A,GPRC6A,MAPK3,TNFAIP3,PKN2,JUN,DEFA6,CTSB,IL1B,TNF,TRAF5,TYK2,IFNA6,PSTPIP1,NFKBIA,TBK1,P2RX7,CASP8,GSDMD,DHX33,BRCC3,BCL2L1,NLRC4,GBP7,TRPV2,CARD16,PANX1,ATG5,IFNA4,DEFB4B,TAB3,NOD1,RIPK3,IFNAR2,MAPK13,DEFA3,DEFB103B,RIPK2,MAPK12,CAMP,CASP4,TRIP6,CARD8,XIAP,GABARAP,RNF31,DEFA4,NAMPT,CXCL2,CCL2,PRKCD,NAIP,CARD18,DNM1L,YWHAE,RHOA,CXCL3,IKBKE,IFNA13,RIPK1,NEK7,MAPK9,NLRP3,NLRP12,MAPK14,IL18,TLR4,STING1,PYCARD,CASP5,GBP2,TICAM1,PLCB3,TRAF3,FADD,TAB2,NLRX1,IFNB1,IRF9,CASP12,HSP90AB1,ITPR3,DEFB103A,IFNA14,ATG16L1,SHARPIN,CYBB,PKN1,IRF7,MYD88,NFKBIB,NOD2,CCL5,PLCB2,NLRP6,CHUK,TXNIP,IFNA8,OAS1,CXCL8,BIRC2,GABARAPL1,CYBA,IRF3,MEFV,MAPK1,CASP1,STAT2,OAS2,ATG12,BCL2,ITPR2,RBCK1,MFN2,MAPK8,IFNA10,IFNA1,TRPM2,MAPK11,GABARAPL2,HSP90AA1,CARD6,JAK1,IFNA21,MAPK10,TANK,DEFA1B,IFI16,VDAC3,ERBIN,DEFA1,GBP3	29	181	4
IL-17 signaling pathway	0.10344827586206896	0.004736470825355235	0.031914893617021274	21.84079236977256	0.00034534339658690743	0.021237812866541344	FOS,TNFAIP3,CXCL8	NFKB1,CXCL1,IL4,IL6,TRAF6,IKBKB,IKBKG,TRAF4,S100A7,TRAF2,MAP3K7,IL17RB,TRADD,IL17C,MAPK4,MUC5AC,IL17D,ANAPC5,MAPK15,IL17RC,RELA,MUC5B,MMP9,DEFB4A,IL5,MAPK3,TNFAIP3,CSF2,JUND,S100A8,FOSL1,IL1B,TNF,TRAF5,S100A7A,NFKBIA,MMP3,TBK1,CASP8,CASP3,CCL7,DEFB4B,TAB3,MAPK13,MAPK12,CXCL10,S100A9,CXCL2,CCL2,CXCL3,SRSF1,IKBKE,MAPK9,MAPK6,IL17A,FOSB,MAPK7,MAPK14,IL13,GSK3B,CEBPB,MMP13,TRAF3,FADD,IL17B,TAB2,HSP90AB1,CCL11,HSP90B1,ELAVL1,CXCL5,CHUK,CXCL8,PTGS2,USP25,IL17RA,MAPK1,IFNG,FOS,MAPK8,HSP90AA1,MAPK11,LCN2,MMP1,CCL17,IL17RE,IL17F,MAPK10,IL25,TRAF3IP2,CSF3,JUN,CCL20,CXCL6	29	94	3
Coronavirus disease	0.13793103448275862	0.01169001310087675	0.017241379310344827	11.799048751486326	0.0003454094435032181	0.021237812866541344	FOS,MX1,OAS2,CXCL8	NFKB1,RPL39,F13B,RPL7,IFNA5,ADAR,C5,RPL10,IL6,TRAF6,RPL37,RPL15,IKBKB,RPS18,IKBKG,MASP1,RPS13,MBL2,PIK3CA,HBEGF,C3,RPL32,RPL4,MAP3K7,IFNA2,RPS19,RPL5,RPS10-NUDT3,IFNA16,PLCG2,C7,RPL18A,RPL29,RPLP1,RPL30,MAVS,IFNAR1,RPL38,RPL24,IFNA17,F2,RPL21,RPL13A,PRKCB,IL2,RPL27,C9,TNFRSF1A,F13A1,PIK3R3,IRAK4,RPL22,RPS24,C1R,RPL18,STAT1,RPS29,RPLP0,IFNA7,OAS3,CGAS,RPL37A,RPL10A,RELA,RPL36,ISG15,RPL19,RPL8,ADAM17,RPS7,MAPK3,RPS17,TLR7,RPS15,RPL17-C18ORF32,CSF2,IL1B,MX1,TLR3,TNF,RPS23,TYK2,RPL6,RPS27,MASP2,IFNA6,RPL26L1,NFKBIA,MMP3,TBK1,IRAK1,C6,RPS25,C8B,RPS2,RPL3,C4B,RPS4Y2,RPL35,TLR8,C4A,C8A,RPL36AL,FAU,RPS3A,RPS21,CFB,IFNA4,RPS26,IL6ST,FCGR2A,MAPK13,IFNAR2,MAPK12,IGH,C3AR1,RPS10,RPS27A,FGA,ACE,CXCL10,VWF,RPS3,RPL36A,RPS16,RPS5,FGG,RPS6,CCL2,PRKCG,IL6R,EIF2AK2,MAS1,PIK3R2,RPS20,RPS27L,C1S,IKBKE,RPL9,IFNA13,MAPK9,NLRP3,IFIH1,DDX58,RPLP2,RPS4X,C1QC,RPS28,C2,MAPK14,TLR4,RPL7A,RPL36A-HNRNPH2,RPL12,RPS11,STING1,RPS9,RPS15A,STAT3,CFD,RPS8,PIK3R1,SELP,TRAF3,RPS14,TAB2,RPL34,IFNB1,IRF9,C1QA,RPL41,RPL35A,IFNA14,IL12A,RPL27A,CYBB,TMPRSS2,MYD88,NFKBIB,RPL23A,ACE2,RPL17,CHUK,RPL14,IFNA8,OAS1,CXCL8,RPL10L,IRF3,MAPK1,CASP1,RPSA,IL12B,STAT2,RSL24D1,OAS2,PIK3CB,FOS,C5AR1,MAPK8,RPL31,FGB,IFNA10,RPL28,IFNA1,RPL11,RPL22L1,MAPK11,RPL23,SYK,NRP1,JAK1,PLCG1,MMP1,PRKCA,IFNA21,MX2,UBA52,MAPK10,RPL3L,RPL13,C1QB,TLR2,CSF3,AGTR1,PIK3CD,RPS12,EGFR,JUN,RPL26,RPS4Y1,C8G	29	232	4
Chagas disease	0.10344827586206896	0.005139574725385468	0.029411764705882353	20.127789046653145	0.00043889602619957054	0.021237812866541344	FOS,CCL3,CXCL8	CCL3L3,NFKB1,GNAQ,IL6,PLCB1,TRAF6,IKBKB,IKBKG,PIK3CA,C3,CD3G,PLCB4,AKT3,GNAI2,IL2,TNFRSF1A,PIK3R3,IRAK4,CD3E,CD247,RELA,MAPK3,TGFB3,IL1B,BDKRB2,TNF,PPP2R2D,PPP2R2B,TGFBR2,NFKBIA,IRAK1,CASP8,IFNGR1,ADCY1,PPP2R1A,MAP2K4,MAPK13,GNAI1,CD3D,MAPK12,IL10,ACE,CCL2,PIK3R2,AKT1,MAPK9,SMAD2,CCL3L1,CCL3,C1QC,MAPK14,TLR4,GNA15,KNG1,PLCB3,TICAM1,PPP2CB,PIK3R1,TLR9,FADD,PPP2R2C,IFNB1,PPP2R1B,GNAL,TGFBR1,C1QA,IL12A,GNAI3,NOS2,MYD88,CCL5,IFNGR2,PLCB2,GNA14,CHUK,CALR,GNA11,CXCL8,GNAO1,MAPK1,IFNG,TGFB1,IL12B,TLR6,PIK3CB,FOS,AKT2,MAPK8,TGFB2,CFLAR,MAPK11,PPP2R2A,GNAS,SERPINE1,FASLG,MAPK10,C1QB,TLR2,PPP2CA,PIK3CD,JUN,FAS	29	102	3
Toll-like receptor signaling pathway	0.10344827586206896	0.005240350700393026	0.028846153846153848	19.740716180371354	0.00046457715645559184	0.021237812866541344	FOS,CCL3,CXCL8	CCL3L3,MAP2K3,NFKB1,CXCL9,IFNA5,IL6,TRAF6,IKBKB,IKBKG,PIK3CA,TLR5,CTSK,MAP3K7,IFNA2,IFNA16,LBP,SPP1,IFNAR1,AKT3,IFNA17,CD86,PIK3R3,TAB1,IRAK4,IRF5,CCL4L1,STAT1,CXCL11,IFNA7,RELA,MAPK3,TLR7,IL1B,TLR3,TNF,LY96,IFNA6,NFKBIA,MAP2K6,TICAM2,TBK1,IRAK1,CASP8,CD40,TLR8,CD80,MAP3K8,IFNA4,MAP2K4,MAPK13,IFNAR2,MAPK12,CXCL10,RAC1,PIK3R2,AKT1,TLR1,IKBKE,IFNA13,RIPK1,MAPK9,CCL3L1,CCL3,MAPK14,MAP2K7,TLR4,TICAM1,PIK3R1,TRAF3,TLR9,MAP2K2,FADD,TAB2,CCL4,IFNB1,MAP2K1,IFNA14,IL12A,IRF7,MYD88,CCL5,CHUK,IFNA8,CXCL8,IRF3,MAPK1,TLR6,IL12B,PIK3CB,FOS,AKT2,MAPK8,IFNA10,IFNA1,MAPK11,TOLLIP,IFNA21,TIRAP,MAPK10,CD14,TLR2,PIK3CD,JUN,CCL4L2	29	104	3
Osteoclast differentiation	0.10344827586206896	0.006399274412979945	0.023622047244094488	16.165625848493075	0.0008315061697559228	0.03326024679023691	FOS,LILRB2,ACP5	NFKB1,TRAF6,IKBKB,IKBKG,PPP3R1,PIK3CA,FYN,RELB,LCP2,CTSK,TRAF2,MAP3K7,LILRB5,PLCG2,PPARG,TYROBP,IFNAR1,AKT3,BLNK,LILRA6,SOCS1,TNFRSF1A,PIK3R3,TAB1,SIRPA,TEC,PPP3R2,STAT1,RELA,FCGR1A,MAPK3,TNFSF11,LILRA1,JUND,FOSL1,IL1B,MAP3K14,TNF,TYK2,TGFBR2,FCGR2B,NCF2,LILRA5,NFKBIA,MAP2K6,IFNGR1,LILRB2,CREB1,PPP3CA,BTK,JUNB,IL1A,NFKB2,CSF1,FCGR2A,TNFRSF11A,MAPK13,IFNAR2,OSCAR,MAPK12,NOX1,SIRPG,RAC1,LILRB1,FCGR3A,TNFRSF11B,PIK3R2,AKT1,MAPK9,CYLD,CSF1R,GRB2,ACP5,CALCR,GAB2,FOSB,MAPK14,MAP2K7,LILRA2,FOSL2,SIRPB1,FHL2,PPP3CB,PIK3R1,TAB2,IFNB1,IRF9,ITGB3,TGFBR1,CAMK4,TREM2,MAP2K1,NFATC2,LILRB4,LILRA4,NCF1,IFNGR2,CHUK,CYBA,MAPK1,LILRA3,IFNG,TGFB1,NCF4,STAT2,PIK3CB,SPI1,FOS,AKT2,MAPK8,MITF,NFATC1,FCGR2C,TGFB2,MAPK11,LILRB3,SYK,SQSTM1,JAK1,FCGR3B,PPP3CC,MAPK10,LCK,SOCS3,PIK3CD,JUN,IL1R1	29	127	3
Influenza A	0.10344827586206896	0.008666733850650005	0.01744186046511628	11.936246992782678	0.0019887851037102815	0.07071235924303224	MX1,OAS2,CXCL8	VDAC1,KPNA2,NFKB1,ADAR,IFNA5,NXT1,IL6,IKBKB,IKBKG,SLC25A5,NXF3,PIK3CA,HLA-DMA,HLA-DOB,RNASEL,IFNA2,TRADD,IFNA16,APAF1,ICAM1,SLC25A31,RAE1,IFNAR1,AKT3,MAVS,KPNA5,CPSF4L,IFNA17,PRKCB,CPSF4,TNFRSF1A,PIK3R3,IRAK4,PABPN1,STAT1,OAS3,IFNA7,RAB11A,RELA,HLA-DRB3,FDPS,SLC25A6,MAPK3,HLA-DMB,TLR7,TMPRSS4,IL1B,MX1,TLR3,TNF,TNFSF10,EP300,JAK2,CASP9,TYK2,TMPRSS11D,ACTG1,HLA-DRA,HLA-DRB5,IFNA6,HNRNPUL1,NFKBIA,TBK1,RSAD2,CASP8,IFNGR1,PML,PRSS2,TNFRSF10A,SLC25A4,IL1A,HLA-DQA1,PLG,CIITA,CASP3,IFNA4,IFNAR2,PRSS3,CCND3,CXCL10,CCL2,EIF2AK2,NUP98,PIK3R2,AKT1,IKBKE,IFNA13,NLRP3,DDX58,IFIH1,DNAJC3,IL18,CALCOCO2,TLR4,NXF2B,PYCARD,CDK6,TICAM1,TNFRSF10B,CDK4,PIK3R1,TPSB2,TRAF3,ACTB,MAP2K2,FADD,BID,CYCS,DNAJB1,NLRX1,IFNB1,IRF9,NXF2,MAP2K1,HLA-DPA1,IFNA14,IL12A,NXT2,TMPRSS2,IRF7,MYD88,NFKBIB,BAX,CCL5,RAF1,IFNGR2,BCL2L2-PABPN1,CHUK,IFNA8,BAK1,OAS1,CXCL8,IRF3,TPSAB1,MAPK1,HLA-DRB1,CASP1,IFNG,IL12B,STAT2,OAS2,PIK3CB,HLA-DQA2,TRIM25,HLA-DOA,KPNA6,AKT2,TPSD1,NXF1,XPO1,PRSS1,KPNA1,IFNA10,NXF5,IFNA1,CREBBP,JAK1,EIF2S1,HLA-DRB4,HLA-DPB1,HLA-DQB1,PRKCA,IFNA21,MX2,FASLG,PIK3CD,SOCS3,RAB11B,KPNA7,IL33,PABPN1L,FAS	29	172	3
Lipid and atherosclerosis	0.10344827586206896	0.010833417313312506	0.013953488372093023	9.548997594226144	0.00373727547051157	0.11959281505637025	FOS,CCL3,CXCL8	CCL3L3,MAP2K3,NFKB1,CXCL1,IFNA5,IL6,PLCB1,TRAF6,IKBKB,IKBKG,PPP3R1,PIK3CA,CAMK2G,APOB,CDC42,TRAF2,MAP3K7,IFNA2,PDPK1,CYP2C9,IFNA16,APAF1,ERN1,CYP2A7,VLDLR,MIB2,PLCB4,ICAM1,PPARG,CASP6,LBP,CD36,AKT3,CAMK2D,IFNA17,POU2F1,TNFRSF1A,PIK3R3,TAB1,IRAK4,MAP3K5,ITPR1,APOA1,PPP3R2,DDIT3,IFNA7,RXRG,HSPA4,CYP2A6,CD40LG,RELA,MMP9,MAPK3,HSPA1L,ABCA1,IL1B,CAMK2B,HSPA8,TNF,TNFSF10,JAK2,LY96,NOS3,CASP9,PTK2,HRAS,NCF2,CALM1,IFNA6,MIB1,NFKBIA,MAP2K6,TICAM2,MMP3,TBK1,IRAK1,CASP8,SOD2,PPP3CA,KRAS,CAMK2A,CD40,TNFRSF10A,BCL2L1,CALM2,LDLR,CALM3,XBP1,CASP3,IFNA4,VAV1,NFATC3,MAP2K4,MAPK13,RXRA,MAPK12,SELE,NOX1,RAC1,RAP1A,HSPA1B,EIF2AK3,CXCL2,CCL2,OLR1,CXCL3,PIK3R2,AKT1,RHOA,NFE2L2,IKBKE,IFNA13,MAPK9,NLRP3,CYP2J2,CALML4,ABCG1,POU2F3,CCL3L1,CCL3,HSPA2,CYP1A1,AGER,MAPK14,IL18,ARHGEF1,TLR4,MAP2K7,CALML5,GSK3B,PYCARD,APOA4,PLCB3,TICAM1,STAT3,PPP3CB,TP53,PIK3R1,RXRB,TNFRSF10B,ROCK2,BID,TRAF3,SELP,CASP7,CYCS,TAB2,CYP2B6,RAP1B,IFNB1,HSP90AB1,VCAM1,NFATC2,IFNA14,IL12A,VAV3,CYBB,HSP90B1,IRF7,MYD88,BAX,CCL5,NCF1,PLCB2,CHUK,SRC,CALML6,IFNA8,ATF4,ATF6,CXCL8,HSPA1A,CYBA,IRF3,LYN,MAPK1,CASP1,TLR6,IL12B,NCF4,PIK3CB,CYP2C8,BCL2,FOS,ERO1A,AKT2,MAPK8,CALML3,NFATC1,HSPD1,IFNA10,IFNA1,MAPK11,HSP90AA1,HSPA6,VAV2,PLCG1,EIF2S1,PPP3CC,BAD,MMP1,PRKCA,IFNA21,HSPA5,FASLG,MAPK10,TANK,CD14,TLR2,NRAS,POU2F2,PIK3CD,JUN,TIRAP,FAS	29	215	3
