set_descr	generatio	bgratio	richFactor	foldEnrich	p_val	p_adj	intersection	set_genes	ngenes	nset	ninter
Th17 cell differentiation	0.02368421052631579	0.005391514662904363	0.08411214953271028	4.392867683226759	0.0002494742362545888	0.05481242156501614	MTOR,PRKCQ,CD247,FOS,IL27RA,IL21R,IL1B,PPP3CB,RELA	IL23R,STAT6,MAPK12,HLA-DMB,HLA-DOA,IKBKB,IL6R,FOS,TGFB1,CD3E,NFKBIA,MAPK8,IL23A,RORA,IL4R,HLA-DRB3,NFATC3,PPP3CC,RXRG,NFKB1,AHR,RXRB,TBX21,HLA-DPB1,SMAD4,HIF1A,HLA-DQA1,JAK1,IFNG,HSP90AA1,JAK3,JAK2,HLA-DOB,RUNX1,CD3G,SMAD2,IL2RA,PPP3R1,HLA-DRA,CD4,IL12RB1,RARA,HLA-DQB1,MAPK13,IL17F,TYK2,IL21R,IL6,CD3D,PPP3CA,IRF4,TGFBR2,NFATC1,HLA-DQA2,MAPK3,RORC,IKBKG,NFATC2,MAPK1,FOXP3,HLA-DRB1,NFKBIE,SMAD3,PLCG1,HSP90AB1,IL1RAP,IL17A,IL1B,PRKCQ,IL2,NFKBIB,JUN,HLA-DPA1,PPP3R2,IL21,IL2RB,GATA3,RELA,MTOR,LCK,IFNGR2,LAT,MAPK9,HLA-DRB5,STAT3,IL1R1,HLA-DRB4,HLA-DMA,STAT5A,IL17D,RXRA,IL2RG,PPP3CB,CHUK,STAT1,CD247,MAPK10,TGFBR1,MAPK14,ZAP70,IL6ST,MAPK11,IFNGR1,IL27RA,IL22,STAT5B,IL4	380	107	9
Amphetamine addiction	0.018421052631578946	0.0034767711377607577	0.10144927536231885	5.2983218916857355	0.000389775228698735	0.05481242156501614	TH,SLC6A3,FOS,SLC18A2,PPP3CB,GRIA3,PRKCA	CREB3,GRIN2B,FOS,PRKACA,CREB3L4,GRIA1,PPP1CB,CALML6,STX1A,SIRT1,CALML5,CAMK2A,CREB1,PPP3R1,PRKCB,PPP1R1B,ATF4,CALML4,SLC18A1,CACNA1C,CALM3,GRIA2,GRIN3A,ADCY5,PPP1CC,PPP3CB,ARC,GRIA3,CREB5,HDAC1,HDAC2,TH,PPP3CC,CREB3L2,FOSB,CAMK2G,MAOB,SLC6A3,GRIN3B,PPP1CA,MAOA,PRKACB,DRD1,SLC18A2,CALML3,PPP3CA,GRIN2D,GRIN2A,CAMK4,CAMK2B,CACNA1D,JUN,PDYN,CALM1,ATF6B,CAMK2D,DDC,PPP3R2,CREB3L1,CREB3L3,GRIN2C,GRIN1,PRKCG,GRIA4,GNAS,ATF2,PRKACG,CALM2,PRKCA	380	69	7
Pathogenic Escherichia coli infection	0.031578947368421054	0.009926433538244482	0.06091370558375635	3.1812984237242854	0.0005138664521720263	0.05481242156501614	ARHGEF12,NAIP,TUBA4A,ABL1,TMBIM6,WASF3,FOS,TUBB2A,IL1B,ITGB1,CYFIP2,RELA	MYO1G,CLDN24,LPAR1,MAPK12,TMBIM6,IKBKB,MYH10,LPAR2,MYO1B,FOS,CASP3,CLDN22,TLR5,CLDN23,CLDN25,BAK1,NFKBIA,SEC24A,ACTB,MAPK8,TUBA1B,CYTH4,CLDN20,GAPDH,CLDN34,TMED10,NFKB1,FASLG,TNFRSF10A,IRAK4,MYO1H,CLDN15,TAB2,CTTN,CLDN5,WIPF2,TUBA3C,ARPC1A,FYN,ARPC5,SRC,ROCK1,TRAF2,CLDN4,CLDN3,MYH9,CDC42,TAB3,TUBA4A,ABL1,ACTG1,CXCL8,TNFRSF10B,ACTR3C,ARPC1B,NCKAP1L,ARHGEF12,MYO1D,SEC24D,TUBA3E,LPAR4,ACTR3,CYTH3,ARPC4,MYO6,MYH14,ABI1,BAX,CLDN1,CLDN10,ACTR3B,MYO10,MAPK13,NLRP4,CLDN9,CLDN6,TUBB2B,RHOA,IL6,NCK2,CLDN7,CYFIP2,TUBB4A,PYCARD,CYCS,BRK1,CASP8,EZR,CASP9,TUBA8,IRAK1,OCLN,FCGR2A,MYO1E,CLDN18,ROCK2,IKBKG,WASL,CLDN19,CLDN14,TIRAP,ARHGEF11,MAPK3,IGH,TNFRSF1A,MAPK1,CASP1,CLDN11,ITGB1,WASF1,RAC1,PTPN11,PAK2,IL18,MAP3K7,WASF3,TNFSF10,RPS3,CYFIP1,CLDN8,RIPK1,GNA13,ACTR2,TAB1,IL1B,ARPC2,PTPN6,TJP1,HCLS1,NAIP,CLDN2,TUBAL3,MYH11,ABCF2,NFKBIB,JUN,TRADD,CASP7,WIPF3,MYD88,SEC24C,MYO1F,TNF,PAK3,MYO5C,TUBB2A,TUBB6,TUBA1C,ARPC5L,RELA,F2,TLR4,TUBA1A,NLRP3,MAPK9,FADD,IL1R1,TUBB,ARPC3,MYO5A,SEC24B,F2R,ARHGEF1,ARHGEF2,MYO5B,CLDN16,WASF2,TUBB3,NCKAP1,TUBA3D,CHUK,ARF1,RAB1A,TUBB8,SLC9A3R1,MYO1C,TUBB1,MYO1A,TUBB4B,WIPF1,NCL,MAPK10,NCK1,TRAF6,CYTH2,ARF6,FAS,MAPK14,GNA12,CLDN17,MAPK11,CASP4,CYTH1,PAK1,BAIAP2L1,LPAR5,BAIAP2	380	197	12
Dopaminergic synapse	0.02368421052631579	0.006651214350498841	0.06818181818181818	3.560885167464115	0.0011540304140626664	0.082104534824497	TH,SLC6A3,GNG3,FOS,SLC18A2,KCNJ6,PPP3CB,GRIA3,PRKCA	GNG13,MAPK12,GRIN2B,FOS,PRKACA,CREB3L4,DRD3,GNG5,PPP1CB,PPP2R2A,MAPK8,CALML4,ITPR3,GNAI1,CALM3,GRIA2,PPP2R5B,PPP2CB,KIF5B,GNB1,CREB3L2,PPP2R5A,TH,PPP3CC,CAMK2G,MAOB,PPP2R5E,DRD1,GNG2,CAMK2B,CACNA1D,AKT2,ITPR1,DDC,PPP2R2B,PPP2R2C,GRIA4,GNAS,ATF2,GRIN2A,CACNA1B,CALML5,CAMK2A,CREB1,PPP1R1B,GNG7,KCNJ3,KCNJ9,PPP2R2D,PPP1CC,PLCB3,CACNA1A,MAPK13,GNG3,PPP2R1B,DRD2,GNAQ,COMT,PPP3CA,GNAI3,CALM1,CALY,GNAI2,GNG8,PRKCG,PRKACG,GNB4,PPP2R3B,PLCB1,CALM2,GNG10,LRTOMT,PPP2R5C,KIF5C,PPP2R3A,CALML6,SLC18A1,KCNJ5,CACNA1C,AKT3,ADCY5,GRIA3,CREB5,GNGT1,SLC6A3,MAOA,KIF5A,PPP2R3C,PPP2R5D,GNG11,CREB3L3,GNB2,CLOCK,PLCB2,GNG12,PRKCA,ARRB1,CREB3,PPP2R1A,GNGT2,MAPK9,DRD5,GNB3,PRKCB,PLCB4,ATF4,ITPR2,GNAL,PPP3CB,ARNTL,DRD4,PPP2CA,SCN1A,PRKACB,PPP1CA,GNG4,GNB5,GSK3B,MAPK10,KCNJ6,SLC18A2,CALML3,GNAO1,ARRB2,MAPK14,CAMK2D,ATF6B,MAPK11,CREB3L1,GSK3A,AKT1,GRIA1	380	132	9
Salmonella infection	0.034210526315789476	0.012546608888440995	0.05220883534136546	2.726675121538787	0.0012828833566327657	0.082104534824497	NAIP,TUBA4A,WASF3,EXOC5,DCTN4,PIK3CA,FOS,RHOB,TUBB2A,AHNAK,IL1B,CYFIP2,RELA	FBXO22,MAPK12,IKBKB,KLC3,FOS,CASP3,TLR5,ELMO2,FLNA,BAK1,MYL7,NFKBIA,MYL12A,ACTB,MAPK8,FHOD1,TUBA1B,FLNB,EXOC2,LEF1,MAP2K2,ACTR1B,PODXL,CYTH4,MYC,SKP1,KIF5B,M6PR,KLC4,GAPDH,VPS11,RRAS,NFKB1,S100A10,ANXA2,TNFRSF10A,IRAK4,TCF7L2,TAB2,MYL2,MAP2K4,PFN4,MAP2K1,TUBA3C,AKT2,TLR6,ARPC1A,ARPC5,TRAF2,RIPK3,HRAS,CSE1L,HSP90AA1,NOD1,TAB3,TLR2,CDC42,TUBA4A,KLC1,ACTG1,CXCL8,PIK3CA,RAB5C,PIK3CB,TNFRSF10B,ARL8B,ACTR3C,ARPC1B,NCKAP1L,TUBA3E,ACTR3,CYTH3,ARPC4,MYL10,MYO6,ABI1,PFN1,RAF1,BAX,ACTR3B,ACTR1A,MAPK13,PIK3C2G,KLC2,KPNA3,TUBB2B,RHOA,IL6,RHOB,SNX9,DYNC1LI1,MAP2K6,PKN1,CYFIP2,TUBB4A,PYCARD,CYCS,BRK1,CASP8,GSDMD,RAB9B,DYNLRB1,DCTN2,TUBA8,IRAK1,RAB7A,TXN,TCF7L1,EXOC4,ROCK2,IKBKG,WASL,PIK3CG,TIRAP,MAPK3,ARHGEF26,TNFRSF1A,TLR9,DYNC1H1,KIF5C,STX10,DYNLT1,CASP1,MAPK1,MYL5,AHNAK,RAC1,ELMO1,IL18,MAP3K7,WASF3,TNFSF10,DYNLRB2,AKT3,GCC2,RPS3,CYFIP1,NLRC4,MYL12B,PTPRC,DCTN6,EXOC7,RIPK1,DCTN1,PIK3C2A,MYL9,SNX18,KIF5A,LY96,ACTR2,TAB1,HSP90AB1,ACTR10,ARL8A,PIK3C2B,RALA,IL1B,RAB7B,MAP2K3,BIRC3,ARPC2,PIK3C3,DYNC1LI2,AHNAK2,NAIP,TUBAL3,RHOH,DYNLL2,MYLPF,JUN,RAB5A,TRADD,CASP7,MYD88,PLEKHM2,TNF,PAK3,TUBB2A,PFN2,PIK3CD,FLNC,CASP5,CD14,TUBB6,ARPC5L,TUBA1C,PFN3,RELA,DCTN3,FYCO1,RHOJ,MAP2K7,TLR4,TUBA1A,NLRP3,MAPK9,VPS18,FADD,TUBB,ARPC3,TXN2,BIRC2,RILP,EXOC5,HSP90B1,MLKL,VPS33A,PLEKHM1,TUBB3,ACBD3,SNX33,TUBA3D,NCKAP1,VPS16,ARF1,DYNC1I1,TUBB8,TCF7,CHUK,RIPK2,RHOG,VPS41,TUBB1,DCTN4,TUBB4B,KPNA4,VPS39,MAPK10,KPNA1,TRAF6,BCL2,ARF6,CYTH2,RAB5B,CTNNB1,MAPK14,DNM2,DYNLT3,MAPK11,CASP4,DYNC2LI1,DYNLL1,PAK1,CYTH1,DYNC1I2,DYNC2H1,AKT1,DCTN5,RAB9A	380	249	13
PD-L1 expression and PD-1 checkpoint pathway in cancer	0.018421052631578946	0.00448453088783634	0.07865168539325842	4.1076877587226495	0.0017860047488136006	0.09525358660339203	MTOR,PRKCQ,CD247,PIK3CA,FOS,PPP3CB,RELA	MAP3K3,MAPK12,IKBKB,FOS,CD3E,NFKBIA,EGF,MAP2K2,NFATC3,PPP3CC,NFKB1,BATF,MAP2K1,AKT2,HIF1A,EGFR,EML4,JAK1,IFNG,HRAS,JAK2,TLR2,PIK3CA,PIK3CB,CD3G,PPP3R1,CSNK2A2,CD274,CD4,RAF1,MAPK13,CD3D,PDCD1,KRAS,MAP2K6,PPP3CA,NFATC1,PTEN,MAPK3,IKBKG,TIRAP,NFATC2,BATF3,TLR9,MAPK1,PIK3R2,TICAM1,PTPN11,NFKBIE,AKT3,BATF2,ALK,PLCG1,CD28,PIK3R3,RPS6KB2,MAP2K3,PTPN6,PRKCQ,NFKBIB,TICAM2,JUN,MYD88,PPP3R2,NRAS,RPS6KB1,PIK3CD,RELA,MTOR,LCK,IFNGR2,TLR4,LAT,STAT3,RASGRP1,CSNK2A1,CSNK2B,PPP3CB,CHUK,STAT1,CD247,PIK3R1,TRAF6,MAPK14,ZAP70,MAPK11,IFNGR1,CSNK2A3,AKT1	380	89	7
Amoebiasis	0.018421052631578946	0.005139574725385468	0.06862745098039216	3.584158926728586	0.0038618765628728323	0.15283514257190547	SERPINB9,PIK3CA,ITGAM,ARG2,IL1B,RELA,PRKCA	CSF2,SERPINB13,LAMB3,IL12B,COL4A2,PRKACA,CASP3,TGFB1,COL4A5,TGFB2,HSPB1,CD1E,LAMA2,FN1,TGFB3,COL4A1,NFKB1,LAMB1,LAMB2,ADCY1,CD1B,GNAS,ACTN1,IFNG,TLR2,CXCL8,PIK3CA,PIK3CB,RAB5C,C8A,SERPINB10,SERPINB3,COL4A4,SERPINB6,IL10,ARG2,PLCB3,CD1D,CD1A,IL12A,COL4A6,CXCL2,IL6,GNAQ,VCL,COL1A1,LAMC2,PRKCG,RAB7A,PRKACG,ACTN4,PLCB1,PTK2,ITGB2,IGH,C8B,CD1C,PIK3R2,ARG1,CXCL1,GNA14,LAMA3,GNA11,COL4A3,GNA15,LAMB4,LAMC1,COL1A2,LAMA1,PIK3R3,IL1B,RAB7B,RAB5A,SERPINB9,COL3A1,SERPINB4,TNF,PIK3CD,CD14,PLCB2,RELA,PRDX1,PRKCA,CXCL3,TLR4,C8G,MUC2,IL1R1,LAMA4,LAMA5,PRKCB,CTSG,PLCB4,NOS2,IL1R2,GNAL,C9,PRKACB,LAMC3,PIK3R1,RAB5B,ITGAM	380	102	7
Synaptic vesicle cycle	0.015789473684210527	0.0039302630252947696	0.07692307692307693	4.017408906882592	0.004193892304930887	0.15283514257190547	RIMS1,UNC13C,SLC6A3,SYT1,SLC18A2,ATP6V0E2	TCIRG1,SLC17A6,CPLX2,DNM1,ATP6V1F,CLTA,SLC6A5,ATP6V0B,ATP6V0D2,CPLX3,CPLX4,ATP6V0A1,SLC6A7,ATP6V1G2,SLC6A1,ATP6V1B1,CACNA1B,AP2A1,STX1B,STX1A,AP2A2,CLTC,CACNA1A,RIMS1,AP2M1,ATP6V1G1,STXBP1,VAMP2,ATP6V1C1,STX3,RAB3A,ATP6V1B2,NAPA,AP2B1,SLC6A2,SLC1A6,SLC6A11,SNAP25,SLC17A7,ATP6V0A2,SLC18A1,DNM3,UNC13A,SLC1A1,SLC6A13,AP2S1,SLC17A8,SLC6A3,ATP6V1E2,SLC6A12,ATP6V0E1,ATP6V0A4,SLC32A1,CLTCL1,UNC13C,SLC1A3,SLC1A2,ATP6V0E2,ATP6V1A,SYT1,ATP6V1E1,ATP6V1D,SLC6A4,ATP6V1C2,STX2,ATP6V0C,CPLX1,SLC18A2,CLTB,UNC13B,ATP6V1G3,DNM2,NSF,SLC1A7,SLC18A3,ATP6V0D1,ATP6V1H,SLC6A9	380	78	6
T cell receptor signaling pathway	0.018421052631578946	0.005240350700393026	0.0673076923076923	3.515232793522267	0.0042984883848348416	0.15283514257190547	PRKCQ,CD247,PIK3CA,FOS,VAV3,PPP3CB,RELA	CSF2,PDPK1,MAPK12,IKBKB,GRAP2,FOS,CD3E,CD40LG,NFKBIA,MAPK8,VAV1,MAP2K2,PAK5,NFATC3,CD8A,VAV2,PPP3CC,NFKB1,MAP2K1,AKT2,FYN,MALT1,CD8B2,IFNG,HRAS,CDC42,ITK,BUB1B-PAK6,PIK3CA,PIK3CB,CD3G,MAP3K8,PPP3R1,CARD11,CTLA4,IL10,CD4,RAF1,MAPK13,RHOA,ICOS,NCK2,CD3D,PDCD1,KRAS,PPP3CA,NFATC1,CDK4,TEC,MAPK3,IKBKG,PAK4,NFATC2,PAK6,MAPK1,PIK3R2,DLG1,PAK2,MAP3K7,LCP2,NFKBIE,SOS1,AKT3,IL5,PTPRC,PLCG1,CD28,CD8B,PIK3R3,PTPN6,PRKCQ,IL2,NFKBIB,JUN,PPP3R2,NRAS,TNF,PAK3,PIK3CD,BCL10,CBLB,RELA,LCK,MAP2K7,MAP3K14,LAT,MAPK9,RASGRP1,PPP3CB,CHUK,CD247,GSK3B,MAPK10,NCK1,PIK3R1,VAV3,SOS2,MAPK14,ZAP70,MAPK11,PAK1,GRB2,AKT1,IL4	380	104	7
Cholinergic synapse	0.018421052631578946	0.005693842587927038	0.061946902654867256	3.235258500232883	0.006739551591698183	0.21566565093434187	KCNQ3,GNG3,PIK3CA,CHRNA4,FOS,KCNJ6,PRKCA	GNG13,KCNQ4,CHRM5,KCNJ12,PRKACA,CREB3L4,CHRNA7,FOS,GNG5,CACNA1F,ADCY7,CHRNA3,ITPR3,GNAI1,GNB1,CREB3L2,CAMK2G,ADCY3,GNG2,MAP2K1,CACNA1D,AKT2,ITPR1,CAMK2B,ADCY1,FYN,CHRM3,HRAS,CHAT,JAK2,KCNJ18,PIK3CA,PIK3CB,CACNA1B,PIK3R6,KCNQ1,CAMK2A,CREB1,KCNJ14,GNG7,KCNJ3,PIK3R5,CHRNB2,PLCB3,CHRM1,CHRM2,CACNA1A,ADCY2,SLC5A7,GNG3,KCNQ5,ADCY4,GNAQ,KRAS,KCNQ2,GNAI3,GNAI2,GNG8,PRKCG,PRKACG,GNB4,PLCB1,PIK3CG,MAPK3,GNG10,KCNQ3,CHRNB4,CHRNA4,MAPK1,PIK3R2,ADCY6,CHRM4,KCNJ2,CACNA1C,AKT3,ADCY5,GNA11,CREB5,GNGT1,PIK3R3,GNG11,CREB3L3,NRAS,GNB2,PIK3CD,PLCB2,GNG12,PRKCA,CREB3,GNGT2,GNB3,PRKCB,PLCB4,ATF4,ITPR2,KCNJ4,PRKACB,GNG4,GNB5,PIK3R1,BCL2,KCNJ6,ACHE,CAMK4,ADCY9,GNAO1,CAMK2D,CREB3L1,ADCY8,SLC18A3,CACNA1S,AKT1,CHRNA6	380	113	7
