model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method	in_toks	out_toks
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Glutathione Metabolism WP100	Glutathione Metabolism	Glutathione Metabolism, Antioxidant Defense Response, Reactive Oxygen Species (ROS) Metabolism, Cellular Response to Oxidative Stress	1.0	1.0	0.9999988440352299	llm2geneset	1086	1152
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Alanine And Aspartate Metabolism WP106	Alanine And Aspartate Metabolism	Urea cycle, Arginine and proline metabolism, Glutamate metabolism, GABAergic synapse	0.5	0.0	0.608733759212505	llm2geneset	1026	1253
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Translation Factors WP107	Translation Factors	Translation initiation, Regulation of translation, Peptide elongation	0.5	0.0	0.5730770153958518	llm2geneset	1212	1691
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Electron Transport Chain OXPHOS System In Mitochondria WP111	Electron Transport Chain OXPHOS System In Mitochondria	Oxidative phosphorylation, Mitochondrial electron transport, NADH to ubiquinone, Mitochondrial respiratory chain complex II, Mitochondrial transmembrane transport, TCA cycle (Citric Acid Cycle)	0.2857142857142857	0.16666666666666666	0.5942790814912042	llm2geneset	1483	1508
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	GPCRs Other WP117	GPCRs Other	G protein-coupled receptor signaling pathway, Neuroactive ligand-receptor interaction	0.0	0.0	0.5310102031698429	llm2geneset	1397	2318
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Osteoclast Signaling WP12	Osteoclast Signaling	None found.	0.0	0.0	0.12840719371848236	llm2geneset	1094	1743
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	IL 5 Signaling Pathway WP127	IL 5 Signaling Pathway	Mitogen-activated protein kinase (MAPK) signaling pathway, Cytokine signaling in the immune system, JAK-STAT signaling pathway, PI3K-Akt signaling pathway	0.5	0.3333333333333333	0.6036292128302804	llm2geneset	1164	1714
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Matrix Metalloproteinases WP129	Matrix Metalloproteinases	Proteolytic activation of proteins, Extracellular matrix organization, Regulation of inflammatory response	0.5	0.0	0.5096005660918914	llm2geneset	1090	1456
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Pentose Phosphate Metabolism WP134	Pentose Phosphate Metabolism	Pentose phosphate pathway, NADPH regeneration	0.6666666666666666	0.5	0.8497783107154724	llm2geneset	1011	1787
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Phase I Biotransformations Non P450 WP136	Phase I Biotransformations Non P450	None found.	0.0	0.0	0.2525005218411934	llm2geneset	1022	1581
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Androgen Receptor Signaling Pathway WP138	Androgen Receptor Signaling Pathway	Epithelial to mesenchymal transition (EMT), PI3K-Akt signaling pathway, Rho GTPase signaling pathway, Regulation of gene expression by the AR complex	0.5	0.3333333333333333	0.5293309977482459	llm2geneset	1353	1704
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	AMP Activated Protein Kinase Signaling WP1403	AMP Activated Protein Kinase Signaling	AMP-activated protein kinase (AMPK) signaling pathway, Insulin signaling pathway, Adipocytokine signaling pathway, mTOR signaling pathway, Cell cycle regulation	1.0	0.75	0.7818669203438815	llm2geneset	1294	1411
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Sphingolipid Pathway WP1422	Sphingolipid Pathway	Ceramide biosynthetic pathway, Sphingolipid metabolic process, Glycosphingolipid biosynthesis	0.5	0.0	0.7650375206115783	llm2geneset	1127	1482
gpt-4o-mini-2024-07-18	WikiPathway_2023_Human	Ganglio Sphingolipid Metabolism WP1423	Ganglio Sphingolipid Metabolism	O-glycan biosynthesis, Ganglioside biosynthesis	0.0	0.0	0.7508599231467956	llm2geneset	1075	1608
