model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method	in_toks	out_toks
gpt-4o-mini-2024-07-18	Reactome_2022	2-LTR Circle Formation R-HSA-164843	2-LTR Circle Formation	Non-homologous end joining (NHEJ) pathway	0.0	0.0	0.15140422455231972	llm2geneset	1045	1438
gpt-4o-mini-2024-07-18	Reactome_2022	GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475	GAG Synthesis Requires Tetrasaccharide Linker Sequence	Proteoglycan biosynthesis, Glycosaminoglycan biosynthesis, Extracellular matrix organization	0.0	0.0	0.5525088541649696	llm2geneset	1091	2190
gpt-4o-mini-2024-07-18	Reactome_2022	ABC Transporter Disorders R-HSA-5619084	ABC Transporter Disorders	Proteasome-mediated protein degradation, ATP-binding cassette (ABC) transporters, Endoplasmic reticulum-associated degradation (ERAD)	0.6666666666666666	0.5	0.6163659885946253	llm2geneset	1319	1641
gpt-4o-mini-2024-07-18	Reactome_2022	ABC Transporters In Lipid Homeostasis R-HSA-1369062	ABC Transporters In Lipid Homeostasis	ABC Transporter Activity, Peroxisome Biogenesis, Cholesterol Homeostasis, Lipid Transport	0.4	0.25	0.6366081244790687	llm2geneset	1064	1387
gpt-4o-mini-2024-07-18	Reactome_2022	ABC-family Proteins Mediated Transport R-HSA-382556	ABC-family Proteins Mediated Transport	Proteasome-mediated protein catabolism, Endoplasmic reticulum-associated degradation (ERAD), Cholesterol transport	0.4	0.0	0.4498329649530004	llm2geneset	1412	1461
gpt-4o-mini-2024-07-18	Reactome_2022	ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821	ADORA2B Mediated Anti-Inflammatory Cytokine Production	G protein-coupled receptor signaling pathway, Neuropeptide signaling pathway, Dopaminergic synapse	0.0	0.0	0.3183710347361739	llm2geneset	1494	1570
gpt-4o-mini-2024-07-18	Reactome_2022	ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592	ADP Signaling Thru P2Y Purinoceptor 1	None found.	0.0	0.0	0.1554601323075381	llm2geneset	1085	1706
gpt-4o-mini-2024-07-18	Reactome_2022	ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170	ADP Signaling Thru P2Y Purinoceptor 12	G protein-coupled receptor signaling pathway	0.16666666666666666	0.0	0.5122651174421562	llm2geneset	1082	1605
gpt-4o-mini-2024-07-18	Reactome_2022	AKT Phosphorylates Targets In Cytosol R-HSA-198323	AKT Phosphorylates Targets In Cytosol	Insulin signaling pathway, Apoptosis signaling pathway, p53 signaling pathway	0.0	0.0	0.3703098975227116	llm2geneset	1045	1309
gpt-4o-mini-2024-07-18	Reactome_2022	AKT Phosphorylates Targets In Nucleus R-HSA-198693	AKT Phosphorylates Targets In Nucleus	FoxO signaling pathway, PI3K-Akt signaling pathway, Insulin signaling pathway	0.2	0.0	0.4560264742337392	llm2geneset	1068	1292
