model	query	go	ncurated	nllm	ninter	generatio	bgratio	richFactor	foldEnrich	jaccard	p_val
human	Adherens junction	Adherens Junction Assembly	9	71	2	0.2222222222222222	0.003577547112768316	0.028169014084507043	62.11580594679186	0.02564102564102564	0.00044697668579226214
human	Adipocytokine signaling pathway	Adiponectin-Activated Signaling Pathway	5	69	1	0.2	0.0034767711377607577	0.014492753623188406	57.524637681159426	0.0136986301369863	0.01726512375163555
human	Amino sugar and nucleotide sugar metabolism	Amino Sugar Metabolic Process	9	48	3	0.3333333333333333	0.0024186234001813967	0.0625	137.81944444444443	0.05555555555555555	1.1040479161607824e-06
human	Aminoacyl-tRNA biosynthesis	tRNA Aminoacylation	22	66	22	1.0	0.0033256071752494204	0.3333333333333333	300.6969696969697	0.3333333333333333	5.854987593303911e-57
human	Antigen processing and presentation	Antigen Processing And Presentation Of Endogenous Peptide Antigen	21	78	10	0.47619047619047616	0.0039302630252947696	0.1282051282051282	121.15995115995116	0.11235955056179775	1.6455841225841488e-19
human	Arachidonic acid metabolism	Arachidonic Acid Metabolic Process	52	61	26	0.5	0.003073667237730525	0.4262295081967213	162.672131147541	0.2988505747126437	4.315896066514666e-54
human	Arginine and proline metabolism	Arginine Metabolic Process	10	50	4	0.4	0.002519399375188955	0.08	158.76800000000003	0.07142857142857142	7.401623429710918e-09
human	Arginine biosynthesis	Arginine Metabolic Process	10	22	6	0.6	0.0011085357250831401	0.2727272727272727	541.2545454545455	0.23076923076923078	1.8427031023056807e-16
human	Autophagy	Macroautophagy	104	137	25	0.2403846153846154	0.006903154288017736	0.18248175182481752	34.822431218416625	0.11574074074074074	4.494383854551828e-32
human	Axon guidance	Axon Guidance	149	182	70	0.4697986577181208	0.009170613725687796	0.38461538461538464	51.22870418172432	0.2681992337164751	1.2570352649966256e-106
human	B cell receptor signaling pathway	B Cell Receptor Signaling Pathway	46	81	11	0.2391304347826087	0.004081426987806107	0.13580246913580246	58.58990874932904	0.09482758620689655	3.0726779270326844e-17
human	Base excision repair	Base-Excision Repair	36	33	20	0.5555555555555556	0.0016628035876247102	0.6060606060606061	334.1077441077441	0.40816326530612246	1.1338445851608203e-49
human	Biosynthesis of unsaturated fatty acids	Unsaturated Fatty Acid Biosynthetic Process	8	27	3	0.375	0.0013604756626020356	0.1111111111111111	275.6388888888889	0.09375	1.2518181297794387e-07
human	C-type lectin receptor signaling pathway	Stimulatory C-type Lectin Receptor Signaling Pathway	19	104	6	0.3157894736842105	0.005240350700393026	0.057692307692307696	60.26113360323887	0.05128205128205128	4.594639809433872e-10
human	Caffeine metabolism	Response To Caffeine	6	6	0	0.0	0.0003023279250226746	0.0	0.0	0.0	1.0
human	Calcium signaling pathway	Calcium-Mediated Signaling	85	240	26	0.3058823529411765	0.012093117000906983	0.10833333333333334	25.293921568627454	0.08695652173913043	9.485898249932964e-30
human	Cardiac muscle contraction	Cardiac Muscle Contraction	33	87	13	0.3939393939393939	0.0043837549128287814	0.14942528735632185	89.86346220828979	0.12149532710280374	4.6169500420994514e-23
human	Cell adhesion molecules	Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules	172	148	56	0.32558139534883723	0.007457422150559306	0.3783783783783784	43.65870521684476	0.21212121212121213	2.4687376803316263e-79
human	Cellular senescence	Regulation Of Cellular Senescence	35	156	8	0.22857142857142856	0.007860526050589539	0.05128205128205128	29.078388278388278	0.04371584699453552	2.3919103724152937e-10
human	Chemokine signaling pathway	Chemokine-Mediated Signaling Pathway	57	192	45	0.7894736842105263	0.009674493600725587	0.234375	81.60361842105263	0.22058823529411764	5.634622383570143e-82
human	Cholesterol metabolism	Cholesterol Metabolic Process	67	50	15	0.22388059701492538	0.002519399375188955	0.3	88.86268656716419	0.14705882352941177	3.2166969446102896e-26
human	Choline metabolism in cancer	Choline Metabolic Process	5	98	1	0.2	0.0049380227753703515	0.01020408163265306	40.502040816326534	0.00980392156862745	0.024449914061690014
human	Cholinergic synapse	Synaptic Transmission, Cholinergic	16	113	6	0.375	0.005693842587927038	0.05309734513274336	65.86061946902655	0.04878048780487805	2.27802744224014e-10
human	Cysteine and methionine metabolism	Methionine Metabolic Process	7	50	3	0.42857142857142855	0.002519399375188955	0.06	170.10857142857142	0.05555555555555555	5.229181011396962e-07
human	Cytokine-cytokine receptor interaction	Cytokine-Mediated Signaling Pathway	257	295	136	0.5291828793774319	0.014864456313614834	0.4610169491525424	35.6005539800831	0.3269230769230769	6.474701074472061e-190
human	Cytosolic DNA-sensing pathway	Cytosolic Pattern Recognition Receptor Signaling Pathway	23	63	6	0.2608695652173913	0.003174443212738083	0.09523809523809523	82.17805383022774	0.075	7.756658940503147e-11
human	D-Glutamine and D-glutamate metabolism	Glutamine Metabolic Process	13	5	3	0.23076923076923078	0.0002519399375188955	0.6	915.9692307692309	0.2	2.1939948931059183e-09
human	DNA replication	DNA Replication	73	36	27	0.3698630136986301	0.0018139675501360475	0.75	203.8972602739726	0.32926829268292684	7.003139010220477e-61
human	Dopaminergic synapse	Synaptic Transmission, Dopaminergic	6	132	3	0.5	0.006651214350498841	0.022727272727272728	75.17424242424242	0.022222222222222223	5.668902553047365e-06
human	Endocytosis	Endocytosis	189	252	36	0.19047619047619047	0.012697772850952332	0.14285714285714285	15.000755857898715	0.08888888888888889	5.377865514423865e-32
human	ErbB signaling pathway	ERBB Signaling Pathway	54	85	24	0.4444444444444444	0.004282978937821223	0.2823529411764706	103.76993464052288	0.20869565217391303	5.182848146530713e-44
human	Estrogen signaling pathway	Intracellular Estrogen Receptor Signaling Pathway	17	137	2	0.11764705882352941	0.006903154288017736	0.014598540145985401	17.042507513954487	0.013157894736842105	0.0060113608223797245
human	Ether lipid metabolism	Ether Lipid Metabolic Process	13	49	7	0.5384615384615384	0.0024690113876851758	0.14285714285714285	218.0879120879121	0.12727272727272726	6.065421829951079e-16
human	Fat digestion and absorption	Intestinal Lipid Absorption	11	43	5	0.45454545454545453	0.002166683462662501	0.11627906976744186	209.78858350951376	0.10204081632653061	1.7177499065984834e-11
human	Fatty acid biosynthesis	Fatty Acid Biosynthetic Process	65	18	12	0.18461538461538463	0.0009069837750680237	0.6666666666666666	203.54871794871798	0.16901408450704225	9.48441105418443e-27
human	Fatty acid degradation	Fatty Acid Oxidation	52	43	17	0.3269230769230769	0.002166683462662501	0.3953488372093023	150.88640429338105	0.21794871794871795	2.75779350112247e-34
human	Fatty acid elongation	Fatty Acid Elongation	12	27	12	1.0	0.0013604756626020356	0.4444444444444444	735.0370370370371	0.4444444444444444	2.237957874715712e-36
human	Fc epsilon RI signaling pathway	Fc-epsilon Receptor Signaling Pathway	22	68	14	0.6363636363636364	0.0034263831502569786	0.20588235294117646	185.72459893048128	0.18421052631578946	2.2998828341836015e-30
human	Fc gamma R-mediated phagocytosis	Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis	20	97	13	0.65	0.004887634787866572	0.13402061855670103	132.98865979381443	0.125	2.965855484193491e-26
human	Focal adhesion	Focal Adhesion Assembly	21	201	2	0.09523809523809523	0.010127985488259598	0.009950248756218905	9.40345889599621	0.00909090909090909	0.018887540090749267
human	Fructose and mannose metabolism	Fructose Metabolic Process	7	33	6	0.8571428571428571	0.0016628035876247102	0.18181818181818182	515.4805194805194	0.17647058823529413	9.13238902367268e-17
human	GABAergic synapse	Synaptic Transmission, GABAergic	14	89	13	0.9285714285714286	0.00448453088783634	0.14606741573033707	207.0609951845907	0.14444444444444443	1.6550317132758327e-30
human	Galactose metabolism	Galactose Metabolic Process	6	31	4	0.6666666666666666	0.001562027612617152	0.12903225806451613	426.7956989247312	0.12121212121212122	7.28825461893735e-11
human	Gap junction	Gap Junction Assembly	6	88	0	0.0	0.0044341429003325605	0.0	0.0	0.0	1.0
human	Gastric acid secretion	Acid Secretion	8	76	0	0.0	0.0038294870502872114	0.0	0.0	0.0	1.0
human	Glucagon signaling pathway	Insulin Receptor Signaling Pathway	47	107	2	0.0425531914893617	0.005391514662904363	0.018691588785046728	7.892622787830582	0.013157894736842105	0.02659222835892067
human	Glutamatergic synapse	Synaptic Transmission, Glutamatergic	27	114	18	0.6666666666666666	0.005744230575430817	0.15789473684210525	116.05847953216374	0.14634146341463414	5.095811483598441e-35
human	Glutathione metabolism	Glutathione Catabolic Process	7	57	4	0.5714285714285714	0.0028721152877154085	0.07017543859649122	198.95739348370927	0.06666666666666667	2.12588506537889e-09
human	Glycerolipid metabolism	Glycerolipid Metabolic Process	9	61	5	0.5555555555555556	0.003073667237730525	0.08196721311475409	180.74681238615668	0.07692307692307693	2.895808530340021e-11
human	Glycerophospholipid metabolism	Glycerophospholipid Metabolic Process	62	98	18	0.2903225806451613	0.0049380227753703515	0.1836734693877551	58.793285055957874	0.1267605633802817	9.090597549947823e-28
human	Glycine, serine and threonine metabolism	Serine Family Amino Acid Metabolic Process	14	40	6	0.42857142857142855	0.002015519500151164	0.15	212.63571428571427	0.125	1.3434413160304986e-13
