model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycolysis / Gluconeogenesis, Wnt signaling pathway	Glycolysis / Gluconeogenesis, Wnt signaling pathway	Wnt signaling pathway regulation and development	0.6	0.5	0.5599836124746234	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, Ubiquitin mediated proteolysis	Amino sugar and nucleotide sugar metabolism, Ubiquitin mediated proteolysis	Ubiquitin-mediated proteolysis and protein modification  	0.4444444444444444	0.25	0.6242137535396448	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fatty acid elongation, Pentose phosphate pathway	Fatty acid elongation, Pentose phosphate pathway	Lipid and carbohydrate metabolism integration  	0.0	0.0	0.476270022144926	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycerophospholipid metabolism, Phosphatidylinositol signaling system	Glycerophospholipid metabolism, Phosphatidylinositol signaling system	Phosphoinositide metabolism and signaling	0.4	0.0	0.7901952293616705	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	B cell receptor signaling pathway, Oxidative phosphorylation	B cell receptor signaling pathway, Oxidative phosphorylation	Mitochondrial Bioenergetics and Immune Signaling 	0.14285714285714285	0.0	0.5641304757578569	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Non-homologous end-joining, Ubiquitin mediated proteolysis	Non-homologous end-joining, Ubiquitin mediated proteolysis	Protein Ubiquitination and Degradation Pathway  	0.14285714285714285	0.0	0.5091288781076926	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Insulin signaling pathway, Renin-angiotensin system	Insulin signaling pathway, Renin-angiotensin system	Glycogen Metabolism and Insulin Signaling Pathway  	0.5	0.4	0.6290119973810353	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	D-Glutamine and D-glutamate metabolism, Pentose phosphate pathway	D-Glutamine and D-glutamate metabolism, Pentose phosphate pathway	Pentose Phosphate Pathway and Glycolysis Regulation  	0.4444444444444444	0.25	0.5665797900442213	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cardiac muscle contraction, Prolactin signaling pathway	Cardiac muscle contraction, Prolactin signaling pathway	Calcium signaling and muscle contraction regulation  	0.5	0.2	0.569414640823791	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Phosphatidylinositol signaling system, Wnt signaling pathway	Phosphatidylinositol signaling system, Wnt signaling pathway	Wnt signaling and cellular differentiation 	0.3333333333333333	0.2	0.5748480576413031	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, GABAergic synapse	Amino sugar and nucleotide sugar metabolism, GABAergic synapse	Neurotransmitter signaling and metabolic regulation  	0.25	0.0	0.5515464954844878	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	GABAergic synapse, Synaptic vesicle cycle	GABAergic synapse, Synaptic vesicle cycle	Neuronal signaling and synaptic transmission  	0.2	0.0	0.4904545055543344	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, Sphingolipid metabolism	Amino sugar and nucleotide sugar metabolism, Sphingolipid metabolism	Sphingolipid and Glycolipid Metabolism  	0.375	0.0	0.7233460609353816	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cardiac muscle contraction, Inositol phosphate metabolism	Cardiac muscle contraction, Inositol phosphate metabolism	Calcium signaling and mitochondrial function regulation  	0.0	0.0	0.464887719842047	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	DNA replication, Oxidative phosphorylation	DNA replication, Oxidative phosphorylation	Mitochondrial oxidative phosphorylation 	0.5	0.3333333333333333	0.6379959899454533	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Notch signaling pathway, Phosphatidylinositol signaling system	Notch signaling pathway, Phosphatidylinositol signaling system	Notch signaling pathway regulation and phosphoinositide metabolism  	0.5	0.4	0.8202695368816192	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Hedgehog signaling pathway, Wnt signaling pathway	Hedgehog signaling pathway, Wnt signaling pathway	Wnt signaling pathway modulation and regulation in development and cell fate determination  	0.5	0.4	0.5764649151223192	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cardiac muscle contraction, Glycerophospholipid metabolism	Cardiac muscle contraction, Glycerophospholipid metabolism	Mitochondrial bioenergetics and phospholipid metabolism  	0.2	0.0	0.5714403716047017	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, RNA transport	Amino sugar and nucleotide sugar metabolism, RNA transport	RNA metabolism and ribonucleoprotein complex assembly  	0.375	0.0	0.5696869364011032	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycerophospholipid metabolism, Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Glycerophospholipid metabolism, Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Phospholipid metabolism and remodeling  	0.16666666666666666	0.0	0.6586889768369559	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycolysis / Gluconeogenesis, Phototransduction	Glycolysis / Gluconeogenesis, Phototransduction	Metabolic regulation and energy homeostasis  	0.0	0.0	0.48209401300741095	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Oxidative phosphorylation, Phototransduction	Oxidative phosphorylation, Phototransduction	Mitochondrial oxidative phosphorylation and electron transport chain regulation  	0.6666666666666666	0.5	0.5764458169412667	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Chemokine signaling pathway, GABAergic synapse	Chemokine signaling pathway, GABAergic synapse	Immune cell signaling and chemotaxis  	0.2	0.0	0.5839666729459811	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycolysis / Gluconeogenesis, Phosphatidylinositol signaling system	Glycolysis / Gluconeogenesis, Phosphatidylinositol signaling system	Phosphoinositide signaling and metabolic regulation  	0.2	0.0	0.6645923984163744	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Chemokine signaling pathway, RNA transport	Chemokine signaling pathway, RNA transport	Cytokine signaling and immune response regulation  	0.2	0.0	0.5209437571374582	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	RNA transport, Wnt signaling pathway	RNA transport, Wnt signaling pathway	Wnt signaling pathway regulation and neuronal development  	0.6	0.5	0.5677280309157828	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycosaminoglycan biosynthesis, Ubiquitin mediated proteolysis	Glycosaminoglycan biosynthesis, Ubiquitin mediated proteolysis	Ubiquitin-Proteasome System and Glycosylation Modification  	0.2	0.0	0.656816526483723	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	D-Glutamine and D-glutamate metabolism, Insulin signaling pathway	D-Glutamine and D-glutamate metabolism, Insulin signaling pathway	Regulation of Cellular Metabolism and Signal Transduction  	0.3333333333333333	0.0	0.504698245539049	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis, Inositol phosphate metabolism	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis, Inositol phosphate metabolism	Phosphoinositide signaling and metabolism  	0.14285714285714285	0.0	0.6432149431226141	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycerophospholipid metabolism, Non-homologous end-joining	Glycerophospholipid metabolism, Non-homologous end-joining	Phospholipid metabolism and remodeling  	0.16666666666666666	0.0	0.6396455633625068	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Steroid hormone biosynthesis, Tryptophan metabolism	Steroid hormone biosynthesis, Tryptophan metabolism	Xenobiotic Metabolism and Steroid Hormone Biosynthesis  	0.8	0.5	0.6498128979848506	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cardiac muscle contraction, Phototransduction	Cardiac muscle contraction, Phototransduction	Phototransduction and Calcium Signaling in Retina	0.25	0.0	0.6362247517799272	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	D-Glutamine and D-glutamate metabolism, Pyruvate metabolism	D-Glutamine and D-glutamate metabolism, Pyruvate metabolism	Lactate and energy metabolism regulation  	0.25	0.0	0.46893275483733543	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	GABAergic synapse, Tryptophan metabolism	GABAergic synapse, Tryptophan metabolism	Neurotransmitter signaling and metabolism  	0.25	0.0	0.5302476001057004	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis, Notch signaling pathway	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis, Notch signaling pathway	Notch Signaling Pathway Regulation  	0.42857142857142855	0.3333333333333333	0.5311321431677557	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Chemokine signaling pathway, Wnt signaling pathway	Chemokine signaling pathway, Wnt signaling pathway	Wnt signaling pathway regulation and immune response modulation  	0.5	0.4	0.608550332582726	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, Tryptophan metabolism	Amino sugar and nucleotide sugar metabolism, Tryptophan metabolism	Metabolic regulation and catabolism of tryptophan and carbohydrates  	0.375	0.0	0.6642429178956155	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Notch signaling pathway, Synaptic vesicle cycle	Notch signaling pathway, Synaptic vesicle cycle	Regulation of Notch signaling and vesicular transport  	0.3333333333333333	0.2	0.6620543655401685	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Sphingolipid metabolism, Wnt signaling pathway	Sphingolipid metabolism, Wnt signaling pathway	Wnt signaling pathway regulation and development	0.6	0.5	0.5854956481882686	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycosaminoglycan biosynthesis, Prolactin signaling pathway	Glycosaminoglycan biosynthesis, Prolactin signaling pathway	Heparan sulfate biosynthesis and signaling in developmental processes  	0.4	0.0	0.5608644064229967	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fatty acid degradation, Hedgehog signaling pathway	Fatty acid degradation, Hedgehog signaling pathway	Coordinated Regulation of Lipid Metabolism and Hedgehog Signaling	0.3333333333333333	0.2	0.6629434706981592	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fatty acid degradation, Pentose phosphate pathway	Fatty acid degradation, Pentose phosphate pathway	Fatty acid metabolism and branched-chain amino acid catabolism  	0.3333333333333333	0.2	0.6498182534037865	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Prolactin signaling pathway, Pyruvate metabolism	Prolactin signaling pathway, Pyruvate metabolism	Glucose Homeostasis and Metabolic Regulation  	0.2	0.0	0.42155087819788034	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Hedgehog signaling pathway, Insulin signaling pathway	Hedgehog signaling pathway, Insulin signaling pathway	Signal transduction and metabolic regulation network  	0.16666666666666666	0.0	0.4794525253423192	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Tryptophan metabolism, Ubiquitin mediated proteolysis	Tryptophan metabolism, Ubiquitin mediated proteolysis	Ubiquitin-proteasome pathway regulation and stress response	0.2	0.0	0.5633029875414356	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Phosphatidylinositol signaling system, Phototransduction	Phosphatidylinositol signaling system, Phototransduction	Phosphoinositide signaling and phototransduction	0.5	0.0	0.8695386131274264	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Hedgehog signaling pathway, Non-homologous end-joining	Hedgehog signaling pathway, Non-homologous end-joining	Hedgehog Signaling Pathway and DNA Damage Response  	0.42857142857142855	0.3333333333333333	0.7467678012605129	GSAI
