set_descr	generatio	bgratio	richFactor	foldEnrich	p_val	p_adj	intersection	set_genes	ngenes	nset	ninter	in_toks	out_toks
Osteoclast differentiation	0.10344827586206896	0.001612415600120931	0.09375	64.1573275862069	1.358178564463549e-05	0.001276687850595736	FOS,ACP5,DCSTAMP	SRC,IL1B,ITGAV,TNF,TNFRSF11B,IL6,PTK2B,TRAF6,AKT1,MAPK1,PIK3CA,CSF1R,CTSK,PIK3CB,ACP5,CALCR,FOS,MAPK14,AKT2,PLEKHM1,NFATC1,AKT3,CSF1,ITGB3,TNFRSF11A,DCSTAMP,TNFSF11,OCSTAMP,VAV3,MMP9,JUN,RAC1	29	32	3	158	434
Osteoclast differentiation and activation	0.10344827586206896	0.002569787362692734	0.058823529411764705	40.25557809330629	5.5968457537300354e-05	0.002630517504253117	FOS,ACP5,DCSTAMP	JUN,NFKB1,SRC,TNFRSF11B,TRAF6,IKBKG,AKT1,FGFR3,MAPK9,PIK3CA,FGFR4,CSK,CSF1R,RELB,CTSK,PIK3CB,ACP5,CALCR,TRAF2,FOS,OPG,HCK,AKT2,MAPK8,AP1,NFATC1,MTOR,NFkB,AKT3,NFKB2,PIK3CG,CSF1,PTPN11,FGFR1,RANK,TCIRG1,ITGB3,TNFRSF11A,DCSTAMP,CLCN7,MAPK10,OSCAR,PTEN,FGFR2,RELA,MMP9,PIK3CD,CA2,TNFSF11,RANKL,ATP6V0D2	29	51	3	162	667
Negative regulation of viral genome replication	0.06896551724137931	0.0011085357250831401	0.09090909090909091	62.21316614420063	0.00046905734391557407	0.011022847582015992	MX1,OAS2	IFIT2,ADAR,MX1,OAS1,IFIT3,DDX58,IFIH1,IFIT5,OAS2,RSAD2,RNASEL,PKR,OASL,TREX1,IFIT1,IFNB1,MX2,OAS3,SAMHD1,TRIM5,ISG15,BST2	29	22	2	160	199
Negative regulation of viral entry into host cell	0.06896551724137931	0.0011085357250831401	0.09090909090909091	62.21316614420063	0.00046905734391557407	0.011022847582015992	MX1,OAS2	TSPAN6,MX1,OAS1,TRIM22,IFIH1,OAS2,RSAD2,DAXX,ZNF579,ZNF625,RTP4,PCNA,IFITM3,OAS3,APOBEC3G,SAMHD1,TRIM5,DDB1,ISG15,SP100,BST2,BATF2	29	22	2	164	291
Gluconeogenesis	0.06896551724137931	0.0013100876750982565	0.07692307692307693	52.64190981432361	0.0006575384216117152	0.011775548423150576	FBP1,GPD1	LDHC,PDK1,PDP4,PDK4,GCK,PDP1,PCK1,PDP3,PFKL,PC,LDHD,PFKM,GPD1,FBP2,GYS2,LDHA,G6PC,LDHB,PDP2,PFKP,GYS1,PDK3,GPD2,PDK2,FBP1,PCK2	29	26	2	156	334
Bone resorption	0.06896551724137931	0.001511639625113373	0.06666666666666667	45.62298850574713	0.0008769025421495109	0.011775548423150576	ACP5,DCSTAMP	IL1B,ITGAV,PTH1R,FGF23,IL6,TNFRSF11B,TNF,IHH,TRAF6,TGFB1,CSF1R,CTSK,ACP5,CALCR,IL11,OPG,SOST,MITF,NFATC1,DMP1,MEPE,PTH,CSF1,ITGB3,TNFRSF11A,VDR,DCSTAMP,MMP9,TNFSF11,RANKL	29	30	2	154	390
Virus defense	0.06896551724137931	0.001511639625113373	0.06666666666666667	45.62298850574713	0.0008769025421495109	0.011775548423150576	MX1,OAS2	IFIT2,MX1,TLR3,OAS1,IFIT3,IRF3,NLRP3,IFIH1,RIGI,IFIT5,STAT2,PRF1,OAS2,RSAD2,RNASEL,PKR,AIM2,TLR8,MAVS,TLR9,DYNAMIN1,IFIT1,MX2,DHX58,STAT1,ISG15,BST2,IFI16,IRF7,TLR7	29	30	2	152	391
Type I interferon signaling pathway	0.06896551724137931	0.0023682354126776176	0.0425531914893617	29.121056493030082	0.0021458356811556835	0.02279579845398708	MX1,OAS2	IFIT2,IFNA8,IFNA5,MX1,IFI44,OAS1,IFIT3,TYK2,IRF3,USP18,IFNA13,IFNA6,IRF1,IFIH1,IFI6,IFIT5,STAT2,OAS2,IRF4,PML,IFNA2,IFNA16,IFNE,OASL,IFI35,IFNA10,IFNAR1,IFNA1,IFNA17,JAK1,IFI27,IFI44L,IFIT1,IFNK,IFNA4,IFNB1,IRF9,IRF5,IFNA21,MX2,IFNAR2,STAT1,OAS3,IFNA7,IFNA14,ISG15,IRF7	29	47	2	160	419
Antiviral defense	0.06896551724137931	0.0024186234001813967	0.041666666666666664	28.514367816091955	0.002237105867131325	0.02279579845398708	MX1,OAS2	APOBEC3F,NFKB1,MX1,TLR3,NLRC5,EIF2AK2,OAS1,IRF3,TRIM22,IFIH1,RIGI,MDA5,STAT2,RELB,OAS2,RSAD2,TRIM25,PKR,RNASEL,TRIM32,OASL,IFNL,TRIM56,TLR8,IFNA,GBP2,ZBP1,TREX1,AGO2,IFNB,NFKB2,MX2,DHX58,STAT1,GBP5,OAS3,SAMHD1,TRIM5,APOBEC3G,TRIM28,TRIM69,RELA,GBP1,ISG15,BST2,DICER1,IRF7,TLR7	29	48	2	156	623
Defense response to virus	0.06896551724137931	0.002519399375188955	0.04	27.373793103448275	0.002425084941913519	0.02279579845398708	MX1,OAS2	NFKB1,IL1B,ADAR,MX1,TLR3,C5,IL6,OAS1,TNF,MBL2,IKBKG,IRF3,HLA-B,DDX58,IFIH1,CASP1,NLRP3,IFNG,C3,STAT2,OAS2,RSAD2,TRIM25,PKR,RNASEL,IFNA2,HLA-A,AIM2,OASL,IFNA1,TLR8,TICAM1,TREX1,TLR9,IFNB1,VISA,ZAP,HLA-C,MX2,TMEM173,STAT1,OAS3,TRIM5,SAMHD1,RELA,CXCL10,ISG15,IRF7,TLR7,CCL5	29	50	2	156	645
