set_descr	generatio	bgratio	richFactor	foldEnrich	p_val	p_adj	intersection	set_genes	ngenes	nset	ninter	in_toks	out_toks
Regulation of neurotransmitter secretion	0.013157894736842105	0.0012596996875944774	0.2	10.445263157894736	0.00010631567234351707	0.010950514251382258	RIMS1,SLC6A3,SYT1,SLC18A2,BSN	SYT1,SNAP25,BSN,STX1A,DNM1,SLC6A4,SLC18A1,DNM3,UNC13A,PCLO,SYN2,SLC1A1,SYN1,CACNA1A,RIMS1,SNCA,SLC6A3,VAMP2,SLC18A2,RAB3A,SYN3,SLC1A3,DNM2,SLC18A3,SLC1A2	380	25	5	160	247
Synaptic vesicle exocytosis	0.010526315789473684	0.001007759750075582	0.2	10.445263157894738	0.0005405671795164583	0.027839209745097602	SYT1,RIMS1,BSN,DOC2A	VAMP1,SYT1,SNAP47,SNAP25,BSN,STX1A,UNC13A,PCLO,SYN2,DOC2A,SYT7,SYN1,RIMS1,CPLX1,STXBP1,VAMP2,SNARE,RAB3A,SYN3,SYT9	380	20	4	162	267
Dopaminergic synapse	0.013157894736842105	0.002166683462662501	0.11627906976744186	6.072827417380661	0.0014446977172346003	0.04960128829172127	TH,SLC6A3,GABRG2,SLC18A2,GRIA3	GABRG3,GRIN2B,GABRB1,GAD1,DRD3,DRD5,GABRB2,GABRA1,PENK,SLC17A6,SLC17A7,GABRA3,VMAT1,SLC18A1,GABRG2,GABRB3,OPRM1,GRIA2,GABRA2,GRIN3A,GAD2,SLC17A8,DRD4,GRIA3,TH,MAOB,SLC6A3,MAOA,GRIN3B,DRD2,DRD1,COMT,SLC32A1,SLC18A2,GRIN2D,DDC,PDYN,GABRG1,GRIN1,GRIN2C,GRIA4,GRIA1,GRIN2A	380	43	5	160	415
Regulation of protein localization	0.010526315789473684	0.0014612516376095938	0.13793103448275862	7.203629764065336	0.0023074547723261098	0.059416960387397334	SYT1,ANKRD13A,PIN1,RETREG1	RETREG1,COPA,GOLGA2,VAMP3,YWHAB,TRAPPC3,SYT1,NUP155,DNM1,BLOC1S4,SEC23A,AGFG1,EXOC3,RAB1A,ARF1,KIF5B,LAMP1,ANKRD13A,VPS35,UBQLN1,CLINT1,OPTN,ARF6,PIN1,HSPA8,RAB5A,RPS6KB1,MAP1LC3B,RAB7A	380	29	4	158	394
Post-translational protein modification	0.013157894736842105	0.002620175350196513	0.09615384615384616	5.021761133603238	0.0033812889732832458	0.06965455284963486	MTOR,ABL1,PIK3CA,BRCA1,PRKCA	MAPK3,JAK2,MTOR,LCK,ABL1,UBA1,USP9X,PIK3CA,IKBKB,SUMO4,MAPK1,CUL3,CUL5,USP7,SUMO3,STAT3,FBXW7,UBE2D1,PDK1,PRKCB,STAT5A,CSNK2A1,VHL,CSNK2B,CDK2,BRCA2,UBE2D2,SKP2,UBE2E1,CDK1,CUL1,NFKB1,CUL2,SUMO2,GSK3B,BRCA1,UBE2E3,CTNNB1,UBC,UBE2E2,USP14,TP53,SRC,BCR,PRKCG,UBE2F,CUL4A,EGFR,SUMO1,AKT1,PTEN,PRKCA	380	52	5	160	468
Endosomal transport	0.013157894736842105	0.003124055225234304	0.08064516129032258	4.211799660441426	0.007188671660987954	0.12340553018029321	MTOR,SNX27,PIK3CA,TUBB2A,RHOB	CDC42,PIK3CG,AKT1,MTOR,MAPK3,SNX1,SNX27,SNX3,AP2B1,PDCD6IP,RHOC,PIK3CA,DYNC1H1,PIK3CB,MAPK1,CSF1R,RHOD,ARPC3,ARPC1B,RAC1,RAB4A,CHMP4B,ACTR3,RAC2,ARPC4,AP1M1,MYO6,CLTC,AKT3,VPS26A,TUBB3,AP2M1,PLD1,RHOG,DAB2,PLCZ1,TUBB4B,VPS35,PLCG1,ACTR2,GSK3B,RHOA,RHOB,SHC1,PIK3R1,TRAF6,ARPC2,VPS29,RAB5A,SNX2,HRS,AKT2,EEA1,SNX6,ARPC5,SRC,GRB2,TUBB2A,EGFR,RAB7A,RAB11A,SNX5	380	62	5	154	578
Meiotic recombination	0.007894736842105263	0.001511639625113373	0.1	5.222631578947369	0.02028889304385154	0.27055057093047075	SYCP2,MSH4,BRCA1	RNF212B,STAG3,ATR,ATM,MLH3,BLM,REC8,TOP3A,MSH4,SYCP1,HOP2,SYCP2,RAD51,MLH1,DMC1,HORMAD2,RAD50,BRCA2,HORMAD1,MND1,HELB,PRDM9,BRCA1,EXO1,MRE11,NBS1,MSH5,TOPOVIBL,RNF212,SYCP3	380	30	3	158	392
Positive regulation of cell population proliferation	0.010526315789473684	0.0027209513252040712	0.07407407407407407	3.868615984405458	0.021013636577123938	0.27055057093047075	PIK3CA,ABL1,BRCA1,FOS	E2F1,RET,MCL1,ABL1,BRAF,CCND2,PIK3CA,FOS,CDH1,CDKN1A,PTEN,STAT3,TEAD1,CCND1,IDH1,IDH2,PDGFRB,CDK6,VEGFA,RB1,FOXM1,MET,APC,IGF1R,MYC,BRCA2,CCND3,FGFR1,NFKB1,GSK3B,YAP1,MDM2,IL6,TGFBR1,BRCA1,KRAS,RAS,BCL2,TGFBR2,ERBB2,CTNNB1,JUN,PDGFRA,CDK4,TP53,SRC,NRAS,FGFR2,TNF,SMAD4,EGFR,HIF1A,AKT1,HRAS	380	54	4	160	479
Neuroinflammatory response	0.007894736842105263	0.0018139675501360475	0.08333333333333333	4.352192982456141	0.032765711782302046	0.3692835061792394	IL1B,CX3CR1,RELA	CXCL10,CXCL8,TLR4,C1QA,TGFB1,CSF1R,STAT3,CCL2,IRF7,SOD1,CD80,APP,IL10,HLA-DRA,NOS2,CTSS,PTGS2,CD40,ICAM1,CD86,IRF1,CCR2,IRF5,NFKB1,IL6,IL1B,MAPT,CX3CR1,GFAP,MMP9,AIF1,TNF,APOE,VCAM1,RELA,C3	380	36	3	158	461
Neurotrophin signaling pathway	0.007894736842105263	0.002015519500151164	0.075	3.9169736842105265	0.04284879044368363	0.3692835061792394	MTOR,PIK3CA,FOS	MAPK3,MTOR,BRAF,PIK3CA,PIK3CB,NTRK3,NTRK2,FOS,MAPK1,IRS2,RAP1B,CREB1,PTPN11,RALB,ELK1,SOS1,AKT3,RAF1,DOK1,NGFR,GSK3B,IRS1,RPS6KB2,SHC1,KRAS,RALA,NTF3,BDNF,AKT2,JUN,NTF4,NRAS,NGF,GRB2,RPS6KB1,NTRK1,PIK3CD,AKT1,HRAS,RAP1A	380	40	3	162	523
