model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycolysis / Gluconeogenesis, Wnt signaling pathway	Glycolysis / Gluconeogenesis, Wnt signaling pathway	Canonical Wnt Signaling Pathway, Wnt Signaling Pathway	0.6	0.5	0.6385146848814902	ORA
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycolysis / Gluconeogenesis, Wnt signaling pathway	Glycolysis / Gluconeogenesis, Wnt signaling pathway	Canonical Wnt Signaling Pathway, Wnt Signaling Pathway	0.6	0.5	0.6385146848814902	ORA
gpt-4o-2024-08-06	KEGG_2021_Human	Glycolysis / Gluconeogenesis, Wnt signaling pathway	Glycolysis / Gluconeogenesis, Wnt signaling pathway	Canonical Wnt Signaling Pathway, Wnt Signaling Pathway	0.6	0.5	0.6385146848814902	ORA
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, Ubiquitin mediated proteolysis	Amino sugar and nucleotide sugar metabolism, Ubiquitin mediated proteolysis	Protein Ubiquitination, Protein Polyubiquitination	0.1111111111111111	0.0	0.5435212295341627	ORA
gpt-3.5-turbo-0125	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, Ubiquitin mediated proteolysis	Amino sugar and nucleotide sugar metabolism, Ubiquitin mediated proteolysis	Protein Ubiquitination, Protein Polyubiquitination	0.1111111111111111	0.0	0.5435212295341627	ORA
gpt-4o-2024-08-06	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, Ubiquitin mediated proteolysis	Amino sugar and nucleotide sugar metabolism, Ubiquitin mediated proteolysis	Protein Ubiquitination, Protein Polyubiquitination	0.1111111111111111	0.0	0.5435212295341627	ORA
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fatty acid elongation, Pentose phosphate pathway	Fatty acid elongation, Pentose phosphate pathway	Fatty Acid Elongation, Very Long-Chain Fatty Acid Metabolic Process	0.5	0.4	0.6901852783033712	ORA
gpt-3.5-turbo-0125	KEGG_2021_Human	Fatty acid elongation, Pentose phosphate pathway	Fatty acid elongation, Pentose phosphate pathway	Fatty Acid Elongation, Very Long-Chain Fatty Acid Metabolic Process	0.5	0.4	0.6901852783033712	ORA
gpt-4o-2024-08-06	KEGG_2021_Human	Fatty acid elongation, Pentose phosphate pathway	Fatty acid elongation, Pentose phosphate pathway	Fatty Acid Elongation, Very Long-Chain Fatty Acid Metabolic Process	0.5	0.4	0.6901852783033712	ORA
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycerophospholipid metabolism, Phosphatidylinositol signaling system	Glycerophospholipid metabolism, Phosphatidylinositol signaling system	Glycerophospholipid Biosynthetic Process, Phosphatidylinositol Metabolic Process	0.6	0.0	0.7852582661782794	ORA
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycerophospholipid metabolism, Phosphatidylinositol signaling system	Glycerophospholipid metabolism, Phosphatidylinositol signaling system	Glycerophospholipid Biosynthetic Process, Phosphatidylinositol Metabolic Process	0.6	0.0	0.7852582661782794	ORA
gpt-4o-2024-08-06	KEGG_2021_Human	Glycerophospholipid metabolism, Phosphatidylinositol signaling system	Glycerophospholipid metabolism, Phosphatidylinositol signaling system	Glycerophospholipid Biosynthetic Process, Phosphatidylinositol Metabolic Process	0.6	0.0	0.7852582661782794	ORA
gpt-4o-mini-2024-07-18	KEGG_2021_Human	B cell receptor signaling pathway, Oxidative phosphorylation	B cell receptor signaling pathway, Oxidative phosphorylation	Mitochondrial ATP Synthesis Coupled Electron Transport, Aerobic Electron Transport Chain	0.0	0.0	0.44412642151659854	ORA
gpt-3.5-turbo-0125	KEGG_2021_Human	B cell receptor signaling pathway, Oxidative phosphorylation	B cell receptor signaling pathway, Oxidative phosphorylation	Mitochondrial ATP Synthesis Coupled Electron Transport, Aerobic Electron Transport Chain	0.0	0.0	0.44412642151659854	ORA
gpt-4o-2024-08-06	KEGG_2021_Human	B cell receptor signaling pathway, Oxidative phosphorylation	B cell receptor signaling pathway, Oxidative phosphorylation	Mitochondrial ATP Synthesis Coupled Electron Transport, Aerobic Electron Transport Chain	0.0	0.0	0.44412642151659854	ORA
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Non-homologous end-joining, Ubiquitin mediated proteolysis	Non-homologous end-joining, Ubiquitin mediated proteolysis	Protein Ubiquitination, Protein Polyubiquitination	0.14285714285714285	0.0	0.584619389167917	ORA
