model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method	in_toks	out_toks
gpt-4o-mini-2024-07-18	Reactome_2022	2-LTR Circle Formation R-HSA-164843	2-LTR Circle Formation	Double-Strand Break Repair Via Nonhomologous End Joining, DNA Ligation, Response To Gamma Radiation, Double-Strand Break Repair, DNA Recombination	0.0	0.0	0.2856099173199376	ORA	0	0
gpt-3.5-turbo-0125	Reactome_2022	2-LTR Circle Formation R-HSA-164843	2-LTR Circle Formation	Double-Strand Break Repair Via Nonhomologous End Joining, DNA Ligation, Response To Gamma Radiation, Double-Strand Break Repair, DNA Recombination	0.0	0.0	0.2856099173199376	ORA	0	0
gpt-4o-2024-08-06	Reactome_2022	2-LTR Circle Formation R-HSA-164843	2-LTR Circle Formation	Double-Strand Break Repair Via Nonhomologous End Joining, DNA Ligation, Response To Gamma Radiation, Double-Strand Break Repair, DNA Recombination	0.0	0.0	0.2856099173199376	ORA	0	0
gpt-4o-mini-2024-07-18	Reactome_2022	GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475	GAG Synthesis Requires Tetrasaccharide Linker Sequence	Proteoglycan Biosynthetic Process, Chondroitin Sulfate Proteoglycan Metabolic Process, Chondroitin Sulfate Proteoglycan Biosynthetic Process, Glycosaminoglycan Biosynthetic Process, Aminoglycan Biosynthetic Process	0.0	0.0	0.5241939980898663	ORA	0	0
gpt-3.5-turbo-0125	Reactome_2022	GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475	GAG Synthesis Requires Tetrasaccharide Linker Sequence	Proteoglycan Biosynthetic Process, Chondroitin Sulfate Proteoglycan Metabolic Process, Chondroitin Sulfate Proteoglycan Biosynthetic Process, Glycosaminoglycan Biosynthetic Process, Aminoglycan Biosynthetic Process	0.0	0.0	0.5241939980898663	ORA	0	0
gpt-4o-2024-08-06	Reactome_2022	GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475	GAG Synthesis Requires Tetrasaccharide Linker Sequence	Proteoglycan Biosynthetic Process, Chondroitin Sulfate Proteoglycan Metabolic Process, Chondroitin Sulfate Proteoglycan Biosynthetic Process, Glycosaminoglycan Biosynthetic Process, Aminoglycan Biosynthetic Process	0.0	0.0	0.5241939980898663	ORA	0	0
gpt-4o-mini-2024-07-18	Reactome_2022	ABC Transporter Disorders R-HSA-5619084	ABC Transporter Disorders	Proteasomal Protein Catabolic Process, Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process, Ubiquitin-Dependent Protein Catabolic Process, Ubiquitin-Dependent ERAD Pathway, ERAD Pathway	0.0	0.0	0.32142035735313806	ORA	0	0
gpt-3.5-turbo-0125	Reactome_2022	ABC Transporter Disorders R-HSA-5619084	ABC Transporter Disorders	Proteasomal Protein Catabolic Process, Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process, Ubiquitin-Dependent Protein Catabolic Process, Ubiquitin-Dependent ERAD Pathway, ERAD Pathway	0.0	0.0	0.32142035735313806	ORA	0	0
gpt-4o-2024-08-06	Reactome_2022	ABC Transporter Disorders R-HSA-5619084	ABC Transporter Disorders	Proteasomal Protein Catabolic Process, Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process, Ubiquitin-Dependent Protein Catabolic Process, Ubiquitin-Dependent ERAD Pathway, ERAD Pathway	0.0	0.0	0.32142035735313806	ORA	0	0
gpt-4o-mini-2024-07-18	Reactome_2022	ABC Transporters In Lipid Homeostasis R-HSA-1369062	ABC Transporters In Lipid Homeostasis	Cholesterol Efflux, Lipid Transport, Sterol Homeostasis, Cholesterol Transport, Cholesterol Homeostasis	0.4	0.0	0.6302253511160085	ORA	0	0
