database	model	descr	descr_cleaned	ninter	nunion	jaccard_similarity
KEGG_2021_Human	gpt-4o-mini-2024-07-18	ABC transporters	ABC transporters	13	18	0.7222222222222222
KEGG_2021_Human	gpt-4o-mini-2024-07-18	AGE-RAGE signaling pathway in diabetic complications	AGE-RAGE signaling pathway in diabetic complications	1	4	0.25
KEGG_2021_Human	gpt-4o-mini-2024-07-18	AMPK signaling pathway	AMPK signaling pathway	3	12	0.25
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Acute myeloid leukemia	Acute myeloid leukemia	5	10	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Adherens junction	Adherens junction	1	3	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Adipocytokine signaling pathway	Adipocytokine signaling pathway	4	8	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Adrenergic signaling in cardiomyocytes	Adrenergic signaling in cardiomyocytes	2	6	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	African trypanosomiasis	African trypanosomiasis	0	2	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism	0	7	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Alcoholism	Alcoholism	2	6	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Aldosterone synthesis and secretion	Aldosterone synthesis and secretion	3	5	0.6
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Aldosterone-regulated sodium reabsorption	Aldosterone-regulated sodium reabsorption	0	10	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Allograft rejection	Allograft rejection	2	11	0.18181818181818182
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Alzheimer disease	Alzheimer disease	4	13	0.3076923076923077
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism	0	3	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis	2	10	0.2
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Amoebiasis	Amoebiasis	0	1	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Amphetamine addiction	Amphetamine addiction	2	5	0.4
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis	4	8	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Antigen processing and presentation	Antigen processing and presentation	3	15	0.2
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Apelin signaling pathway	Apelin signaling pathway	1	6	0.16666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Apoptosis	Apoptosis	4	9	0.4444444444444444
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Arachidonic acid metabolism	Arachidonic acid metabolism	3	10	0.3
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Arginine and proline metabolism	Arginine and proline metabolism	3	6	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Arginine biosynthesis	Arginine biosynthesis	3	7	0.42857142857142855
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Arrhythmogenic right ventricular cardiomyopathy	Arrhythmogenic right ventricular cardiomyopathy	3	4	0.75
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Ascorbate and aldarate metabolism	Ascorbate and aldarate metabolism	1	3	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Asthma	Asthma	4	7	0.5714285714285714
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Autoimmune thyroid disease	Autoimmune thyroid disease	3	6	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Autophagy	Autophagy	7	15	0.4666666666666667
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Axon guidance	Axon guidance	2	7	0.2857142857142857
KEGG_2021_Human	gpt-4o-mini-2024-07-18	B cell receptor signaling pathway	B cell receptor signaling pathway	4	8	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Bacterial invasion of epithelial cells	Bacterial invasion of epithelial cells	0	5	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Basal cell carcinoma	Basal cell carcinoma	4	7	0.5714285714285714
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Basal transcription factors	Basal transcription factors	2	10	0.2
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Base excision repair	Base excision repair	5	7	0.7142857142857143
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Bile secretion	Bile secretion	2	7	0.2857142857142857
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Biosynthesis of unsaturated fatty acids	Biosynthesis of unsaturated fatty acids	3	6	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Bladder cancer	Bladder cancer	3	5	0.6
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Breast cancer	Breast cancer	4	10	0.4
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Butanoate metabolism	Butanoate metabolism	0	4	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	C-type lectin receptor signaling pathway	C-type lectin receptor signaling pathway	3	6	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Caffeine metabolism	Caffeine metabolism	1	2	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Calcium signaling pathway	Calcium signaling pathway	2	14	0.14285714285714285
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Carbohydrate digestion and absorption	Carbohydrate digestion and absorption	3	8	0.375
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Cardiac muscle contraction	Cardiac muscle contraction	5	10	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Cell adhesion molecules	Cell adhesion molecules	1	15	0.06666666666666667
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Cell cycle	Cell cycle	5	18	0.2777777777777778
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Cellular senescence	Cellular senescence	3	8	0.375
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Central carbon metabolism in cancer	Central carbon metabolism in cancer	1	12	0.08333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Chagas disease	Chagas disease	3	7	0.42857142857142855
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Chemical carcinogenesis	Chemical carcinogenesis	3	7	0.42857142857142855
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Chemokine signaling pathway	Chemokine signaling pathway	3	18	0.16666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Cholesterol metabolism	Cholesterol metabolism	5	14	0.35714285714285715
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Choline metabolism in cancer	Choline metabolism in cancer	2	4	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Cholinergic synapse	Cholinergic synapse	1	6	0.16666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Chronic myeloid leukemia	Chronic myeloid leukemia	2	3	0.6666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Circadian entrainment	Circadian entrainment	6	8	0.75
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Circadian rhythm	Circadian rhythm	6	12	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	3	8	0.375
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Cocaine addiction	Cocaine addiction	2	6	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Collecting duct acid secretion	Collecting duct acid secretion	2	3	0.6666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Colorectal cancer	Colorectal cancer	6	9	0.6666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Complement and coagulation cascades	Complement and coagulation cascades	9	23	0.391304347826087
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Coronavirus disease	Coronavirus disease	2	6	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Cortisol synthesis and secretion	Cortisol synthesis and secretion	5	6	0.8333333333333334
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Cushing syndrome	Cushing syndrome	2	6	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Cysteine and methionine metabolism	Cysteine and methionine metabolism	3	7	0.42857142857142855
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Cytokine-cytokine receptor interaction	Cytokine-cytokine receptor interaction	9	22	0.4090909090909091
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Cytosolic DNA-sensing pathway	Cytosolic DNA-sensing pathway	2	4	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	D-Glutamine and D-glutamate metabolism	D-Glutamine and D-glutamate metabolism	0	5	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	DNA replication	DNA replication	6	17	0.35294117647058826
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Diabetic cardiomyopathy	Diabetic cardiomyopathy	1	5	0.2
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Dilated cardiomyopathy	Dilated cardiomyopathy	4	8	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Dopaminergic synapse	Dopaminergic synapse	3	8	0.375
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Drug metabolism	Drug metabolism	5	13	0.38461538461538464
KEGG_2021_Human	gpt-4o-mini-2024-07-18	ECM-receptor interaction	ECM-receptor interaction	4	11	0.36363636363636365
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Endocrine and other factor-regulated calcium reabsorption	Endocrine and other factor-regulated calcium reabsorption	1	7	0.14285714285714285
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Endocytosis	Endocytosis	2	5	0.4
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Endometrial cancer	Endometrial cancer	3	8	0.375
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Epithelial cell signaling in Helicobacter pylori infection	Epithelial cell signaling in Helicobacter pylori infection	2	5	0.4
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Epstein-Barr virus infection	Epstein-Barr virus infection	1	7	0.14285714285714285
KEGG_2021_Human	gpt-4o-mini-2024-07-18	ErbB signaling pathway	ErbB signaling pathway	6	13	0.46153846153846156
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Estrogen signaling pathway	Estrogen signaling pathway	2	5	0.4
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Ether lipid metabolism	Ether lipid metabolism	1	4	0.25
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Fanconi anemia pathway	Fanconi anemia pathway	0	8	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Fat digestion and absorption	Fat digestion and absorption	1	11	0.09090909090909091
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Fatty acid biosynthesis	Fatty acid biosynthesis	1	8	0.125
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Fatty acid degradation	Fatty acid degradation	2	9	0.2222222222222222
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Fatty acid elongation	Fatty acid elongation	6	11	0.5454545454545454
