model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycolysis / Gluconeogenesis, Wnt signaling pathway	Glycolysis / Gluconeogenesis, Wnt signaling pathway	Wnt signaling pathway regulation and cellular differentiation  	0.6	0.5	0.5648321944634194	GSAI_2hint
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, Ubiquitin mediated proteolysis	Amino sugar and nucleotide sugar metabolism, Ubiquitin mediated proteolysis	Ubiquitin-Proteasome System Regulation and Cell Cycle Control  	0.2222222222222222	0.0	0.48075676625404073	GSAI_2hint
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fatty acid elongation, Pentose phosphate pathway	Fatty acid elongation, Pentose phosphate pathway	Fatty Acid Metabolism and Lipid Biosynthesis  	0.3333333333333333	0.2	0.6442506643406412	GSAI_2hint
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycerophospholipid metabolism, Phosphatidylinositol signaling system	Glycerophospholipid metabolism, Phosphatidylinositol signaling system	Phosphoinositide signaling and lipid metabolism  	0.4	0.0	0.758725578352434	GSAI_2hint
gpt-4o-mini-2024-07-18	KEGG_2021_Human	B cell receptor signaling pathway, Oxidative phosphorylation	B cell receptor signaling pathway, Oxidative phosphorylation	Mitochondrial function and immune signaling integration**	0.14285714285714285	0.0	0.5154540483373538	GSAI_2hint
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Non-homologous end-joining, Ubiquitin mediated proteolysis	Non-homologous end-joining, Ubiquitin mediated proteolysis	Ubiquitination and Proteasomal Degradation  	0.14285714285714285	0.0	0.5999316164691897	GSAI_2hint
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Insulin signaling pathway, Renin-angiotensin system	Insulin signaling pathway, Renin-angiotensin system	Insulin signaling and metabolic regulation  	0.3333333333333333	0.2	0.6232661028663709	GSAI_2hint
gpt-4o-mini-2024-07-18	KEGG_2021_Human	D-Glutamine and D-glutamate metabolism, Pentose phosphate pathway	D-Glutamine and D-glutamate metabolism, Pentose phosphate pathway	Pentose phosphate pathway and glucose metabolism regulation  	0.5555555555555556	0.25	0.6150106432305726	GSAI_2hint
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cardiac muscle contraction, Prolactin signaling pathway	Cardiac muscle contraction, Prolactin signaling pathway	Regulation of Calcium Signaling and Muscle Contraction  	0.5	0.2	0.5397252075719113	GSAI_2hint
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Phosphatidylinositol signaling system, Wnt signaling pathway	Phosphatidylinositol signaling system, Wnt signaling pathway	Wnt signaling pathway modulation and cellular differentiation**	0.5	0.4	0.5719434637161636	GSAI_2hint
