set_descr	generatio	bgratio	richFactor	foldEnrich	p_val	p_adj	intersection	set_genes	ngenes	nset	ninter	in_toks	out_toks
Regulation of inflammatory signaling pathway	0.10344827586206896	0.002065907487654943	0.07317073170731707	50.07401177460051	2.8932573387765616e-05	0.002078152278451479	FOS,TNFAIP3,CXCL8	CSF2,NFKB1,CHUK,IL1B,CCL2,TLR3,TNF,IL6,JAK2,CXCL8,TRAF6,IKBKB,PTGS2,MAPK1,RIPK1,RELB,IRAK1,FOS,MAPK14,TLR4,MAPK8,PPARG,STAT3,IL1A,TLR9,NFKB2,NOD1,HMGB1,IRAK2,RIPK2,TLR2,RELA,IL10,CSF3,REL,CCL5,MAPK3,JUN,MYD88,NOD2,TNFAIP3	29	41	3	160	368
Cellular response to TNF	0.10344827586206896	0.0023682354126776176	0.06382978723404255	43.68158473954512	4.375057428318903e-05	0.002078152278451479	FOS,TNFAIP3,CXCL8	NFKB1,CHUK,IL1B,CCL2,TNF,IL6,CXCL8,BIRC2,IKBKB,IKBKG,PTGS2,MAPK9,RIPK1,NFKBIA,RELB,MMP3,IRAK1,CASP8,TRAF2,MAP3K7,MAP2K7,MAPK14,TRADD,FOS,MAPK8,CREB1,BIRC3,ICAM1,TNFAIP8,NFKB2,FADD,TNFRSF1A,CASP3,NFKBIE,TNFRSF1B,TNFAIP6,MAP2K4,IRAK2,VCAM1,TRAF1,SELE,RELA,REL,NOS2,JUN,NFKBIB,TNFAIP3	29	47	3	160	432
Leukocyte chemotaxis	0.06896551724137931	0.0011589237125869192	0.08695652173913043	59.50824587706147	0.0005132635096990457	0.013286130151159679	CCL3,CXCL8	CXCL2,CCL2,CXCL1,CXCL8,PTGS2,PF4,CCL3,CCR2,CXCL12,ICAM1,ITGAM,CXCR2,ITGB2,IL8,CCR5,VCAM1,CXCL11,SELE,CXCL10,PTX3,CXCR4,CXCL5,CCL5	29	23	2	160	208
Regulation of chemokine production	0.06896551724137931	0.0012093117000906983	0.08333333333333333	57.02873563218391	0.000559416006364618	0.013286130151159679	FOS,CXCL8	JUN,NFKB1,IL1B,IL6,TNF,CXCL8,IRF3,MAPK1,NFKBIA,FOS,MAPK14,TLR4,MAPK8,PPARG,IFNA1,STAT3,IFNB1,STAT1,IL10,REL,STAT6,MAPK3,IRF7,MYD88	29	24	2	162	309
Cellular response to extracellular stimulus	0.06896551724137931	0.0013604756626020356	0.07407407407407407	50.69220945083014	0.0007094975815288652	0.01348045404904844	FOS,CXCL8	PDGFRB,NFKB1,SRC,IL1B,IL6,TNF,CXCL8,IKBKB,AKT1,MAPK1,PIK3CA,TGFB1,FOS,AKT2,CREB1,NFATC1,SMAD3,AKT3,STAT3,TP53,HIF1A,FGFR1,PTEN,RELA,EGFR,MAPK3,JUN	29	27	2	160	243
Regulation of inflammatory response	0.06896551724137931	0.001511639625113373	0.06666666666666667	45.62298850574713	0.0008769025421495109	0.013884290250700588	FOS,CXCL8	NFKB1,CCL2,IL1B,IL6,TNF,CXCL8,PTGS2,AKT1,TRAF6,PIK3CA,NLRP3,CASP1,NFKBIA,CYLD,IFNG,IRAK1,SOD2,MAP3K7,FOS,MAPK14,TLR4,STAT3,CXCR2,AP2M1,CTNNB1,RELA,IL10,SOCS3,JUN,MYD88	29	30	2	158	394
Innate immune response	0.06896551724137931	0.0017635795626322684	0.05714285714285714	39.105418719211826	0.0011940158549347576	0.016204500888400284	TNFAIP3,CXCL8	NFKB1,IL1B,TLR3,TNF,IL6,CXCL8,TRAF6,RIPK1,DDX58,CASP1,IFIH1,NLRP3,IRAK1,CASP8,TLR4,AIM2,STING1,PYCARD,TLR7,NLRC4,IFNA1,MAVS,TLR9,IRAK4,IFNB1,NOD1,FCN1,CGAS,RIPK2,TLR2,SERPING1,GAS6,MYD88,NOD2,TNFAIP3	29	35	2	156	463
Positive regulation of cytokine production	0.06896551724137931	0.0019147435251436057	0.05263157894736842	36.01814882032668	0.0014069136765043014	0.01670709990848858	FOS,CXCL8	CSF2,CCL2,IL1B,TNF,IL6,IL4,CXCL8,TRAF6,IKBKG,TYK2,MAPK1,IFNG,IL12B,RELB,CCR2,IRAK1,FOS,IL18,TLR4,PYCARD,CARD9,STAT3,IL1A,JAK1,CSF1,NFkB1,IRAK4,IRF5,CD14,TLR2,IL10,RELA,SOCS3,MAPK3,JUN,MYD88,NOD2,CCL5	29	38	2	160	335
Defense response to virus	0.06896551724137931	0.0027713393127078503	0.03636363636363636	24.885266457680252	0.002926519547358008	0.030891039666556753	MX1,OAS2	IFIT2,IL1B,IFITM1,MX1,TLR3,TNF,IL6,OAS1,IFIT3,IRF3,USP18,IKBKE,IRF1,DDX58,IFIH1,RIGI,CASP1,IFNG,NLRP3,STAT2,OAS2,RSAD2,TRIM25,PKR,RNASEL,TBK1,IFNA2,DDX60,AIM2,OASL,STING1,VBP1,TLR8,IFNA1,TICAM1,MAVS,TLR9,IFI27,IFIT1,IFITM2,IFNB1,ZAP,MX2,DHX58,STAT1,IFITM3,OAS3,SAMHD1,IL12A,CXCL10,ISG15,MYD88,BST2,IRF7,TLR7	29	55	2	156	726
Chemokine-mediated signaling pathway	0.06896551724137931	0.0034263831502569786	0.029411764705882353	20.127789046653145	0.004436811513401302	0.04214970937731237	CCL3,CXCL8	GNGT1,CCL2,CXCL2,CXCL1,CXCL9,GNAQ,CXCL3,CXCL8,CXCL14,CCL19,CCL8,CCL16,CCL28,GNB5,CCL13,CCR9,CCL1,CCL3,CCR2,CCR7,CCL15,GNB4,GNG11,GNB3,CXCL12,CXCL17,CXCL16,CXCR1,CCR6,CXCR2,GNAI2,CCR3,CXCR6,GNB1,CCL26,CCL14,CXCL5,GNB2,CCR8,CXCL13,CCL7,GNGT2,CCR1,CCL4,CCR5,CCL27,CCR10,CCL11,CCL22,CCL17,GNAI1,GNAL,CXCL11,CCL25,CCL18,CXCR3,CXCR7,CCL21,CCL24,CXCL10,GNAI3,CCR4,CCL20,CXCR4,CCL23,CXCR5,CCL5,CXCL6	29	68	2	160	612
Positive regulation of phagocyte chemotaxis	0.034482758620689655	0.000503879875037791	0.1	68.43448275862069	0.01454118788986084	0.12225743352904973	CXCL8	CXCL2,IL1B,CCL2,CXCL1,IL6,TNF,CSF3,CXCL8,CXCL5,PDGFB	29	10	1	166	134
