set_descr	generatio	bgratio	richFactor	foldEnrich	p_val	p_adj	intersection	set_genes	ngenes	nset	ninter	in_toks	out_toks
G-protein coupled receptor signaling pathway	0.031746031746031744	0.003577547112768316	0.028169014084507043	8.873686563827409	0.021542431840659935	1.0	PRKCQ,PRKCA	RGS5,CREB3,ATF1,PRKACA,RGS14,GRK7,RGS6,GRK2,PRKAR1A,GRK6,ADCY6,CREB1,RGS8,PRKCB,PRKCA,RGS16,ADCY7,RGS4,PRKCH,GNAI1,ATF4,GNA14,RGS7,ATF7,GRK3,ADCY5,PRKCE,CREM,GNA11,CREB5,GNA15,ADCY2,GRK1,PRKAR2A,PRKCD,PRKACB,PRKCZ,ATF2,PRKCI,ADCY4,RGS19,GRK4,ADCY3,GNAQ,RGS12,RGS3,PRKAR1B,ATF6,RGS20,ADCY9,GNAO1,ARRB2,PRKCQ,GNAI3,RGS2,ADCY1,RGS9,RGS13,GNAI2,ADCY8,RGS11,PRKCG,PRKAR2B,GNAS,RGS17,PRKACG,GRK5,RGS1,RGS10,RGS18,ARRB1	63	71	2	162	941
Synaptic transmission	0.031746031746031744	0.004534918875340119	0.022222222222222223	7.000352733686067	0.033410902573935516	1.0	SLC6A3,GNG3	GRIN2B,VAMP5,GABRB1,GNG5,CACNB3,CACNB4,GNAI1,GRIA2,GABRA2,SYN1,GNB1,VAMP4,STXBP2,GNG2,GABRR3,CACNA1D,GRIA4,GNAS,SLC6A1,GRIN2A,VAMP1,CACNA1B,GABRR1,GABRA1,GABRP,STX1B,STX1A,VAMP7,GABRA3,GNG7,GABRG2,CACNA1A,GNG3,STXBP1,VAMP2,GNAQ,RAB3A,GABRA5,GABRE,GNAI3,GABRG1,CACNB1,GNAI2,GABRD,GNB4,GABRG3,GNG10,SLC6A2,RAB3C,SNAP25,SLC17A7,GNAT1,GNAT2,STX4,CACNA1C,STXBP3,RAB3D,GABBR2,GRIA3,RAB3B,SLC6A3,SLC32A1,GABRQ,VAMP8,GNB2,GRIN2C,VTI1A,GNG12,VAMP3,SYT1,GABRB2,GABBR1,GNAZ,GNB3,SLC6A4,CACNB2,GABRB3,GABRA4,GNAL,VTI1B,GABRA6,CACNA1E,GNG4,GNB5,GABRR2,GRIN2D,STX6,GNAO1,GRIN1,GRIA1	63	90	2	154	1227
Immune system process	0.015873015873015872	0.001007759750075582	0.05	15.75079365079365	0.06182931581355289	1.0	IL1B	FOXP3,STAT3,NFKBIA,CTLA4,IL10,CD4,CD8A,STAT1,NFKB1,CD28,IL6,CTL,PDCD1,IL1B,LYMPH,IL2,BCR,TNF,TCR,IFNG	63	20	1	156	255
Positive regulation of cell migration	0.015873015873015872	0.001007759750075582	0.05	15.75079365079365	0.06182931581355289	1.0	ITGB1	CXCL12,TGFB1,SNAI1,STAT3,ITGB1,RAC1,VEGFA,PI3KCA,PXN,TWIST1,FN1,FGFR1,CCR7,MMP2,VIM,MMP9,SRC,EGFR,AKT1,PTEN	63	20	1	158	259
Inflammatory response	0.015873015873015872	0.0012093117000906983	0.041666666666666664	13.125661375661375	0.07373584377455092	1.0	IL1B	CSF2,CXCL10,S100A8,TLR4,TGFB1,STAT3,CCL2,IL8,CXCL1,IL10,TNFAIP3,PTGS2,NFKB1,S100A9,IL6,IRAK4,IL1B,CSF3,MMP9,MYD88,MCP1,TNF,IFNG,RELA	63	24	1	156	315
Cytokine-mediated signaling pathway	0.015873015873015872	0.0012596996875944774	0.04	12.60063492063492	0.07668916336775923	1.0	IL1B	JAK2,IFNAR2,TNFRSF1A,IL6R,STAT3,NFKBIA,STAT5A,IL10,IFNAR1,SOCS1,SOCS3,STAT1,NFKB1,IL10RA,IL6,IRAK4,TRAF6,TNFRSF1B,IL1B,MYD88,TNF,IRAK1,JAK1,IFNG,STAT5B	63	25	1	162	333
Regulation of neurotransmitter levels	0.015873015873015872	0.0012596996875944774	0.04	12.60063492063492	0.07668916336775923	1.0	SLC6A3	SLC6A2,GABRB1,GAD1,DRD3,GABRB2,GABRA1,HTR2A,GABRA3,SLC6A4,SLC1A1,GABRA2,HTR1A,GAD2,TPH2,MAOB,SLC6A3,MAOA,TPH1,DRD2,COMT,BDNF,NOS1,SLC1A3,SLC1A2,CHAT	63	25	1	160	243
Regulation of autophagy	0.015873015873015872	0.001511639625113373	0.03333333333333333	10.5005291005291	0.09131732089889895	1.0	MAP1LC3A	IKBKG,MTOR,FIP200,GABARAPL2,EIF2AK3,SIRT1,BNIP3,ATG7,CCNA2,UVRAG,AMPK,PARK2,BECN1,MAP1LC3A,SQSTM1,GABARAP,NFKB1,RPTOR,PIK3C3,BCL2,TRAF6,GABARAPL1,FOXO3,ULK1,TP53,RPS6KB1,MAP1LC3B,PTEN,RELA,ATG5	63	30	1	160	286
Cell adhesion	0.015873015873015872	0.0017635795626322684	0.02857142857142857	9.00045351473923	0.10571734347427743	1.0	ITGB1	PECAM1,ITGB2,DSC2,CD44,CDH1,PVR,ITGB1,ITGA1,ITGA2,SELPLG,ITGA3,CXADR,CD99,JAM1,ICAM1,CLDN1,CADM1,NCAM1,LAMC1,SELL,LAMA1,DSG2,CLDN3,LAMB1,CLDN7,CLDN5,CD2,DSC1,CLDN2,DSG1,VCAM1,CDH2,ICAM2,CLDN4,SELE	63	35	1	152	453
Cellular response to oxidative stress	0.015873015873015872	0.002015519500151164	0.025	7.875396825396825	0.11989273249273957	1.0	SESN1	MT2A,MAPK3,PRDX6,SRXN1,CAT,MAPK1,PRDX3,ATR,ATM,HMOX1,NRF1,PRDX5,TXNRD1,MAPK8,SOD1,KEAP1,SESN1,GCLC,PINK1,DJ1,ALDH2,GCLM,PRDX2,PARK2,GSS,NRF2,GPX1,NQO1,GSK3B,SOD2,PRDX4,FOXO3,NFE2L2,GSR,MAPK14,SESN2,TP53,HIF1A,TXN,PRDX1	63	40	1	160	361
