set_descr	generatio	bgratio	richFactor	foldEnrich	p_val	p_adj	intersection	set_genes	ngenes	nset	ninter	in_toks	out_toks
Interferon signaling	0.06896551724137931	0.001511639625113373	0.06666666666666667	45.62298850574713	0.0008769025421495109	0.030540463112021018	MX1,OAS2	IFNA2,IFNA4,IFNG,IRF3,IFIT1,IFNAR1,USP18,OAS3,IFNGR2,IFNGR1,OAS2,PKR,IRF7,SOCS1,IFIT3,TYK2,MX1,ISG15,IFNAR2,SOCS3,IRF1,JAK1,IFIT2,STAT1,RSAD2,OAS1,STAT2,IFNA1,IRF9,IFNB1	29	30	2	156	394
Innate immune response	0.06896551724137931	0.0017635795626322684	0.05714285714285714	39.105418719211826	0.0011940158549347576	0.030540463112021018	CXCL8,TNFAIP3	CXCL8,NOD1,CGAS,TLR7,NLRP3,PYCARD,TNFAIP3,MAVS,TRAF6,MYD88,NFKB1,TNF,AIM2,STING1,CASP8,IFNA1,CASP1,RIPK2,DDX58,IRAK4,TLR4,SERPING1,RIPK1,TLR9,IL1B,TLR3,GAS6,IL6,TLR2,FCN1,NOD2,IFIH1,NLRC4,IRAK1,IFNB1	29	35	2	156	463
Response to virus	0.06896551724137931	0.0018139675501360475	0.05555555555555555	38.019157088122604	0.001263106528303615	0.030540463112021018	MX1,OAS2	TLR8,TLR7,IFNG,IRF3,BST2,IFI44,CXCL9,ZAP70,USP18,MAVS,OAS3,LGP2,TNF,OAS2,PKR,CXCL10,IRF7,DDX58,MX1,ISG15,MX2,RAE1,TLR9,RIGI,RNASEL,TLR3,STAT1,RSAD2,OAS1,Viperin,STAT2,IFI27,IFIH1,IFNA1,APOBEC3G,IFNB1	29	36	2	154	465
Cytokine secretion	0.06896551724137931	0.0019651315126473848	0.05128205128205128	35.0946065428824	0.0014816196461583703	0.030540463112021018	CXCL8,CCL3	CXCL8,IL2,IFNG,IL3,IL17A,IL23A,IL18,IL27,IL1RN,IL10,TNF,IL9,IL11,IL7,IFNK,CCL3,IL19,IL12B,LIF,CCL5,LTA,IL1A,CCL4,IL16,IL22,IL4,IL1B,IFNE,CSF2,IL24,IL13,OSM,IL6,IL15,TGFB1,CCL20,IFNA1,CCL2,IFNB1	29	39	2	158	490
Chemotaxis	0.06896551724137931	0.002015519500151164	0.05	34.217241379310344	0.0015581868934704602	0.030540463112021018	CXCL8,CCL3	CXCL8,CCL19,CSF3,CXCR1,ACKR1,CXCL9,ICAM2,CCR1,GNAI2,PLA2G4A,ICAM1,PTGER2,CXCL10,CCR7,SELE,SELL,CCR5,CCL3,CXCL11,CXCL12,TLR4,CCL21,CCL5,CXCR4,PTGER4,CX3CR1,CCL4,ITGB1,CXCL1,ACKR3,CSF2,GRK6,IL8,TLR2,FPR1,PF4,SELPLG,CXCR2,ITGB2,CCL2	29	40	2	154	522
Antiviral defense	0.06896551724137931	0.0024690113876851758	0.04081632653061224	27.932441942294158	0.002330190665223213	0.030891848780628707	MX1,OAS2	TLR8,DHX58,TRIM25,TLR7,CGAS,APOBEC3,IRF3,NLRC5,BST2,ADAR,IFNL,TRIM5,OAS3,TREX1,ZBP1,RELB,IFI16,NFKB1,OAS2,PKR,STING1,IRF7,IFNB,TRIM56,SAMHD1,TRIM28,DDX58,OASL,MX1,TRIM32,ISG15,MX2,DDX60,DICER1,RIGI,RNASEL,RELA,IFNA,TLR3,STAT1,TRIM22,RSAD2,OAS1,NFKB2,TRIM69,STAT2,MDA5,IFIH1,TMEM173	29	49	2	156	633
Cytokine-mediated signaling pathway	0.06896551724137931	0.0024690113876851758	0.04081632653061224	27.932441942294158	0.002330190665223213	0.030891848780628707	CXCL8,FOS	CXCL8,PTPRC,IL2,IFNG,CD3E,JAK2,IFNAR1,ZAP70,FOS,STAT6,IFNGR2,BLNK,TRAF6,IFNGR1,IL10,JUN,NFKB1,REL,TNF,MYD88,IL2RB,SYK,STAT5B,SOCS1,CCR5,IL2RA,TICAM1,PTPN1,STAT5A,IRAK4,TLR4,STAT3,CXCR4,IFNAR2,SOCS3,IL4,IL1B,LCK,CSF2,IL10RB,JAK1,STAT1,IL2RG,IKBKG,IL6,TLR2,IL10RA,NOD2,IRAK1	29	49	2	162	632
Cellular response to tumor necrosis factor	0.06896551724137931	0.002569787362692734	0.0392156862745098	26.837052062204194	0.0025217835739288737	0.030891848780628707	CXCL8,FOS	CXCL8,FOXO3,MCL1,DIABLO,TRADD,FOS,MAPK9,TNFRSF1A,GSK3B,AKT1,APEX1,BAK1,TNFRSF1B,RELB,REL,ICAM1,NFKB1,JUN,TNF,CASP8,CHUK,VCAM1,PIK3CD,BCL2,CYCS,TP53,PTEN,BBC3,BCL2L1,STAT3,RIPK1,PIK3CA,PIK3CB,MAPK8,MAPK14,AKT3,IKBKB,BIRC2,IRF1,RIPK3,RELA,MAP3K7,BIRC3,IKBKG,NFKB2,IL6,FADD,BAX,AKT2,FOXO4,PMAIP1	29	51	2	164	464
Endothelial cell activation	0.034482758620689655	0.0007558198125566865	0.06666666666666667	45.62298850574713	0.02173501143506533	0.21769658437058786	CXCL8	RELA,ICAM1,CXCL8,NFKB1,ANGPT2,TNF,PDGFB,SELE,IL6,VCAM1,SPP1,EGR1,TEK,PTGS2,NOS3	29	15	1	158	196
Cholesterol biosynthesis	0.034482758620689655	0.0009573717625718028	0.05263157894736842	36.01814882032668	0.027453537700128164	0.21769658437058786	DHCR24	LSS,GGPPS1,PMVK,EBP,MVK,CYP51A1,LBR,FNTB,SC5D,HMGCR,FNTA,MVD,SQLE,DHCR24,FDFT1,DHCR7,IDI1,FDPS,NSDHL	29	19	1	158	259
